,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,71,FUGLSANG Jakob,34,Astana Pro Team,500.0,275.0,6:37:37,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
1,2,44,FORMOLO Davide,26,BORA - hansgrohe,400.0,200.0,0:270:27,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
2,3,41,SCHACHMANN Maximilian,25,BORA - hansgrohe,325.0,150.0,0:570:57,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
3,4,51,YATES Adam,26,Mitchelton-Scott,275.0,120.0,",,0:57",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
4,5,11,WOODS Michael,32,EF Education First,225.0,100.0,",,0:57",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
5,6,171,GAUDU David,22,Groupama - FDJ,175.0,90.0,",,0:57",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
6,7,106,LANDA Mikel,29,Movistar Team,150.0,80.0,",,0:57",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
7,8,31,NIBALI Vincenzo,34,Bahrain Merida,125.0,70.0,1:001:00,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
8,9,37,TEUNS Dylan,27,Bahrain Merida,100.0,60.0,1:051:05,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
9,10,66,POELS Wout,31,Team Sky,85.0,50.0,1:261:26,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
10,11,81,WELLENS Tim,27,Lotto Soudal,70.0,46.0,1:291:29,Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
11,12,61,KWIATKOWSKI Michał,28,Team Sky,60.0,42.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
12,13,45,KONRAD Patrick,27,BORA - hansgrohe,50.0,38.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
13,14,46,MCCARTHY Jay,26,BORA - hansgrohe,40.0,34.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
14,15,104,BETANCUR Carlos,29,Movistar Team,35.0,30.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
15,16,1,ALAPHILIPPE Julian,26,Deceuninck - Quick Step,30.0,28.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
16,17,153,DE PLUS Laurens,23,Team Jumbo-Visma,30.0,26.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
17,18,125,POGAČAR Tadej,20,UAE-Team Emirates,30.0,24.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
18,19,191,MARTIN Guillaume,25,Wanty - Gobert Cycling Team,30.0,22.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
19,20,17,MARTÍNEZ Daniel Felipe,23,EF Education First,30.0,20.0,",,1:29",Li_ge_Bastogne_Li_ge,0,28 April 2019,38.63 km/h,124,256 km,4
