,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,54,JUNGELS Bob,25,Quick-Step Floors,500.0,275.0,6:24:44,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
1,2,87,WOODS Michael,31,Team EF Education First-Drapac p/b Cannondale,400.0,200.0,0:370:37,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
2,3,61,BARDET Romain,27,AG2R La Mondiale,325.0,150.0,",,0:37",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
3,4,51,ALAPHILIPPE Julian,25,Quick-Step Floors,275.0,120.0,0:390:39,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
4,5,46,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,225.0,100.0,",,0:39",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
5,6,42,GASPAROTTO Enrico,36,Bahrain Merida Pro Cycling Team,175.0,90.0,",,0:39",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
6,7,93,FORMOLO Davide,25,BORA - hansgrohe,150.0,80.0,",,0:39",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
7,8,71,KREUZIGER Roman,31,Mitchelton-Scott,125.0,70.0,",,0:39",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
8,9,23,HENAO Sergio,30,Team Sky,100.0,60.0,",,0:39",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
9,10,111,FUGLSANG Jakob,33,Astana Pro Team,85.0,50.0,",,0:39",Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
10,11,157,VANENDERT Jelle,33,Lotto Soudal,70.0,46.0,0:450:45,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
11,12,37,OOMEN Sam,22,Team Sunweb,60.0,42.0,0:480:48,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
12,13,1,VALVERDE Alejandro,37,Movistar Team,50.0,38.0,0:510:51,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
13,14,73,HAIG Jack,24,Mitchelton-Scott,40.0,34.0,1:061:06,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
14,15,31,DUMOULIN Tom,27,Team Sunweb,35.0,30.0,1:241:24,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
15,16,151,WELLENS Tim,26,Lotto Soudal,30.0,28.0,1:441:44,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
16,17,141,HERRADA Jesús,27,"Cofidis, Solutions Crédits",30.0,26.0,2:082:08,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
17,18,11,MARTIN Dan,31,UAE-Team Emirates,30.0,24.0,2:412:41,Li_ge___Bastogne___Li_ge,0,22 April 2018,40.31 km/h,0,258.5 km,4
