,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,211,VAN AERT Wout,25,Team Jumbo-Visma,500.0,275.0,7:16:09,Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
1,2,1,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,400.0,200.0,",,0:00",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
2,3,221,MATTHEWS Michael,29,Team Sunweb,325.0,150.0,0:020:02,Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
3,4,71,SAGAN Peter,30,BORA - hansgrohe,275.0,120.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
4,5,181,NIZZOLO Giacomo,31,NTT Pro Cycling,225.0,100.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
5,6,165,SMITH Dion,27,Mitchelton-Scott,175.0,90.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
6,7,42,ARANBURU Alex,24,Astana Pro Team,150.0,80.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
7,8,81,VAN AVERMAET Greg,35,CCC Team,125.0,70.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
8,9,154,GILBERT Philippe,38,Lotto Soudal,100.0,60.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
9,10,55,MOHORIČ Matej,25,Bahrain - McLaren,85.0,50.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
10,11,15,VENDRAME Andrea,26,AG2R La Mondiale,70.0,46.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
11,12,254,POGAČAR Tadej,21,UAE-Team Emirates,60.0,42.0,",,0:02",Milano_Sanremo,0,08 August 2020,41.96 km/h,48,305 km,4
