,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,181,KRISTOFF Alexander,26,Team Katusha,100.0,275.0,6:55:56,Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
1,2,221,CANCELLARA Fabian,33,Trek Factory Racing,80.0,200.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
2,3,207,SWIFT Ben,26,Team Sky,70.0,150.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
3,4,132,LOBATO Juan José,25,Movistar Team,60.0,120.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
4,5,141,CAVENDISH Mark,28,Omega Pharma - Quick-Step,50.0,100.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
5,6,45,COLBRELLI Sonny,23,Bardiani - CSF Pro Team,40.0,90.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
6,7,147,ŠTYBAR Zdeněk,28,Omega Pharma - Quick-Step,30.0,80.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
7,8,115,MODOLO Sacha,26,Lampre - Merida,20.0,70.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
8,9,1,CIOLEK Gerald,27,MTN - Qhubeka,10.0,60.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
9,10,71,SAGAN Peter,24,Cannondale,4.0,50.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
10,11,95,NAVARDAUSKAS Ramūnas,26,Garmin Sharp,,46.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
11,12,205,PUCCIO Salvatore,24,Team Sky,,42.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
12,13,61,GILBERT Philippe,31,BMC Racing Team,,38.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
13,14,93,LANGEVELD Sebastian,29,Garmin Sharp,,34.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
14,15,55,NORDHAUG Lars Petter,29,Belkin-Pro Cycling Team,,30.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
15,16,87,OFFREDO Yoann,27,FDJ.fr,,28.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
16,17,138,VENTOSO Francisco José,31,Movistar Team,,26.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
17,18,211,BENNATI Daniele,33,Tinkoff - Saxo,,24.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
18,19,227,RAST Grégory,34,Trek Factory Racing,,22.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
19,20,224,FELLINE Fabio,23,Trek Factory Racing,,20.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
20,21,101,CHAVANEL Sylvain,34,IAM Cycling,,19.0,",,0:00",Milano_Sanremo,0,23 March 2014,42.411 km/h,0,294 km,7
