,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,VAN AVERMAET Greg,31,BMC Racing Team,300.0,200.0,4:55:06,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
1,2,11,SAGAN Peter,27,BORA - hansgrohe,250.0,150.0,",,0:00",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
2,3,41,VANMARCKE Sep,28,Cannondale-Drapac Pro Cycling Team,215.0,120.0,",,0:00",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
3,4,126,FELLINE Fabio,26,Trek - Segafredo,175.0,100.0,0:450:45,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
4,5,53,GATTO Oscar,32,Astana Pro Team,120.0,90.0,0:520:52,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
5,6,135,ROWE Luke,26,Team Sky,115.0,80.0,",,0:52",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
6,7,142,NAESEN Oliver,26,AG2R La Mondiale,95.0,70.0,",,0:52",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
7,8,122,STUYVEN Jasper,24,Trek - Segafredo,75.0,60.0,",,0:52",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
8,9,27,TRENTIN Matteo,27,Quick-Step Floors,60.0,50.0,0:560:56,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
9,10,218,PETIT Adrien,26,Direct Energie,50.0,40.0,0:580:58,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
10,11,162,BACKAERT Frederik,26,Wanty - Groupe Gobert,40.0,36.0,",,0:58",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
11,12,115,TEUNISSEN Mike,24,Team Sunweb,35.0,32.0,",,0:58",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
12,13,22,GILBERT Philippe,34,Quick-Step Floors,30.0,28.0,",,0:58",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
13,14,25,ŠTYBAR Zdeněk,31,Quick-Step Floors,25.0,24.0,",,0:58",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
14,15,36,ROELANDTS Jürgen,31,Lotto Soudal,20.0,20.0,1:021:02,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
15,16,87,CORT Magnus,24,ORICA-Scott,20.0,16.0,2:412:41,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
16,17,12,BURGHARDT Marcus,33,BORA - hansgrohe,20.0,14.0,",,2:41",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
17,18,105,ROOSEN Timo,24,Team LottoNL-Jumbo,20.0,12.0,2:442:44,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
18,19,52,BRESCHEL Matti,32,Astana Pro Team,20.0,10.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
19,20,71,DÉMARE Arnaud,25,FDJ,20.0,9.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
20,21,165,VAN KEIRSBULCK Guillaume,26,Wanty - Groupe Gobert,12.0,8.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
21,22,6,SCHÄR Michael,30,BMC Racing Team,12.0,7.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
22,23,171,JULES Justin,30,WB Veranclassic Aqua Protect,12.0,6.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
23,24,147,BAGDONAS Gediminas,31,AG2R La Mondiale,12.0,5.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
24,25,103,GROENEWEGEN Dylan,23,Team LottoNL-Jumbo,12.0,4.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
25,26,118,KRAGH ANDERSEN Søren,22,Team Sunweb,12.0,3.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
26,27,164,OFFREDO Yoann,30,Wanty - Groupe Gobert,12.0,3.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
27,28,48,KOREN Kristijan,30,Cannondale-Drapac Pro Cycling Team,12.0,3.0,",,2:44",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
28,29,32,DE BUYST Jasper,23,Lotto Soudal,12.0,3.0,2:592:59,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
29,30,58,VALGREN Michael,25,Astana Pro Team,12.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
30,31,204,JARRIER Benoît,28,Fortuneo - Oscaro,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
31,32,173,ISTA Kevyn,32,WB Veranclassic Aqua Protect,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
32,33,195,VAN DER HOORN Taco,23,Roompot - Nederlandse Loterij,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
33,34,7,DRUCKER Jempy,30,BMC Racing Team,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
34,35,64,COLBRELLI Sonny,26,Bahrain Merida Pro Cycling Team,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
35,36,225,SÉNÉCHAL Florian,23,"Cofidis, Solutions Crédits",5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
36,37,144,GOUGEARD Alexis,23,AG2R La Mondiale,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
37,38,43,LANGEVELD Sebastian,32,Cannondale-Drapac Pro Cycling Team,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
38,39,158,VAN LERBERGHE Bert,24,Sport Vlaanderen - Baloise,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
39,40,82,DURBRIDGE Luke,25,ORICA-Scott,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
40,41,191,ASSELMAN Jesper,26,Roompot - Nederlandse Loterij,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
41,42,75,KONOVALOVAS Ignatas,31,FDJ,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
42,43,197,VAN GOETHEM Brian,25,Roompot - Nederlandse Loterij,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
43,44,107,VAN EMDEN Jos,32,Team LottoNL-Jumbo,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
44,45,8,VENTOSO Francisco José,34,BMC Racing Team,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
45,46,133,MOSCON Gianni,22,Team Sky,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
46,47,121,THEUNS Edward,25,Trek - Segafredo,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
47,48,54,GRIVKO Andrey,33,Astana Pro Team,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
48,49,85,JUUL-JENSEN Christopher,27,ORICA-Scott,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
49,50,84,HAYMAN Mathew,38,ORICA-Scott,5.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
50,51,26,TERPSTRA Niki,32,Quick-Step Floors,2.0,3.0,",,2:59",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
51,52,157,VAN HECKE Preben,34,Sport Vlaanderen - Baloise,2.0,3.0,3:073:07,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
52,53,214,CHAVANEL Sylvain,37,Direct Energie,2.0,3.0,",,3:07",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
53,54,141,VANDENBERGH Stijn,32,AG2R La Mondiale,2.0,3.0,4:364:36,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
54,55,108,WYNANTS Maarten,34,Team LottoNL-Jumbo,2.0,3.0,",,4:36",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
55,56,146,JAUREGUI Quentin,22,AG2R La Mondiale,1.0,3.0,",,4:36",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
56,57,93,HOLLENSTEIN Reto,31,Team Katusha Alpecin,1.0,3.0,4:374:37,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
57,58,248,KONING Peter,26,Aqua Blue Sport,1.0,3.0,4:424:42,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
58,59,38,WALLAYS Jelle,27,Lotto Soudal,1.0,3.0,5:265:26,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
59,60,184,DEVOLDER Stijn,37,Vérandas Willems-Crelan,1.0,3.0,",,5:26",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
60,61,4,KÜNG Stefan,23,BMC Racing Team,,3.0,7:457:45,Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
61,62,227,TURGIS Jimmy,25,"Cofidis, Solutions Crédits",,3.0,",,7:45",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
62,63,14,PFINGSTEN Christoph,29,BORA - hansgrohe,,3.0,",,7:45",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
63,64,152,FARAZIJN Maxime,22,Sport Vlaanderen - Baloise,,3.0,",,7:45",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
64,65,112,DE BACKER Bert,32,Team Sunweb,,3.0,",,7:45",Omloop_Het_Nieuwsblad_ME,0,25 February 2017,40.32 km/h,0,198.3 km,26
