,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,DE GENDT Thomas,24,Vacansoleil - DCM,6.0,50.0,4:05:06,Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
1,2,,,0,ROY Jérémy,27,FDJ,4.0,30.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
2,3,,,0,HAUSSLER Heinrich,27,Team Garmin - Cervélo,2.0,18.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
3,4,,,0,SAGAN Peter,21,Liquigas - Cannondale,1.0,13.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
4,5,,,0,HENDERSON Gregory,34,Sky Procycling,1.0,10.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
5,6,,,0,VOIGT Jens,39,Leopard Trek,,7.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
6,7,,,0,WEYLANDT Wouter,26,Leopard Trek,,4.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
7,8,,,0,WYSS Danilo,25,BMC Racing Team,,3.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
8,9,,,0,FEILLU Romain,26,Vacansoleil - DCM,,2.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
9,10,,,0,STEEGMANS Gert,30,Quickstep Cycling Team,,1.0,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
10,11,,,0,DUMOULIN Samuel,30,"Cofidis, le Crédit en Ligne",,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
11,12,,,0,HUNTER Robert,33,RadioShack,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
12,13,,,0,GOSS Matthew,24,HTC - High Road,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
13,14,,,0,ROELANDTS Jürgen,25,Omega Pharma-Lotto,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
14,15,,,0,VACHON Florian,26,Bretagne Schuller,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
15,16,,,0,JEANNESSON Arnold,25,FDJ,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
16,17,,,0,GAVAZZI Francesco,26,Lampre - ISD,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
17,18,,,0,DELPECH Jean-Luc,31,Bretagne Schuller,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
18,19,,,0,RUIJGH Rob,24,Vacansoleil - DCM,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
19,20,,,0,PAURIOL Rémi,28,FDJ,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
20,21,,,0,HAEDO Lucas Sebastián,27,Saxo Bank - Sungard,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
21,22,,,0,KLÖDEN Andreas,35,RadioShack,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
22,23,,,0,GERDEMANN Linus,28,Leopard Trek,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
23,24,,,0,FUGLSANG Jakob,25,Leopard Trek,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
24,25,,,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
25,26,,,0,VAN EMDEN Jos,26,Rabobank Cycling Team,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
26,27,,,0,GERRANS Simon,30,Sky Procycling,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
27,28,,,0,CHAVANEL Sylvain,31,Quickstep Cycling Team,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
28,29,,,0,GALIMZYANOV Denis,23,Team Katusha,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
29,30,,,0,AGNOLI Valerio,26,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
30,31,,,0,DION Renaud,33,Bretagne Schuller,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
31,32,,,0,KREUZIGER Roman,24,Pro Team Astana,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
32,33,,,0,KIŠERLOVSKI Robert,24,Pro Team Astana,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
33,34,,,0,FÉDRIGO Pierrick,32,FDJ,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
34,35,,,0,PICHOT Alexandre,28,Team Europcar,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
35,36,,,0,PASAMONTES Luis,31,Movistar Team,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
36,37,,,0,VOECKLER Thomas,31,Team Europcar,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
37,38,,,0,OFFREDO Yoann,24,FDJ,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
38,39,,,0,MONFORT Maxime,28,Leopard Trek,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
39,40,,,0,DE WEERT Kevin,28,Quickstep Cycling Team,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
40,41,,,0,PINEAU Jérôme,31,Quickstep Cycling Team,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
41,42,,,0,MARTIN Tony,25,HTC - High Road,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
42,43,,,0,PORTE Richie,26,Saxo Bank - Sungard,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
43,44,,,0,TAARAMÄE Rein,23,"Cofidis, le Crédit en Ligne",,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
44,45,,,0,PATERSKI Maciej,24,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
45,46,,,0,CAPECCHI Eros,24,Liquigas - Cannondale,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
46,47,,,0,GUSEV Vladimir,28,Team Katusha,,,",,0:00",Paris - Nice,1,06 March 2011,37.821 km/h,0,154.5 km,10
