,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,81,VAN AVERMAET Greg,31,BMC Racing Team,500.0,275.0,5:41:07,Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
1,2,15,ŠTYBAR Zdeněk,31,Quick-Step Floors,400.0,200.0,",,0:00",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
2,3,34,LANGEVELD Sebastian,32,Cannondale-Drapac Pro Cycling Team,325.0,150.0,",,0:00",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
3,4,66,STUYVEN Jasper,24,Trek - Segafredo,275.0,120.0,",,0:00",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
4,5,25,MOSCON Gianni,22,Team Sky,225.0,100.0,",,0:00",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
5,6,111,DÉMARE Arnaud,25,FDJ,175.0,90.0,0:120:12,Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
6,7,51,GREIPEL André,34,Lotto Soudal,150.0,80.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
7,8,67,THEUNS Edward,25,Trek - Segafredo,125.0,70.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
8,9,127,PETIT Adrien,26,Direct Energie,100.0,60.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
9,10,61,DEGENKOLB John,28,Trek - Segafredo,85.0,50.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
10,11,1,HAYMAN Mathew,38,ORICA-Scott,70.0,46.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
11,12,161,SÉNÉCHAL Florian,23,"Cofidis, Solutions Crédits",60.0,42.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
12,13,11,BOONEN Tom,36,Quick-Step Floors,50.0,38.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
13,14,191,OFFREDO Yoann,30,Wanty - Groupe Gobert,40.0,34.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
14,15,183,DE VREESE Laurens,28,Astana Pro Team,35.0,30.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
15,16,73,BURGHARDT Marcus,33,BORA - hansgrohe,30.0,28.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
16,17,172,ALLEGAERT Piet,22,Sport Vlaanderen - Baloise,30.0,26.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
17,18,55,MAES Nikolas,31,Lotto Soudal,30.0,24.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
18,19,121,CHAVANEL Sylvain,37,Direct Energie,30.0,22.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
19,20,31,VAN BAARLE Dylan,24,Cannondale-Drapac Pro Cycling Team,30.0,20.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
20,21,85,OSS Daniel,30,BMC Racing Team,20.0,19.0,",,0:12",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
21,22,56,ROELANDTS Jürgen,31,Lotto Soudal,20.0,18.0,0:200:20,Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
22,23,58,WALLAYS Jelle,27,Lotto Soudal,20.0,17.0,0:260:26,Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
23,24,57,SIEBERG Marcel,34,Lotto Soudal,20.0,16.0,0:360:36,Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
24,25,141,SINKELDAM Ramon,28,Team Sunweb,20.0,15.0,2:242:24,Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
25,26,236,MARCATO Marco,33,UAE Team Emirates,20.0,14.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
26,27,157,POLITT Nils,23,Team Katusha Alpecin,20.0,13.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
27,28,168,VAN GENECHTEN Jonas,30,"Cofidis, Solutions Crédits",20.0,12.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
28,29,63,DE KORT Koen,34,Trek - Segafredo,20.0,11.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
29,30,178,VAN LERBERGHE Bert,24,Sport Vlaanderen - Baloise,20.0,10.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
30,31,131,NAESEN Oliver,26,AG2R La Mondiale,10.0,9.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
31,32,144,DE BACKER Bert,33,Team Sunweb,10.0,8.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
32,33,95,VAN EMDEN Jos,32,Team LottoNL-Jumbo,10.0,7.0,",,2:24",Paris_Roubaix,0,09 April 2017,45.2 km/h,0,257 km,26
