,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,+0:15,121,NIZZOLO Giacomo,31,NTT Pro Cycling,60.0,50.0,3:49:57,Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
1,2,107,+14:51,32,ACKERMANN Pascal,26,BORA - hansgrohe,25.0,30.0,",,0:00",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
2,3,3,+0:21,7,STUYVEN Jasper,27,Trek - Segafredo,10.0,18.0,",,0:00",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
3,4,5,+0:25,131,POLITT Nils,26,Israel Start-Up Nation,,13.0,",,0:00",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
4,5,4,+0:23,101,HIGUITA Sergio,22,EF Pro Cycling,,10.0,",,0:00",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
5,6,6,+0:25,137,WÜRTZ SCHMIDT Mads,25,Israel Start-Up Nation,,7.0,",,0:00",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
6,7,9,+0:28,6,NIBALI Vincenzo,35,Trek - Segafredo,,4.0,0:030:03,Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
7,8,1,+0:00,37,SCHACHMANN Maximilian,26,BORA - hansgrohe,,3.0,",,0:03",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
8,9,7,+0:28,34,GROßSCHARTNER Felix,26,BORA - hansgrohe,,2.0,",,0:03",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
9,10,8,+0:28,136,NEILANDS Krists,25,Israel Start-Up Nation,,1.0,",,0:03",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
10,11,13,+0:42,31,SAGAN Peter,30,BORA - hansgrohe,,,",,0:03",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
11,12,109,+15:15,128,WALSCHEID Max,26,NTT Pro Cycling,,,0:180:18,Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
12,13,92,+10:01,71,VIVIANI Elia,31,"Cofidis, Solutions Crédits",,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
13,14,44,+4:09,135,HOFSTETTER Hugo,26,Israel Start-Up Nation,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
14,15,14,+0:43,56,NAESEN Oliver,29,AG2R La Mondiale,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
15,16,34,+3:10,147,ŠIŠKEVIČIUS Evaldas,31,NIPPO DELKO One Provence,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
16,17,111,+15:15,4,KIRSCH Alex,27,Trek - Segafredo,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
17,18,33,+3:10,51,BARDET Romain,29,AG2R La Mondiale,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
18,19,23,+1:16,35,KONRAD Patrick,28,BORA - hansgrohe,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
19,20,15,+0:43,21,PINOT Thibaut,29,Groupama - FDJ,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
20,21,12,+0:42,27,MOLARD Rudy,30,Groupama - FDJ,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
21,22,112,+15:15,2,PEDERSEN Mads,24,Trek - Segafredo,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
22,23,110,+15:15,124,GOGL Michael,26,NTT Pro Cycling,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
23,24,60,+6:04,52,CHEREL Mikaël,33,AG2R La Mondiale,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
24,25,113,+15:15,107,VANMARCKE Sep,31,EF Pro Cycling,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
25,26,47,+4:15,57,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
26,27,45,+4:09,24,LADAGNOUS Matthieu,35,Groupama - FDJ,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
27,28,35,+3:10,23,KÜNG Stefan,26,Groupama - FDJ,,,",,0:18",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
28,29,38,+3:28,155,PASQUALON Andrea,32,Circus - Wanty Gobert,,,0:360:36,Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
29,30,41,+3:52,146,RAJOVIĆ Dušan,22,NIPPO DELKO One Provence,,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
30,31,16,+1:01,65,DEGENKOLB John,31,Lotto Soudal,,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
31,32,18,+1:01,91,MATTHEWS Michael,29,Team Sunweb,,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
32,33,48,+4:27,26,LUDVIGSSON Tobias,29,Groupama - FDJ,,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
33,34,10,+0:38,93,BENOOT Tiesj,25,Team Sunweb,,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
34,35,42,+3:52,123,GIBBONS Ryan,25,NTT Pro Cycling,,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
35,36,52,+4:33,77,TOUZÉ Damien,23,"Cofidis, Solutions Crédits",,,",,0:36",Paris___Nice,2,09 March 2020,43.44 km/h,14,166.5 km,9
