,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,MARTIN Tony,25,HTC - High Road,6.0,50.0,0:33:24,48.503,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
1,2,,,0,WIGGINS Bradley,30,Sky Procycling,4.0,30.0,0:200:20,48.023999999999994,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
2,3,,,0,PORTE Richie,26,Saxo Bank - Sungard,2.0,18.0,0:290:29,47.81100000000001,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
3,4,,,0,KLÖDEN Andreas,35,RadioShack,1.0,13.0,0:460:46,47.415,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
4,5,,,0,PERAUD Jean-Christophe,33,AG2R La Mondiale,1.0,10.0,0:550:55,47.207,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
5,6,,,0,WESTRA Lieuwe,28,Vacansoleil - DCM,,7.0,0:570:57,47.162,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
6,7,,,0,TALANSKY Andrew,22,Team Garmin - Cervélo,,4.0,1:051:05,46.979,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
7,8,,,0,TAARAMÄE Rein,23,"Cofidis, le Crédit en Ligne",,3.0,1:101:10,46.86600000000001,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
8,9,,,0,LEIPHEIMER Levi,37,RadioShack,,2.0,",,1:10",46.86600000000001,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
9,10,,,0,VAN GARDEREN Tejay,22,HTC - High Road,,1.0,1:291:29,46.441,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
10,11,,,0,VINOKOUROV Alexandre,37,Pro Team Astana,,,",,1:29",46.441,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
11,12,,,0,BRAJKOVIČ Janez,27,RadioShack,,,1:321:32,46.373999999999995,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
12,13,,,0,MOLLEMA Bauke,24,Rabobank Cycling Team,,,1:381:38,46.242,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
13,14,,,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,,1:401:40,46.198,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
14,15,,,0,DE GENDT Thomas,24,Vacansoleil - DCM,,,1:431:43,46.132,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
15,16,,,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,,,",,1:43",46.132,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
16,17,,,0,DEVOLDER Stijn,31,Vacansoleil - DCM,,,1:471:47,46.045,Paris___Nice,6,11 March 2011,48.503 km/h,0,27 km,10
