,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,101,HENAO Sergio,29,Team Sky,500.0,250,29:50:29,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
1,2,3,▲1,11,CONTADOR Alberto,34,Trek - Segafredo,400.0,190,0:020:02,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
2,3,2,▼1,61,MARTIN Dan,30,Quick-Step Floors,325.0,160,0:300:30,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
3,4,4,-,86,IZAGIRRE Gorka,29,Movistar Team,275.0,140,1:001:00,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
4,5,5,-,62,ALAPHILIPPE Julian,24,Quick-Step Floors,225.0,120,1:221:22,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
5,6,6,-,21,ZAKARIN Ilnur,27,Team Katusha Alpecin,175.0,110,1:341:34,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
6,7,7,-,31,IZAGIRRE Ion,28,Bahrain Merida Pro Cycling Team,150.0,100,1:411:41,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
7,8,9,▲1,153,BARGUIL Warren,25,Team Sunweb,125.0,90,4:074:07,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
8,9,10,▲1,41,YATES Simon,24,ORICA-Scott,100.0,80,4:394:39,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
9,10,8,▼2,51,GALLOPIN Tony,28,Lotto Soudal,85.0,70,9:149:14,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
10,11,12,▲1,1,PORTE Richie,32,BMC Racing Team,70.0,60,14:2614:26,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
11,12,15,▲3,131,FUGLSANG Jakob,31,Astana Pro Team,60.0,55,18:0718:07,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
12,13,11,▼2,65,GILBERT Philippe,34,Quick-Step Floors,50.0,50,19:3319:33,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
13,14,16,▲2,156,OOMEN Sam,21,Team Sunweb,40.0,45,20:0820:08,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
14,15,14,▼1,204,HARDY Romain,28,Fortuneo - Oscaro,35.0,40,20:2520:25,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
15,16,13,▼3,117,MOLARD Rudy,27,FDJ,30.0,36,20:5320:53,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
16,17,18,▲1,15,PANTANO Jarlinson,28,Trek - Segafredo,30.0,32,25:0725:07,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
17,18,17,▼1,4,ROCHE Nicolas,32,BMC Racing Team,30.0,28,30:4930:49,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
18,19,21,▲2,77,NAESEN Oliver,26,AG2R La Mondiale,30.0,24,31:5531:55,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
19,20,20,-,211,FINETTO Mauro,31,Delko Marseille Provence KTM,30.0,20,33:2533:25,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
20,21,23,▲2,193,CHAVANEL Sylvain,37,Direct Energie,20.0,18,35:0735:07,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
21,22,22,-,74,FRANK Mathias,30,AG2R La Mondiale,20.0,16,35:1435:14,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
22,23,27,▲4,64,DE LA CRUZ David,27,Quick-Step Floors,20.0,14,",,35:14",..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
23,24,28,▲4,87,SOLER Marc,23,Movistar Team,20.0,12,36:2336:23,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
24,25,26,▲1,107,NIEVE Mikel,32,Team Sky,20.0,10,38:3038:30,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
25,26,25,▼1,186,KONRAD Patrick,25,BORA - hansgrohe,20.0,9,41:1441:14,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
26,27,33,▲6,161,ULISSI Diego,27,UAE Team Emirates,20.0,8,43:0943:09,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
27,28,19,▼9,96,TANKINK Bram,38,Team LottoNL-Jumbo,20.0,7,43:3943:39,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
28,29,30,▲1,85,HERRADA José,31,Movistar Team,20.0,6,44:0444:04,..,Paris___Nice,GC,12 March 2017,-,0,0 km,4
