,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,MARTIN Tony,25,HTC - High Road,100.0,250,34:03:37,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
1,2,0,KLÖDEN Andreas,35,RadioShack,80.0,190,0:360:36,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
2,3,0,WIGGINS Bradley,30,Sky Procycling,70.0,160,0:410:41,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
3,4,0,TAARAMÄE Rein,23,"Cofidis, le Crédit en Ligne",60.0,140,1:101:10,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
4,5,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,50.0,120,1:131:13,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
5,6,0,PERAUD Jean-Christophe,33,AG2R La Mondiale,40.0,110,1:241:24,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
6,7,0,BRAJKOVIČ Janez,27,RadioShack,30.0,100,1:341:34,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
7,8,0,LEIPHEIMER Levi,37,RadioShack,20.0,90,1:361:36,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
8,9,0,MOLLEMA Bauke,24,Rabobank Cycling Team,10.0,80,2:042:04,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
9,10,0,MONFORT Maxime,28,Leopard Trek,4.0,70,2:262:26,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
10,11,0,CARRARA Matteo,31,Vacansoleil - DCM,,60,2:352:35,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
11,12,0,ROGERS Michael,31,Sky Procycling,,55,2:422:42,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
12,13,0,ŠPILAK Simon,24,Lampre - ISD,,50,3:243:24,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
13,14,0,TONDO Xavier,32,Movistar Team,,45,5:435:43,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
14,15,0,KADRI Blel,24,AG2R La Mondiale,,40,6:196:19,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
15,16,0,ROJAS José Joaquín,25,Movistar Team,,36,7:037:03,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
16,17,0,KREUZIGER Roman,24,Pro Team Astana,,32,7:107:10,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
17,18,0,GERDEMANN Linus,28,Leopard Trek,,28,8:118:11,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
18,19,0,ULISSI Diego,21,Lampre - ISD,,24,8:148:14,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
19,20,0,PASAMONTES Luis,31,Movistar Team,,20,8:278:27,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
20,21,0,VOECKLER Thomas,31,Team Europcar,,18,9:589:58,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
21,22,0,PORTE Richie,26,Saxo Bank - Sungard,,16,10:2110:21,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
22,23,0,DI GRÉGORIO Rémy,25,Pro Team Astana,,14,10:4510:45,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
23,24,0,VERDUGO Gorka,32,Euskaltel - Euskadi,,12,13:4113:41,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
24,25,0,EL FARES Julien,25,"Cofidis, le Crédit en Ligne",,10,14:0514:05,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
25,26,0,SØRENSEN Chris Anker,26,Saxo Bank - Sungard,,9,14:5814:58,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
26,27,0,DEVOLDER Stijn,31,Vacansoleil - DCM,,8,15:1715:17,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
27,28,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,7,15:5815:58,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
28,29,0,URÁN Rigoberto,24,Sky Procycling,,6,16:2816:28,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
29,30,0,TROFIMOV Yuri,27,Team Katusha,,5,17:0217:02,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
30,31,0,VAN GARDEREN Tejay,22,HTC - High Road,,5,19:0019:00,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
31,32,0,VORGANOV Eduard,28,Team Katusha,,5,19:3219:32,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
32,33,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,5,21:5321:53,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
33,34,0,PAURIOL Rémi,28,FDJ,,5,22:1822:18,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
34,35,0,DE MAAR Marc,27,Quickstep Cycling Team,,5,22:4522:45,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
35,36,0,SIUTSOU Kanstantsin,28,HTC - High Road,,5,22:5222:52,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
36,37,0,LEUKEMANS Björn,33,Vacansoleil - DCM,,5,25:0925:09,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
37,38,0,FINETTO Mauro,25,Liquigas - Cannondale,,5,25:5525:55,..,Paris___Nice,GC,13 March 2011,38.329 km/h,0,0 km,10
