,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,11,DEGENKOLB John,26,Team Giant - Alpecin,100.0,275.0,5:49:51,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
1,2,5,ŠTYBAR Zdeněk,29,Etixx - Quick Step,80.0,200.0,",,0:00",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
2,3,61,VAN AVERMAET Greg,29,BMC Racing Team,70.0,150.0,",,0:00",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
3,4,81,BOOM Lars,29,Astana Pro Team,60.0,120.0,",,0:00",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
4,5,143,ELMIGER Martin,36,IAM Cycling,50.0,100.0,",,0:00",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
5,6,106,KEUKELEIRE Jens,26,Orica GreenEDGE,40.0,90.0,",,0:00",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
6,7,3,LAMPAERT Yves,24,Etixx - Quick Step,30.0,80.0,0:070:07,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
7,8,56,ROWE Luke,25,Team Sky,20.0,70.0,0:280:28,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
8,9,126,DEBUSSCHERE Jens,25,Lotto Soudal,10.0,60.0,0:290:29,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
9,10,21,KRISTOFF Alexander,27,Team Katusha,4.0,50.0,0:310:31,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
10,11,41,VANMARCKE Sep,26,Team LottoNL-Jumbo,,46.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
11,12,14,DE BACKER Bert,31,Team Giant - Alpecin,,42.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
12,13,147,SARAMOTINS Aleksejs,33,IAM Cycling,,38.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
13,14,83,BOŽIČ Borut,34,Astana Pro Team,,34.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
14,15,1,TERPSTRA Niki,30,Etixx - Quick Step,,30.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
15,16,235,SCHILLINGER Andreas,31,Bora - Argon 18,,28.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
16,17,161,SÉNÉCHAL Florian,21,"Cofidis, Solutions Crédits",,26.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
17,18,51,WIGGINS Bradley,34,Team Sky,,24.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
18,19,211,LEUKEMANS Björn,37,Wanty - Groupe Gobert,,22.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
19,20,94,RAST Grégory,35,Trek Factory Racing,,20.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
20,21,127,ROELANDTS Jürgen,29,Lotto Soudal,,19.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
21,22,216,MARCATO Marco,31,Wanty - Groupe Gobert,,18.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
22,23,31,SAGAN Peter,25,Tinkoff - Saxo,,17.0,",,0:31",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
23,24,84,DE VREESE Laurens,26,Astana Pro Team,,16.0,1:381:38,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
24,25,213,BACKAERT Frederik,25,Wanty - Groupe Gobert,,15.0,",,1:38",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
25,26,115,GOUGEARD Alexis,22,AG2R La Mondiale,,14.0,",,1:38",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
26,27,16,SINKELDAM Ramon,26,Team Giant - Alpecin,,13.0,2:212:21,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
27,28,121,GREIPEL André,32,Lotto Soudal,,12.0,2:552:55,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
28,29,36,MØRKØV Michael,29,Tinkoff - Saxo,,11.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
29,30,214,DE TROYER Tim,24,Wanty - Groupe Gobert,,10.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
30,31,15,DE KORT Koen,32,Team Giant - Alpecin,,9.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
31,32,77,OFFREDO Yoann,28,FDJ,,8.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
32,33,8,VANDENBERGH Stijn,30,Etixx - Quick Step,,7.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
33,34,66,QUINZIATO Manuel,35,BMC Racing Team,,6.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
34,35,122,BAK Lars Ytting,35,Lotto Soudal,,5.0,",,2:55",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
35,36,128,SIEBERG Marcel,32,Lotto Soudal,,5.0,2:582:58,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
36,37,71,DÉMARE Arnaud,23,FDJ,,5.0,3:213:21,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
37,38,184,JARRIER Benoît,26,Bretagne - Séché Environnement,,5.0,",,3:21",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
38,39,46,VAN ASBROECK Tom,24,Team LottoNL-Jumbo,,5.0,",,3:21",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
39,40,207,MARTINEZ Yannick,26,Team Europcar,,5.0,3:243:24,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
40,41,192,DECLERCQ Tim,26,Topsport Vlaanderen - Baloise,,5.0,",,3:24",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
41,42,62,BURGHARDT Marcus,31,BMC Racing Team,,5.0,",,3:24",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
42,43,86,GRUZDEV Dmitriy,29,Astana Pro Team,,5.0,",,3:24",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
43,44,25,PAOLINI Luca,38,Team Katusha,,5.0,",,3:24",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
44,45,98,VAN POPPEL Danny,21,Trek Factory Racing,,5.0,",,3:24",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
45,46,117,MINARD Sébastien,32,AG2R La Mondiale,,5.0,",,3:24",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
46,47,57,STANNARD Ian,27,Team Sky,,5.0,3:293:29,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
47,48,23,HALLER Marco,24,Team Katusha,,5.0,6:056:05,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
48,49,97,STUYVEN Jasper,22,Trek Factory Racing,,5.0,",,6:05",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
49,50,24,KUZNETSOV Viacheslav,25,Team Katusha,,5.0,",,6:05",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
50,51,6,TRENTIN Matteo,25,Etixx - Quick Step,,5.0,7:357:35,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
51,52,48,WYNANTS Maarten,32,Team LottoNL-Jumbo,,5.0,7:487:48,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
52,53,196,THEUNS Edward,23,Topsport Vlaanderen - Baloise,,5.0,7:507:50,Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
53,54,171,FARRAR Tyler,30,MTN - Qhubeka,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
54,55,241,BAZZANA Alessandro,30,UnitedHealthcare Pro Cycling Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
55,56,201,ENGOULVENT Jimmy,35,Team Europcar,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
56,57,193,NAESEN Oliver,24,Topsport Vlaanderen - Baloise,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
57,58,194,SALOMEIN Jarl,26,Topsport Vlaanderen - Baloise,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
58,59,248,ZURLO Federico,21,UnitedHealthcare Pro Cycling Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
59,60,243,FRATTINI Davide,36,UnitedHealthcare Pro Cycling Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
60,61,136,OLIVEIRA Nelson,26,Lampre - Merida,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
61,62,7,VAN KEIRSBULCK Guillaume,24,Etixx - Quick Step,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
62,63,64,KÜNG Stefan,21,BMC Racing Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
63,64,221,ERVITI Imanol,31,Movistar Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
64,65,131,POZZATO Filippo,33,Lampre - Merida,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
65,66,228,VENTOSO Francisco José,32,Movistar Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
66,67,65,OSS Daniel,28,BMC Racing Team,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
67,68,13,CURVERS Roy,35,Team Giant - Alpecin,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
68,69,238,THWAITES Scott,25,Bora - Argon 18,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
69,70,26,PORSEV Alexander,29,Team Katusha,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
70,71,52,EISEL Bernhard,34,Team Sky,,5.0,",,7:50",Paris___Roubaix,0,12 April 2015,43.48 km/h,0,253.5 km,21
