,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,12,BENNETT Sam,28,BORA - hansgrohe,40.0,35.0,4:41:48,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
1,2,2,+0:14,13,GROßSCHARTNER Felix,25,BORA - hansgrohe,15.0,20.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
2,3,3,+0:16,104,RESTREPO Jhonatan,24,Manzana Postobon,6.0,12.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
3,4,7,+0:20,73,SERRANO Gonzalo,24,Caja Rural - Seguros RGA,,9.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
4,5,4,+0:20,55,POLANC Jan,26,UAE-Team Emirates,,7.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
5,6,6,+0:20,82,FINETTO Mauro,33,Delko Marseille Provence,,5.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
6,7,5,+0:20,52,CONTI Valerio,26,UAE-Team Emirates,,3.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
7,8,8,+0:23,156,PINTO Edgar,33,W52 / FC Porto,,2.0,0:030:03,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
8,9,12,+0:24,116,SCHÖNBERGER Sebastian,24,Neri Sottoli - Selle Italia - KTM,,1.0,0:040:04,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
9,10,10,+0:24,93,BARTHE Cyril,23,Euskadi Basque Country - Murias,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
10,11,11,+0:24,5,KUDUS Merhawi,25,Astana Pro Team,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
11,12,9,+0:24,146,NOPPE Christophe,24,Sport Vlaanderen - Baloise,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
12,13,14,+0:24,105,OCHOA Diego Antonio,25,Manzana Postobon,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
13,14,13,+0:24,162,BALKAN Onur,23,Turkey,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
14,15,15,+0:24,15,PÖSTLBERGER Lukas,27,BORA - hansgrohe,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
15,16,45,+0:45,121,LOBATO Juan José,30,Nippo Vini Fantini Faizanè,,,",,0:04",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
16,17,17,+0:29,32,EVENEPOEL Remco,19,Deceuninck - Quick Step,,,0:090:09,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
17,18,16,+0:29,51,CONSONNI Simone,24,UAE-Team Emirates,,,",,0:09",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
18,19,18,+0:29,14,PFINGSTEN Christoph,31,BORA - hansgrohe,,,",,0:09",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
19,20,19,+0:33,46,O'CONNOR Ben,23,Team Dimension Data,,,0:130:13,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
20,21,22,+0:34,57,RIABUSHENKO Alexandr,23,UAE-Team Emirates,,,0:140:14,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
21,22,21,+0:34,83,GROSU Eduard-Michael,26,Delko Marseille Provence,,,",,0:14",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
22,23,32,+0:36,117,VAN EMPEL Etienne,25,Neri Sottoli - Selle Italia - KTM,,,0:160:16,Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
23,24,34,+0:36,53,MUÑOZ Cristian Camilo,23,UAE-Team Emirates,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
24,25,35,+0:36,25,VANHOUCKE Harm,21,Lotto Soudal,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
25,26,29,+0:36,81,FERNÁNDEZ Delio,33,Delko Marseille Provence,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
26,27,28,+0:36,1,FOMINYKH Daniil,27,Astana Pro Team,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
27,28,27,+0:36,3,NATAROV Yuriy,22,Astana Pro Team,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
28,29,33,+0:36,106,SIERRA Yecid,24,Manzana Postobon,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
29,30,20,+0:33,112,FORTUNATO Lorenzo,22,Neri Sottoli - Selle Italia - KTM,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
30,31,38,+0:36,136,MURPHY Kyle,27,Rally UHC Cycling,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
31,32,39,+0:36,123,ITO Masakazu,30,Nippo Vini Fantini Faizanè,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
32,33,31,+0:36,115,MARENGO Umberto,26,Neri Sottoli - Selle Italia - KTM,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
33,34,36,+0:36,31,CAPECCHI Eros,32,Deceuninck - Quick Step,,,",,0:16",Presidential_Cycling_Tour_of_Turkey,2,17 April 2019,39.028 km/h,35,183.3 km,128
