,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,86,+3:53,34,JAKOBSEN Fabio,22,Deceuninck - Quick Step,40.0,35.0,2:50:12,Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
1,2,1,+0:00,12,BENNETT Sam,28,BORA - hansgrohe,15.0,20.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
2,3,88,+4:01,44,CAVENDISH Mark,33,Team Dimension Data,6.0,12.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
3,4,47,+0:56,21,EWAN Caleb,24,Lotto Soudal,,9.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
4,5,9,+0:30,146,NOPPE Christophe,24,Sport Vlaanderen - Baloise,,7.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
5,6,92,+4:05,72,MALUCELLI Matteo,25,Caja Rural - Seguros RGA,,5.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
6,7,104,+4:30,62,GIBSON Matthew,22,Burgos-BH,,3.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
7,8,51,+1:10,114,PACIONI Luca,25,Neri Sottoli - Selle Italia - KTM,,2.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
8,9,67,+2:00,102,PARRA Jordan,24,Manzana Postobon,,1.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
9,10,26,+0:42,2,GIDICH Yevgeniy,22,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
10,11,16,+0:35,51,CONSONNI Simone,24,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
11,12,50,+1:07,91,SANZ Enrique,29,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
12,13,108,+6:03,101,GÓMEZ Bryan,24,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
13,14,78,+2:46,56,MOLANO Juan Sebastián,24,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
14,15,22,+0:40,83,GROSU Eduard-Michael,26,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
15,16,46,+0:54,37,RICHEZE Maximiliano,36,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
16,17,60,+1:23,127,LONARDI Giovanni,22,Nippo Vini Fantini Faizanè,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
17,18,27,+0:42,67,SUREDA Jaume,22,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
18,19,71,+2:04,157,CALDEIRA Samuel José,33,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
19,20,109,+6:03,135,MURPHY John,34,Rally UHC Cycling,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
20,21,59,+1:19,4,ZAKHAROV Artyom,27,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
21,22,52,+1:10,65,LÓPEZ Daniel,25,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
22,23,103,+4:20,26,WOUTERS Enzo,23,Lotto Soudal,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
23,24,93,+4:05,71,CAÑELLAS Xavier,22,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
24,25,74,+2:16,103,CHIA Luis Carlos,22,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
25,26,89,+4:02,147,WILLEMS Thimo,23,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
26,27,82,+3:27,95,VIEJO José Daniel,21,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
27,28,64,+1:30,161,ÖRKEN Ahmet,26,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
28,29,4,+0:26,55,POLANC Jan,26,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
29,30,54,+1:10,87,ROCHAS Rémy,22,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
30,31,70,+2:02,24,KLUGE Roger,33,Lotto Soudal,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
31,32,5,+0:26,73,SERRANO Gonzalo,24,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
32,33,2,+0:20,13,GROßSCHARTNER Felix,25,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
33,34,94,+4:05,167,DOĞAN Halil İbrahim,18,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
34,35,10,+0:30,5,KUDUS Merhawi,25,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
35,36,30,+0:42,25,VANHOUCKE Harm,21,Lotto Soudal,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
36,37,102,+4:15,154,FERREIRA José,24,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
37,38,28,+0:42,81,FERNÁNDEZ Delio,33,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
38,39,95,+4:05,86,DE ROSSI Lucas,23,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
39,40,20,+0:39,46,O'CONNOR Ben,23,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
40,41,66,+1:55,36,MØRKØV Michael,33,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
41,42,8,+0:29,156,PINTO Edgar,33,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
42,43,49,+1:00,94,IRIZAR Julen,24,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
43,44,17,+0:35,32,EVENEPOEL Remco,19,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
44,45,11,+0:30,116,SCHÖNBERGER Sebastian,24,Neri Sottoli - Selle Italia - KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
45,46,53,+1:10,75,ABERASTURI Jon,30,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
46,47,42,+0:51,145,VAN POUCKE Aaron,21,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
47,48,18,+0:35,14,PFINGSTEN Christoph,31,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
48,49,23,+0:40,155,MESTRE Ricardo,35,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
49,50,14,+0:30,15,PÖSTLBERGER Lukas,27,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
50,51,33,+0:42,53,MUÑOZ Cristian Camilo,23,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
51,52,65,+1:30,64,BICO Nuno,24,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
52,53,12,+0:30,162,BALKAN Onur,23,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
53,54,56,+1:10,107,MENDOZA Omar Alberto,29,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
54,55,75,+2:16,77,SOTO Nelson Andrés,24,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,3,18 April 2019,43.22 km/h,22,122.6 km,128
