,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,91,+11:26,41,BENNETT Sam,27,BORA - hansgrohe,40.0,35.0,3:36:28,Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
1,2,1,+0:00,135,PRADES Eduard,31,Euskadi - Murias,15.0,20.0,0:060:06,Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
2,3,52,+4:38,34,DRUCKER Jempy,32,BMC Racing Team,6.0,12.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
3,4,13,+0:19,75,TEUNISSEN Mike,26,Team Sunweb,,9.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
4,5,92,+11:42,115,SAJNOK Szymon,21,CCC Sprandi Polkowice,,7.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
5,6,25,+0:49,105,SERRANO Gonzalo,24,Caja Rural - Seguros RGA,,5.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
6,7,69,+7:50,32,BOHLI Tom,24,BMC Racing Team,,3.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
7,8,4,+0:04,1,ULISSI Diego,29,UAE-Team Emirates,,2.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
8,9,6,+0:10,85,GUERREIRO Ruben,24,Trek - Segafredo,,1.0,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
9,10,54,+5:14,57,ŠTYBAR Zdeněk,32,Quick-Step Floors,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
10,11,3,+0:04,64,HAAS Nathan,29,Team Katusha Alpecin,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
11,12,75,+8:51,163,NOPPE Christophe,23,Sport Vlaanderen - Baloise,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
12,13,2,+0:00,14,LUTSENKO Alexey,26,Astana Pro Team,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
13,14,7,+0:10,121,FERNÁNDEZ Delio,32,Delko Marseille Provence KTM,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
14,15,39,+2:19,23,HAUSSLER Heinrich,34,Bahrain Merida Pro Cycling Team,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
15,16,60,+5:42,76,THEUNS Edward,27,Team Sunweb,,,",,0:06",Presidential_Cycling_Tour_of_Turkey,6,14 October 2018,46.21 km/h,13,166.7 km,73
