,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,4,▲3,135,PRADES Eduard,31,Euskadi - Murias,300.0,200,22:26:16,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
1,2,1,▼1,14,LUTSENKO Alexey,26,Astana Pro Team,250.0,150,",,0:00",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
2,3,2,▼1,64,HAAS Nathan,29,Team Katusha Alpecin,215.0,120,0:040:04,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
3,4,3,▼1,1,ULISSI Diego,29,UAE-Team Emirates,175.0,100,",,0:04",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
4,5,5,-,83,FELLINE Fabio,28,Trek - Segafredo,120.0,90,0:090:09,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
5,6,6,-,85,GUERREIRO Ruben,24,Trek - Segafredo,115.0,80,0:100:10,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
6,7,7,-,121,FERNÁNDEZ Delio,32,Delko Marseille Provence KTM,95.0,70,",,0:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
7,8,8,-,63,FABBRO Matteo,23,Team Katusha Alpecin,75.0,60,",,0:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
8,9,9,-,127,FINETTO Mauro,33,Delko Marseille Provence KTM,60.0,50,",,0:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
9,10,10,-,36,ROCHE Nicolas,34,BMC Racing Team,50.0,40,",,0:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
10,11,11,-,35,FRANKINY Kilian,24,BMC Racing Team,40.0,36,",,0:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
11,12,12,-,33,BOOKWALTER Brent,34,BMC Racing Team,35.0,32,",,0:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
12,13,13,-,75,TEUNISSEN Mike,26,Team Sunweb,30.0,28,0:190:19,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
13,14,14,-,153,AGUIRRE Hernán Ricardo,22,Manzana Postobon,25.0,24,",,0:19",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
14,15,15,-,164,SPRENGERS Thomas,28,Sport Vlaanderen - Baloise,20.0,20,0:220:22,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
15,16,16,-,157,ORJUELA Fernando,26,Manzana Postobon,20.0,16,0:240:24,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
16,17,17,-,162,DELTOMBE Kevin,24,Sport Vlaanderen - Baloise,20.0,14,0:250:25,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
17,18,18,-,141,ROVNY Ivan,31,Gazprom-RusVelo,20.0,12,",,0:25",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
18,19,19,-,66,HOLLENSTEIN Reto,33,Team Katusha Alpecin,20.0,10,0:330:33,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
19,20,20,-,55,KNOX James,22,Quick-Step Floors,20.0,9,0:360:36,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
20,21,21,-,106,FERRARI Fabricio,33,Caja Rural - Seguros RGA,12.0,8,0:390:39,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
21,22,22,-,176,PEYSKENS Dimitri,26,WB Aqua Protect Veranclassic,12.0,7,0:410:41,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
22,23,23,-,45,PÖSTLBERGER Lukas,26,BORA - hansgrohe,12.0,6,",,0:41",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
23,24,25,▲1,101,PARDILLA Sergio,34,Caja Rural - Seguros RGA,12.0,5,",,0:41",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
24,25,27,▲2,105,SERRANO Gonzalo,24,Caja Rural - Seguros RGA,12.0,4,0:490:49,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
25,26,29,▲3,94,MENDES José,33,Burgos-BH,12.0,3,0:530:53,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
26,27,32,▲5,51,DECLERCQ Tim,29,Quick-Step Floors,12.0,3,1:101:10,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
27,28,33,▲5,165,VAN GOMPEL Mathias,23,Sport Vlaanderen - Baloise,12.0,3,",,1:10",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
28,29,35,▲6,151,DUARTE Fabio,32,Manzana Postobon,12.0,3,1:231:23,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
29,30,36,▲6,116,BROŻYNA Piotr,23,CCC Sprandi Polkowice,12.0,3,1:281:28,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
30,31,31,-,71,ARNDT Nikias,26,Team Sunweb,5.0,3,1:421:42,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
31,32,28,▼983,5,ĐURASEK Kristijan,31,UAE-Team Emirates,5.0,3,1:431:43,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
32,33,40,▲7,92,CABEDO Óscar,23,Burgos-BH,5.0,3,1:451:45,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
33,34,26,▼8,155,GARCÍA Jhojan,20,Manzana Postobon,5.0,3,1:521:52,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
34,35,41,▲6,174,LIETAER Eliot,28,WB Aqua Protect Veranclassic,5.0,3,1:551:55,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
35,36,34,▼2,12,FOMINYKH Daniil,27,Astana Pro Team,5.0,3,",,1:55",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
36,37,38,▲1,146,SHILOV Sergey,30,Gazprom-RusVelo,5.0,3,2:042:04,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
37,38,42,▲4,111,ANTUNES Amaro,27,CCC Sprandi Polkowice,5.0,3,2:192:19,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
38,39,43,▲4,23,HAUSSLER Heinrich,34,Bahrain Merida Pro Cycling Team,5.0,3,",,2:19",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
39,40,46,▲6,171,MASSON Christophe,33,WB Aqua Protect Veranclassic,5.0,3,2:312:31,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
40,41,37,▼4,107,ZABALA Josu,25,Caja Rural - Seguros RGA,5.0,3,2:432:43,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
41,42,47,▲5,122,TRARIEUX Julien,26,Delko Marseille Provence KTM,5.0,3,2:442:44,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
42,43,30,▼13,84,GRMAY Tsgabu,27,Trek - Segafredo,5.0,3,3:043:04,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
43,44,44,-,117,CIEŚLIK Paweł,32,CCC Sprandi Polkowice,5.0,3,3:153:15,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
44,45,51,▲6,156,VILELA Ricardo,30,Manzana Postobon,5.0,3,3:363:36,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
45,46,48,▲2,31,BEVIN Patrick,27,BMC Racing Team,5.0,3,3:393:39,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
46,47,39,▼8,62,CRAS Steff,22,Team Katusha Alpecin,5.0,3,3:533:53,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
47,48,24,▼24,26,PADUN Mark,22,Bahrain Merida Pro Cycling Team,5.0,3,",,3:53",..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
48,49,53,▲4,197,SAYAR Mustafa,29,Turkey,5.0,3,4:064:06,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
49,50,45,▼5,126,MORENO Javier,34,Delko Marseille Provence KTM,5.0,3,4:294:29,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
50,51,57,▲6,97,MITRI James,19,Burgos-BH,2.0,3,4:314:31,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
51,52,58,▲6,34,DRUCKER Jempy,32,BMC Racing Team,2.0,3,4:384:38,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
52,53,49,▼4,25,NOVAK Domen,23,Bahrain Merida Pro Cycling Team,2.0,3,5:085:08,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
53,54,60,▲6,57,ŠTYBAR Zdeněk,32,Quick-Step Floors,2.0,3,5:145:14,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
54,55,50,▼5,161,DE GENDT Aimé,24,Sport Vlaanderen - Baloise,2.0,3,5:155:15,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
55,56,61,▲5,172,JULES Justin,32,WB Aqua Protect Veranclassic,1.0,3,5:215:21,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
56,57,62,▲5,102,REIS Rafael,26,Caja Rural - Seguros RGA,1.0,3,5:305:30,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
57,58,54,▼4,81,DE KORT Koen,36,Trek - Segafredo,1.0,3,5:375:37,..,Presidential_Cycling_Tour_of_Turkey,GC,14 October 2018,-,0,0 km,73
