,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,13,GROßSCHARTNER Felix,25,BORA - hansgrohe,300.0,200,24:53:58,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
1,2,2,-,52,CONTI Valerio,26,UAE-Team Emirates,250.0,150,0:190:19,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
2,3,3,-,5,KUDUS Merhawi,25,Astana Pro Team,215.0,120,0:250:25,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
3,4,4,-,32,EVENEPOEL Remco,19,Deceuninck - Quick Step,175.0,100,0:530:53,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
4,5,5,-,156,PINTO Edgar,33,W52 / FC Porto,120.0,90,0:590:59,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
5,6,6,-,55,POLANC Jan,26,UAE-Team Emirates,115.0,80,1:121:12,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
6,7,8,▲1,104,RESTREPO Jhonatan,24,Manzana Postobon,95.0,70,1:261:26,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
7,8,9,▲1,73,SERRANO Gonzalo,24,Caja Rural - Seguros RGA,75.0,60,1:291:29,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
8,9,7,▼2,82,FINETTO Mauro,33,Delko Marseille Provence,60.0,50,1:311:31,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
9,10,10,-,136,MURPHY Kyle,27,Rally UHC Cycling,50.0,40,1:421:42,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
10,11,11,-,117,VAN EMPEL Etienne,25,Neri Sottoli - Selle Italia - KTM,40.0,36,1:481:48,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
11,12,13,▲1,131,BRITTON Rob,34,Rally UHC Cycling,35.0,32,1:521:52,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
12,13,12,▼1,106,SIERRA Yecid,24,Manzana Postobon,30.0,28,",,1:52",..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
13,14,14,-,81,FERNÁNDEZ Delio,33,Delko Marseille Provence,25.0,24,1:541:54,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
14,15,16,▲1,116,SCHÖNBERGER Sebastian,24,Neri Sottoli - Selle Italia - KTM,20.0,20,2:052:05,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
15,16,15,▼1,31,CAPECCHI Eros,32,Deceuninck - Quick Step,20.0,16,2:082:08,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
16,17,17,▼994,152,ALARCÓN Raúl,33,W52 / FC Porto,20.0,14,2:382:38,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
17,18,19,▲1,14,PFINGSTEN Christoph,31,BORA - hansgrohe,20.0,12,2:412:41,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
18,19,18,▼1,46,O'CONNOR Ben,23,Team Dimension Data,20.0,10,2:462:46,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
19,20,20,-,1,FOMINYKH Daniil,27,Astana Pro Team,20.0,9,3:103:10,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
20,21,21,-,6,BIZHIGITOV Zhandos,27,Astana Pro Team,12.0,8,3:433:43,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
21,22,22,-,123,ITO Masakazu,30,Nippo Vini Fantini Faizanè,12.0,7,4:094:09,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
22,23,23,-,112,FORTUNATO Lorenzo,22,Neri Sottoli - Selle Italia - KTM,12.0,6,4:214:21,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
23,24,25,▲1,93,BARTHE Cyril,23,Euskadi Basque Country - Murias,12.0,5,4:414:41,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
24,25,24,▼1,84,MORENO Javier,34,Delko Marseille Provence,12.0,4,4:444:44,..,Presidential_Cycling_Tour_of_Turkey,GC,21 April 2019,-,0,0 km,128
