,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,11,ACKERMANN Pascal,24,BORA - hansgrohe,300.0,200.0,4:20:10,Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
1,2,187,VIVIANI Elia,29,Quick-Step Floors,250.0,150.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
2,3,196,NIZZOLO Giacomo,29,Trek - Segafredo,215.0,120.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
3,4,33,GARCÍA CORTINA Iván,22,Bahrain Merida Pro Cycling Team,175.0,100.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
4,5,71,CONSONNI Simone,23,UAE-Team Emirates,120.0,90.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
5,6,161,BAUHAUS Phil,24,Team Sunweb,115.0,80.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
6,7,101,DRUCKER Jempy,31,BMC Racing Team,95.0,70.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
7,8,127,GREIPEL André,36,Lotto Soudal,75.0,60.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
8,9,61,KOCH Jonas,25,CCC Sprandi Polkowice,60.0,50.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
9,10,52,BARBIER Rudy,25,AG2R La Mondiale,50.0,40.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
10,11,135,MEZGEC Luka,30,Mitchelton-Scott,40.0,36.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
11,12,141,CAVENDISH Mark,33,Team Dimension Data,35.0,32.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
12,13,93,HOULE Hugo,27,Astana Pro Team,30.0,28.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,29 July 2018,43.13 km/h,0,187 km,43
