,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,37,TERPSTRA Niki,33,Quick-Step Floors,400.0,225.0,5:03:34,Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
1,2,31,GILBERT Philippe,35,Quick-Step Floors,320.0,150.0,0:200:20,Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
2,3,1,VAN AVERMAET Greg,32,BMC Racing Team,260.0,110.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
3,4,21,NAESEN Oliver,27,AG2R La Mondiale,220.0,90.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
4,5,41,BENOOT Tiesj,24,Lotto Soudal,180.0,80.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
5,6,161,STUYVEN Jasper,25,Trek - Segafredo,140.0,70.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
6,7,111,VANMARCKE Sep,29,Team EF Education First-Drapac p/b Cannondale,120.0,60.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
7,8,144,MOSCON Gianni,23,Team Sky,100.0,50.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
8,9,36,ŠTYBAR Zdeněk,32,Quick-Step Floors,80.0,46.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
9,10,7,KÜNG Stefan,24,BMC Racing Team,68.0,42.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
10,11,87,TRENTIN Matteo,28,Mitchelton-Scott,56.0,38.0,",,0:20",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
11,12,2,ROELANDTS Jürgen,32,BMC Racing Team,48.0,34.0,0:270:27,Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
12,13,151,MATTHEWS Michael,27,Team Sunweb,40.0,30.0,2:522:52,Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
13,14,57,VALGREN Michael,26,Astana Pro Team,32.0,26.0,",,2:52",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
14,15,192,BACKAERT Frederik,28,Wanty - Groupe Gobert,28.0,22.0,",,2:52",Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
15,16,35,SÉNÉCHAL Florian,24,Quick-Step Floors,24.0,20.0,2:572:57,Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
16,17,33,LAMPAERT Yves,26,Quick-Step Floors,24.0,18.0,3:003:00,Record_Bank_E3_Harelbeke,0,23 March 2018,40.81 km/h,0,206.5 km,16
