,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,131,KRISTOFF Alexander,27,Team Katusha,100.0,275.0,6:26:32,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
1,2,11,TERPSTRA Niki,30,Etixx - Quick Step,80.0,200.0,",,0:00",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
2,3,51,VAN AVERMAET Greg,29,BMC Racing Team,70.0,150.0,0:070:07,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
3,4,161,SAGAN Peter,25,Tinkoff - Saxo,60.0,120.0,0:160:16,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
4,5,23,BENOOT Tiesj,21,Lotto Soudal,50.0,100.0,0:360:36,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
5,6,41,BOOM Lars,29,Astana Pro Team,40.0,90.0,",,0:36",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
6,7,121,DEGENKOLB John,26,Team Giant - Alpecin,30.0,80.0,0:490:49,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
7,8,21,ROELANDTS Jürgen,29,Lotto Soudal,20.0,70.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
8,9,15,ŠTYBAR Zdeněk,29,Etixx - Quick Step,10.0,60.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
9,10,73,ELMIGER Martin,36,IAM Cycling,4.0,50.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
10,11,55,OSS Daniel,28,BMC Racing Team,,46.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
11,12,81,POZZATO Filippo,33,Lampre - Merida,,42.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
12,13,1,DEVOLDER Stijn,35,Trek Factory Racing,,38.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
13,14,158,THOMAS Geraint,28,Team Sky,,34.0,",,0:49",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
14,15,27,GREIPEL André,32,Lotto Soudal,,30.0,2:282:28,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
15,16,52,BURGHARDT Marcus,31,BMC Racing Team,,28.0,",,2:28",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
16,17,43,DE VREESE Laurens,26,Astana Pro Team,,26.0,",,2:28",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
17,18,245,MARCATO Marco,31,Wanty - Groupe Gobert,,24.0,",,2:28",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
18,19,106,KEUKELEIRE Jens,26,Orica GreenEDGE,,22.0,",,2:28",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
19,20,87,OLIVEIRA Nelson,26,Lampre - Merida,,20.0,2:342:34,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
20,21,72,DEVENYNS Dries,31,IAM Cycling,,19.0,3:023:02,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
21,22,47,LUTSENKO Alexey,22,Astana Pro Team,,18.0,3:113:11,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
22,23,64,DÉMARE Arnaud,23,FDJ,,17.0,3:233:23,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
23,24,13,LAMPAERT Yves,23,Etixx - Quick Step,,16.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
24,25,26,DEBUSSCHERE Jens,25,Lotto Soudal,,15.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
25,26,74,HAUSSLER Heinrich,31,IAM Cycling,,14.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
26,27,244,LEUKEMANS Björn,37,Wanty - Groupe Gobert,,13.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
27,28,54,DRUCKER Jempy,28,BMC Racing Team,,12.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
28,29,4,RAST Grégory,35,Trek Factory Racing,,11.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
29,30,67,OFFREDO Yoann,28,FDJ,,10.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
30,31,128,WAEYTENS Zico,23,Team Giant - Alpecin,,9.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
31,32,7,STUYVEN Jasper,22,Trek Factory Racing,,8.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
32,33,134,KUZNETSOV Viacheslav,25,Team Katusha,,7.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
33,34,95,ROJAS José Joaquín,29,Movistar Team,,6.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
34,35,232,NAESEN Oliver,24,Topsport Vlaanderen - Baloise,,5.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
35,36,42,BOŽIČ Borut,34,Astana Pro Team,,5.0,",,3:23",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,05 April 2015,41.12 km/h,0,264.9 km,20
