,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,141,CANCELLARA Fabian,32,RadioShack - Leopard,100.0,275.0,6:06:01,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
1,2,51,SAGAN Peter,23,Cannondale Pro Cycling Team,80.0,200.0,1:271:27,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
2,3,111,ROELANDTS Jürgen,27,Lotto Belisol Team,70.0,150.0,1:291:29,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
3,4,94,KRISTOFF Alexander,25,Team Katusha,60.0,120.0,1:391:39,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
4,5,77,LADAGNOUS Matthieu,28,FDJ,50.0,100.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
5,6,214,HAUSSLER Heinrich,29,IAM Cycling,40.0,90.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
6,7,48,VAN AVERMAET Greg,27,BMC Racing Team,30.0,80.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
7,8,227,TURGOT Sébastien,28,Team Europcar,20.0,70.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
8,9,164,DEGENKOLB John,24,Team Argos - Shimano,10.0,60.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
9,10,135,LANGEVELD Sebastian,28,Orica GreenEDGE,4.0,50.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
10,11,31,BOOM Lars,27,Blanco Pro Cycling Team,,46.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
11,12,44,OSS Daniel,26,BMC Racing Team,,42.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
12,13,2,CHAVANEL Sylvain,33,Omega Pharma - Quick-Step,,38.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
13,14,8,VANDENBERGH Stijn,28,Omega Pharma - Quick-Step,,34.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
14,15,256,GATTO Oscar,28,Vini Fantini,,30.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
15,16,78,OFFREDO Yoann,26,FDJ,,28.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
16,17,151,BOASSON HAGEN Edvald,25,Sky Procycling,,26.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
17,18,184,LEUKEMANS Björn,35,Vacansoleil - DCM,,24.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
18,19,225,JÉRÔME Vincent,28,Team Europcar,,22.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
19,20,88,VANSUMMEREN Johan,32,Garmin Sharp,,20.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
20,21,181,FLECHA Juan Antonio,35,Vacansoleil - DCM,,19.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
21,22,42,BURGHARDT Marcus,29,BMC Racing Team,,18.0,",,1:39",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
22,23,96,PAOLINI Luca,36,Team Katusha,,17.0,1:481:48,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
23,24,74,DÉMARE Arnaud,21,FDJ,,16.0,2:302:30,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,31 March 2013,41.998 km/h,0,256.2 km,16
