,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,55.0,+6:38,21,GREIPEL André,30,Lotto Belisol Team,6.0,50.0,3:02:52,Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
1,2,121.0,+23:11,124,FERRARI Roberto,29,Lampre - Merida,4.0,30.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
2,3,23.0,+1:25,66,CANTWELL Jonathan,31,Team Saxo - Tinkoff,2.0,18.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
3,4,78.0,+10:21,141,FENN Andrew,22,Omega Pharma - Quick-Step,1.0,13.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
4,5,117.0,+21:06,104,MARKUS Barry,21,Vacansoleil - DCM,1.0,10.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
5,6,112.0,+16:53,161,KITTEL Marcel,24,Team Argos - Shimano,,7.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
6,7,63.0,+7:55,74,RENSHAW Mark,30,Blanco Pro Cycling Team,,4.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
7,8,118.0,+22:09,107,VAN HUMMEL Kenny,30,Vacansoleil - DCM,,3.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
8,9,41.0,+3:40,135,DÉMARE Arnaud,21,FDJ,,2.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
9,10,69.0,+8:36,14,LODEWYCK Klaas,24,BMC Racing Team,,1.0,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
10,11,16.0,+0:32,112,CHEREL Mikaël,26,AG2R La Mondiale,,,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
11,12,111.0,+16:53,81,GUARDINI Andrea,23,Astana Pro Team,,,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
12,13,46.0,+4:41,146,STEEGMANS Gert,32,Omega Pharma - Quick-Step,,,",,0:00",Santos_Tour_Down_Under,4,25 January 2013,41.506 km/h,0,126.5 km,43
