,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,▲1,1,IMPEY Daryl,34,Mitchelton-Scott,500.0,250,20:30:42,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
1,2,16,▲14,21,PORTE Richie,33,Trek - Segafredo,400.0,190,0:130:13,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
2,3,9,▲6,165,POELS Wout,31,Team Sky,325.0,160,0:170:17,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
3,4,3,▼1,107,SÁNCHEZ Luis León,35,Astana Pro Team,275.0,140,0:190:19,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
4,5,18,▲13,63,DENNIS Rohan,28,Bahrain Merida,225.0,120,0:260:26,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
5,6,8,▲2,83,HAMILTON Chris,23,Team Sunweb,175.0,110,",,0:26",..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
6,7,10,▲3,71,WOODS Michael,32,EF Education First,150.0,100,0:380:38,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
7,8,6,▼2,113,GUERREIRO Ruben,24,Team Katusha Alpecin,125.0,90,0:400:40,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
8,9,11,▲2,47,ULISSI Diego,29,UAE-Team Emirates,100.0,80,",,0:40",..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
9,10,12,▲2,145,DEVENYNS Dries,35,Deceuninck - Quick Step,85.0,70,",,0:40",..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
10,11,4,▼7,54,GIBBONS Ryan,24,Team Dimension Data,70.0,60,0:430:43,..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
11,12,7,▼5,151,BENNETT George,28,Team Jumbo-Visma,60.0,55,",,0:43",..,Santos_Tour_Down_Under,GC,20 January 2019,-,0,0 km,40
