,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,201,VAN AERT Wout,25,Team Jumbo-Visma,300.0,200.0,4:58:56,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
1,2,234,FORMOLO Davide,27,UAE-Team Emirates,250.0,150.0,0:300:30,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
2,3,87,SCHACHMANN Maximilian,26,BORA - hansgrohe,215.0,120.0,0:320:32,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
3,4,111,BETTIOL Alberto,26,EF Pro Cycling,175.0,100.0,1:311:31,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
4,5,44,FUGLSANG Jakob,35,Astana Pro Team,120.0,90.0,2:552:55,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
5,6,7,ŠTYBAR Zdeněk,34,Deceuninck - Quick Step,115.0,80.0,3:593:59,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
6,7,154,BOOKWALTER Brent,36,Mitchelton-Scott,95.0,70.0,4:254:25,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
7,8,91,VAN AVERMAET Greg,35,CCC Team,75.0,60.0,4:274:27,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
8,9,173,GOGL Michael,26,NTT Pro Cycling,60.0,50.0,6:476:47,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
9,10,181,ROSA Diego,31,Team Arkéa Samsic,50.0,40.0,7:457:45,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
10,11,85,MÜHLBERGER Gregor,26,BORA - hansgrohe,40.0,36.0,8:118:11,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
11,12,192,KWIATKOWSKI Michał,30,Team INEOS,35.0,32.0,10:0310:03,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
12,13,231,POGAČAR Tadej,21,UAE-Team Emirates,30.0,28.0,",,10:03",Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
13,14,121,KÜNG Stefan,26,Groupama - FDJ,25.0,24.0,",,10:03",Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
14,15,21,VAN DER POEL Mathieu,25,Alpecin-Fenix,20.0,20.0,10:0610:06,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
15,16,237,ULISSI Diego,31,UAE-Team Emirates,20.0,16.0,10:0910:09,Strade_Bianche,0,01 August 2020,36.93 km/h,104,184 km,8
