,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,171,KWIATKOWSKI Michał,26,Team Sky,300.0,200.0,4:42:42,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
1,2,51,VAN AVERMAET Greg,31,BMC Racing Team,250.0,150.0,0:150:15,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
2,3,98,WELLENS Tim,25,Lotto Soudal,215.0,120.0,0:170:17,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
3,4,131,ŠTYBAR Zdeněk,31,Quick-Step Floors,175.0,100.0,0:230:23,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
4,5,181,DUMOULIN Tom,26,Team Sunweb,120.0,90.0,1:261:26,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
5,6,123,DURBRIDGE Luke,25,ORICA-Scott,115.0,80.0,",,1:26",Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
6,7,126,JUUL-JENSEN Christopher,27,ORICA-Scott,95.0,70.0,1:291:29,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
7,8,91,BENOOT Tiesj,22,Lotto Soudal,75.0,60.0,2:202:20,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
8,9,81,PINOT Thibaut,26,FDJ,60.0,50.0,2:232:23,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
9,10,142,THWAITES Scott,27,Team Dimension Data,50.0,40.0,2:522:52,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
10,11,152,GONÇALVES José,28,Team Katusha Alpecin,40.0,36.0,3:103:10,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
11,12,6,JAUREGUI Quentin,22,AG2R La Mondiale,35.0,32.0,4:054:05,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
12,13,193,FELLINE Fabio,26,Trek - Segafredo,30.0,28.0,",,4:05",Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
13,14,27,SÁNCHEZ Luis León,33,Astana Pro Team,25.0,24.0,4:414:41,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
14,15,56,KÜNG Stefan,23,BMC Racing Team,20.0,20.0,5:315:31,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
15,16,203,LAENGEN Vegard Stake,28,UAE Team Emirates,20.0,16.0,5:415:41,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
16,17,176,MOSCON Gianni,22,Team Sky,20.0,14.0,5:555:55,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
17,18,33,CINK Ondřej,26,Bahrain Merida Pro Cycling Team,20.0,12.0,6:226:22,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
18,19,141,BOASSON HAGEN Edvald,29,Team Dimension Data,20.0,10.0,8:158:15,Strade_Bianche,0,04 March 2017,37.14 km/h,0,175 km,26
