,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,151,+2:16,87,PELUCCHI Matteo,25,IAM Cycling,6.0,50.0,3:56:12,Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
1,2,49,+0:37,65,DÉMARE Arnaud,22,FDJ.fr,4.0,30.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
2,3,21,+0:24,101,GREIPEL André,31,Lotto Belisol,2.0,18.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
3,4,79,+0:53,182,BENNETT Sam,23,Team NetApp – Endura,1.0,13.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
4,5,28,+0:26,58,SAGAN Peter,24,Cannondale,1.0,10.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
5,6,78,+0:53,2,APPOLLONIO Davide,24,AG2R La Mondiale,,7.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
6,7,119,+1:17,28,FORTIN Filippo,25,Bardiani - CSF Pro Team,,4.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
7,8,103,+0:57,94,MODOLO Sacha,26,Lampre - Merida,,3.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
8,9,145,+1:54,153,HUREL Tony,26,Team Europcar,,2.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
9,10,124,+1:19,124,SBARAGLI Kristian,23,MTN - Qhubeka,,1.0,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
10,11,50,+0:37,38,WAGNER Robert,30,Belkin-Pro Cycling Team,,,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
11,12,63,+0:47,42,WYSS Danilo,28,BMC Racing Team,,,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
12,13,93,+0:54,13,GRIVKO Andrey,30,Astana Pro Team,,,",,0:00",Tirreno_Adriatico,2,13 March 2014,42.17 km/h,0,166 km,3
