,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,151,YATES Simon,28,Mitchelton-Scott,60.0,50.0,5:30:43,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
1,2,3.0,+0:39,181,THOMAS Geraint,34,INEOS Grenadiers,25.0,30.0,0:350:35,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
2,3,2.0,+0:16,61,MAJKA Rafał,30,BORA - hansgrohe,10.0,18.0,",,0:35",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
3,4,4.0,+0:49,37,VLASOV Aleksandr,24,Astana Pro Team,,13.0,0:390:39,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
4,5,6.0,+1:00,205,KELDERMAN Wilco,29,Team Sunweb,,10.0,0:540:54,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
5,6,7.0,+1:21,94,KNOX James,24,Deceuninck - Quick Step,,7.0,0:580:58,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
6,7,5.0,+0:54,95,MASNADA Fausto,26,Deceuninck - Quick Step,,4.0,1:001:00,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
7,8,13.0,+3:24,204,HINDLEY Jai,24,Team Sunweb,,3.0,1:051:05,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
8,9,9.0,+2:28,223,BRAMBILLA Gianluca,33,Trek - Segafredo,,2.0,1:111:11,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
9,10,12.0,+2:52,171,MEINTJES Louis,28,NTT Pro Cycling,,1.0,1:461:46,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
10,11,8.0,+1:22,101,WOODS Michael,33,EF Pro Cycling,,,",,1:46",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
11,12,33.0,+13:24,36,RODRÍGUEZ Óscar,25,Astana Pro Team,,,1:551:55,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
12,13,10.0,+2:44,154,HAIG Jack,27,Mitchelton-Scott,,,2:212:21,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
13,14,14.0,+3:25,31,FUGLSANG Jakob,35,Astana Pro Team,,,",,2:21",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
14,15,11.0,+2:49,206,OOMEN Sam,25,Team Sunweb,,,",,2:21",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
15,16,41.0,+19:45,105,GUERREIRO Ruben,26,EF Pro Cycling,,,",,2:21",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
16,17,15.0,+3:31,73,DE LA PARTE Víctor,34,CCC Team,,,2:252:25,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
17,18,16.0,+3:49,17,VERVAEKE Louis,26,Alpecin-Fenix,,,2:432:43,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
18,19,17.0,+4:47,7,WARBASSE Larry,30,AG2R La Mondiale,,,3:093:09,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
19,20,25.0,+8:40,135,NAVARRO Daniel,37,Israel Start-Up Nation,,,3:203:20,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
20,21,35.0,+14:42,2,BOUCHARD Geoffrey,28,AG2R La Mondiale,,,3:273:27,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
21,22,18.0,+4:57,124,ARMIRAIL Bruno,26,Groupama - FDJ,,,3:513:51,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
22,23,55.0,+30:49,51,CARBONI Giovanni,25,Bardiani-CSF-Faizanè,,,4:134:13,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
23,24,32.0,+13:19,186,GEOGHEGAN HART Tao,25,INEOS Grenadiers,,,",,4:13",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
24,25,19.0,+5:51,221,NIBALI Vincenzo,35,Trek - Segafredo,,,",,4:13",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
25,26,22.0,+7:22,46,PERNSTEINER Hermann,30,Bahrain - McLaren,,,",,4:13",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
26,27,28.0,+10:52,122,FRANKINY Kilian,26,Groupama - FDJ,,,",,4:13",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
27,28,36.0,+15:00,227,WEENING Pieter,39,Trek - Segafredo,,,4:404:40,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
28,29,21.0,+7:18,114,NEKRASOV Denis,23,Gazprom - RusVelo,,,5:055:05,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
29,30,20.0,+6:49,234,HENAO Sergio,32,UAE-Team Emirates,,,5:245:24,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
30,31,72.0,+38:29,144,HOLMES Matthew,26,Lotto Soudal,,,",,5:24",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
31,32,24.0,+8:13,161,VILLELLA Davide,29,Movistar Team,,,5:285:28,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
32,33,44.0,+22:05,176,GASPAROTTO Enrico,38,NTT Pro Cycling,,,6:006:00,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
33,34,45.0,+22:16,166,SEPÚLVEDA Eduardo,29,Movistar Team,,,6:036:03,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
34,35,34.0,+14:20,71,BARTA Will,24,CCC Team,,,",,6:03",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
35,36,23.0,+7:58,5,HÄNNINEN Jaakko,23,AG2R La Mondiale,,,6:206:20,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
36,37,51.0,+25:29,165,SAMITIER Sergio,25,Movistar Team,,,",,6:20",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
37,38,37.0,+15:17,72,KOCHETKOV Pavel,34,CCC Team,,,",,6:20",Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
38,39,38.0,+15:52,193,PFINGSTEN Christoph,32,Team Jumbo-Visma,,,6:256:25,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
39,40,39.0,+16:19,203,HAMILTON Chris,25,Team Sunweb,,,7:177:17,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
40,41,26.0,+9:03,107,KANGERT Tanel,33,EF Pro Cycling,,,7:387:38,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
41,42,54.0,+30:01,241,WACKERMANN Luca,28,Vini Zabù - KTM,,,7:587:58,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
42,43,77.0,+45:00,162,ALBA Juan Diego,23,Movistar Team,,,8:578:57,Tirreno_Adriatico,5,11 September 2020,36.65 km/h,270,202 km,13
