,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,52.0,+23:22,211,CANCELLARA Fabian,33,Trek Factory Racing,6.0,50.0,0:11:23,52.708999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
1,2,65.0,+28:20,125,MALORI Adriano,27,Movistar Team,4.0,30.0,0:040:04,52.402,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
2,3,56.0,+25:00,201,KIRYIENKA Vasil,33,Team Sky,2.0,18.0,0:090:09,52.023,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
3,4,15.0,+1:29,123,CASTROVIEJO Jonathan,27,Movistar Team,1.0,13.0,0:120:12,51.799,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
4,5,97.0,+42:09,4,BODNAR Maciej,30,Tinkoff - Saxo,1.0,10.0,0:160:16,51.501999999999995,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
5,6,110.0,+46:54,144,HEPBURN Michael,23,Orica GreenEDGE,,7.0,",,0:16",51.501999999999995,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
6,7,57.0,+25:48,157,NAVARDAUSKAS Ramūnas,27,Team Cannondale - Garmin,,4.0,0:170:17,51.428999999999995,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
7,8,6.0,+0:40,133,CUMMINGS Steve,33,MTN - Qhubeka,,3.0,0:230:23,50.992,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
8,9,46.0,+21:19,122,AMADOR Andrey,28,Movistar Team,,2.0,0:250:25,50.847,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
9,10,32.0,+10:35,131,BOASSON HAGEN Edvald,27,MTN - Qhubeka,,1.0,0:260:26,50.776,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
10,11,48.0,+22:02,41,VAN AVERMAET Greg,29,BMC Racing Team,,,0:270:27,50.70399999999999,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
11,12,100.0,+43:23,214,IRIZAR Markel,35,Trek Factory Racing,,,",,0:27",50.70399999999999,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
12,13,104.0,+44:19,5,JUUL-JENSEN Christopher,25,Tinkoff - Saxo,,,0:300:30,50.49100000000001,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
13,14,83.0,+34:35,213,DEVOLDER Stijn,35,Trek Factory Racing,,,",,0:30",50.49100000000001,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
14,15,18.0,+2:24,202,SIUTSOU Kanstantsin,32,Team Sky,,,0:310:31,50.42,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
15,16,5.0,+0:39,1,CONTADOR Alberto,32,Tinkoff - Saxo,,,",,0:31",50.42,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
16,17,16.0,+2:00,21,NIBALI Vincenzo,30,Astana Pro Team,,,0:320:32,50.35,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
17,18,115.0,+49:00,218,SERGENT Jesse,26,Trek Factory Racing,,,",,0:32",50.35,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
18,19,4.0,+0:35,81,PINOT Thibaut,24,FDJ,,,0:330:33,50.278999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
19,20,85.0,+35:16,47,OSS Daniel,28,BMC Racing Team,,,",,0:33",50.278999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
20,21,14.0,+1:26,44,CARUSO Damiano,27,BMC Racing Team,,,0:340:34,50.208999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
21,22,2.0,+0:18,215,MOLLEMA Bauke,28,Trek Factory Racing,,,",,0:34",50.208999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
22,23,29.0,+8:49,203,KÖNIG Leopold,27,Team Sky,,,0:360:36,50.07,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
23,24,63.0,+27:51,156,MOSER Moreno,24,Team Cannondale - Garmin,,,0:370:37,50.0,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
24,25,7.0,+0:56,205,POELS Wout,27,Team Sky,,,0:380:38,49.931000000000004,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
25,26,3.0,+0:31,71,URÁN Rigoberto,28,Etixx - Quick Step,,,",,0:38",49.931000000000004,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
26,27,64.0,+28:05,24,LUTSENKO Alexey,22,Astana Pro Team,,,0:400:40,49.793,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
27,28,54.0,+23:33,187,TSATEVICH Alexey,25,Team Katusha,,,",,0:40",49.793,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
28,29,21.0,+3:11,115,MONFORT Maxime,32,Lotto Soudal,,,",,0:40",49.793,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
29,30,94.0,+41:25,93,BRÄNDLE Matthias,25,IAM Cycling,,,0:420:42,49.655,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
30,31,62.0,+27:25,88,VAUGRENARD Benoît,33,FDJ,,,",,0:42",49.655,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
31,32,73.0,+31:39,142,DURBRIDGE Luke,23,Orica GreenEDGE,,,0:430:43,49.586999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
32,33,71.0,+30:20,172,ARNDT Nikias,23,Team Giant - Alpecin,,,",,0:43",49.586999999999996,Tirreno_Adriatico,7,17 March 2015,52.71 km/h,0,10 km,9
