,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,116.0,+1:17:23,185,GANNA Filippo,24,INEOS Grenadiers,60.0,50.0,0:10:42,56.636,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
1,2,93.0,+1:03:59,174,CAMPENAERTS Victor,28,NTT Pro Cycling,25.0,30.0,0:180:18,55.091,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
2,3,87.0,+1:02:13,182,DENNIS Rohan,30,INEOS Grenadiers,10.0,18.0,0:260:26,54.431000000000004,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
3,4,2.0,+0:17,181,THOMAS Geraint,34,INEOS Grenadiers,,13.0,0:280:28,54.269,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
4,5,75.0,+53:43,127,LUDVIGSSON Tobias,29,Groupama - FDJ,,10.0,0:330:33,53.867,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
5,6,55.0,+34:32,126,THOMAS Benjamin,25,Groupama - FDJ,,7.0,0:340:34,53.787,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
6,7,89.0,+1:02:35,196,VAN EMDEN Jos,35,Team Jumbo-Visma,,4.0,0:390:39,53.391999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
7,8,85.0,+1:01:21,76,VAN HOOYDONCK Nathan,24,CCC Team,,3.0,0:400:40,53.31399999999999,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
8,9,69.0,+46:30,47,TRATNIK Jan,30,Bahrain - McLaren,,2.0,",,0:40",53.31399999999999,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
9,10,54.0,+34:15,201,MATTHEWS Michael,29,Team Sunweb,,1.0,0:420:42,53.158,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
10,11,18.0,+5:22,124,ARMIRAIL Bruno,26,Groupama - FDJ,,,",,0:42",53.158,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
11,12,41.0,+22:35,71,BARTA Will,24,CCC Team,,,0:430:43,53.08,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
12,13,109.0,+1:12:03,232,BJERG Mikkel,21,UAE-Team Emirates,,,0:440:44,53.003,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
13,14,45.0,+24:31,11,VAN DER POEL Mathieu,25,Alpecin-Fenix,,,0:460:46,52.849,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
14,15,4.0,+0:56,205,KELDERMAN Wilco,29,Team Sunweb,,,0:470:47,52.772,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
15,16,152.0,+1:44:36,131,BRÄNDLE Matthias,30,Israel Start-Up Nation,,,0:480:48,52.696000000000005,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
16,17,128.0,+1:29:26,104,CRADDOCK Lawson,28,EF Pro Cycling,,,0:500:50,52.543,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
17,18,1.0,+0:00,151,YATES Simon,28,Mitchelton-Scott,,,",,0:50",52.543,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
18,19,25.0,+9:54,107,KANGERT Tanel,33,EF Pro Cycling,,,0:510:51,52.468,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
19,20,121.0,+1:26:31,152,AFFINI Edoardo,24,Mitchelton-Scott,,,0:520:52,52.391999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
20,21,56.0,+35:14,207,TUSVELD Martijn,27,Team Sunweb,,,",,0:52",52.391999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
21,22,129.0,+1:29:31,63,BODNAR Maciej,35,BORA - hansgrohe,,,",,0:52",52.391999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
22,23,117.0,+1:20:50,156,HEPBURN Michael,29,Mitchelton-Scott,,,",,0:52",52.391999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
23,24,14.0,+3:58,31,FUGLSANG Jakob,35,Astana Pro Team,,,0:530:53,52.317,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
24,25,118.0,+1:21:13,147,VERMEERSCH Florian,21,Lotto Soudal,,,",,0:53",52.317,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
25,26,57.0,+35:43,191,EENKHOORN Pascal,23,Team Jumbo-Visma,,,0:550:55,52.166000000000004,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
26,27,43.0,+23:25,32,ARANBURU Alex,24,Astana Pro Team,,,0:560:56,52.092,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
27,28,49.0,+26:20,41,TEUNS Dylan,28,Bahrain - McLaren,,,0:570:57,52.016999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
28,29,81.0,+56:13,96,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,,,",,0:57",52.016999999999996,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
29,30,5.0,+0:58,37,VLASOV Aleksandr,24,Astana Pro Team,,,0:590:59,51.869,Tirreno_Adriatico,8,14 September 2020,56.64 km/h,0,10.1 km,13
