,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,151,YATES Simon,28,Mitchelton-Scott,500.0,250,32:07:34,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
1,2,3,▲1,181,THOMAS Geraint,34,INEOS Grenadiers,400.0,190,0:170:17,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
2,3,2,▼1,61,MAJKA Rafał,31,BORA - hansgrohe,325.0,160,0:290:29,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
3,4,6,▲2,205,KELDERMAN Wilco,29,Team Sunweb,275.0,140,0:560:56,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
4,5,4,▼1,37,VLASOV Aleksandr,24,Astana Pro Team,225.0,120,0:580:58,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
5,6,5,▼1,95,MASNADA Fausto,26,Deceuninck - Quick Step,175.0,110,1:181:18,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
6,7,8,▲1,94,KNOX James,24,Deceuninck - Quick Step,150.0,100,1:411:41,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
7,8,7,▼1,101,WOODS Michael,33,EF Pro Cycling,125.0,90,2:122:12,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
8,9,9,-,223,BRAMBILLA Gianluca,33,Trek - Segafredo,100.0,80,3:023:02,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
9,10,10,-,154,HAIG Jack,27,Mitchelton-Scott,85.0,70,3:103:10,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
10,11,11,-,206,OOMEN Sam,25,Team Sunweb,70.0,60,3:113:11,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
11,12,12,-,171,MEINTJES Louis,28,NTT Pro Cycling,60.0,55,3:223:22,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
12,13,13,-,204,HINDLEY Jai,24,Team Sunweb,50.0,50,3:453:45,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
13,14,16,▲2,31,FUGLSANG Jakob,35,Astana Pro Team,40.0,45,3:583:58,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
14,15,14,▼1,73,DE LA PARTE Víctor,34,CCC Team,35.0,40,4:034:03,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
15,16,15,▼1,17,VERVAEKE Louis,26,Alpecin-Fenix,30.0,36,4:074:07,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
16,17,17,-,7,WARBASSE Larry,30,AG2R La Mondiale,30.0,32,5:035:03,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
17,18,18,-,124,ARMIRAIL Bruno,26,Groupama - FDJ,30.0,28,5:225:22,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
18,19,20,▲1,221,NIBALI Vincenzo,35,Trek - Segafredo,30.0,24,8:028:02,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
19,20,21,▲1,46,PERNSTEINER Hermann,30,Bahrain - McLaren,30.0,20,8:048:04,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
20,21,19,▼2,114,NEKRASOV Denis,23,Gazprom - RusVelo,20.0,18,8:288:28,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
21,22,22,-,234,HENAO Sergio,32,UAE-Team Emirates,20.0,16,8:488:48,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
22,23,23,-,5,HÄNNINEN Jaakko,23,AG2R La Mondiale,20.0,14,9:209:20,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
23,24,24,-,161,VILLELLA Davide,29,Movistar Team,20.0,12,",,9:20",..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
24,25,26,▲1,107,KANGERT Tanel,33,EF Pro Cycling,20.0,10,9:549:54,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
25,26,25,▼1,135,NAVARRO Daniel,37,Israel Start-Up Nation,20.0,9,10:1710:17,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
26,27,27,-,122,FRANKINY Kilian,26,Groupama - FDJ,20.0,8,12:3312:33,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
27,28,28,-,233,COSTA Rui,33,UAE-Team Emirates,20.0,7,14:1014:10,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
28,29,29,-,64,FABBRO Matteo,25,BORA - hansgrohe,20.0,6,14:3114:31,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
29,30,31,▲1,186,GEOGHEGAN HART Tao,25,INEOS Grenadiers,20.0,5,",,14:31",..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
30,31,30,▼1,36,RODRÍGUEZ Óscar,25,Astana Pro Team,10.0,5,14:4114:41,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
31,32,32,-,155,HAMILTON Lucas,24,Mitchelton-Scott,10.0,5,15:2015:20,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
32,33,33,-,65,KONRAD Patrick,28,BORA - hansgrohe,10.0,5,15:2515:25,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
33,34,34,-,2,BOUCHARD Geoffrey,28,AG2R La Mondiale,10.0,5,16:1916:19,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
34,35,36,▲1,193,PFINGSTEN Christoph,32,Team Jumbo-Visma,10.0,5,16:5116:51,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
35,36,35,▼1,72,KOCHETKOV Pavel,34,CCC Team,10.0,5,16:5516:55,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
36,37,38,▲1,203,HAMILTON Chris,25,Team Sunweb,10.0,5,19:2319:23,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
37,38,37,▼1,227,WEENING Pieter,39,Trek - Segafredo,10.0,5,20:0320:03,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
38,39,39,-,105,GUERREIRO Ruben,26,EF Pro Cycling,10.0,5,20:1120:11,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
39,40,40,-,6,VENDRAME Andrea,26,AG2R La Mondiale,10.0,5,22:0922:09,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
40,41,42,▲1,71,BARTA Will,24,CCC Team,10.0,5,22:3522:35,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
41,42,41,▼1,176,GASPAROTTO Enrico,38,NTT Pro Cycling,10.0,5,23:1023:10,..,Tirreno_Adriatico,GC,14 September 2020,-,0,0 km,13
