,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,EVANS Cadel,34,BMC Racing Team,100.0,250.0,27:26:33,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
1,2,0,GESINK Robert,24,Rabobank Cycling Team,80.0,190.0,0:110:11,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
2,3,0,SCARPONI Michele,31,Lampre - ISD,70.0,160.0,0:150:15,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
3,4,0,BASSO Ivan,33,Liquigas - Cannondale,60.0,140.0,0:240:24,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
4,5,0,NIBALI Vincenzo,26,Liquigas - Cannondale,50.0,120.0,0:300:30,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
5,6,0,PINOTTI Marco,35,HTC - High Road,40.0,110.0,0:390:39,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
6,7,0,MACHADO Tiago,25,RadioShack,30.0,100.0,0:420:42,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
7,8,0,CUNEGO Damiano,29,Lampre - ISD,20.0,90.0,0:500:50,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
8,9,0,GILBERT Philippe,28,Omega Pharma-Lotto,10.0,80.0,0:570:57,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
9,10,0,LÖFKVIST Thomas,26,Sky Procycling,4.0,70.0,0:580:58,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
10,11,0,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,,60.0,1:211:21,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
11,12,0,GARZELLI Stefano,37,Acqua & Sapone,,55.0,1:391:39,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
12,13,0,DI LUCA Danilo,35,Team Katusha,,50.0,1:411:41,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
13,14,0,ALBASINI Michael,30,HTC - High Road,,45.0,1:521:52,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
14,15,0,CLARKE Simon,24,Pro Team Astana,,40.0,1:561:56,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
15,16,0,MURAVYEV Dmitriy,31,RadioShack,,36.0,2:022:02,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
16,17,0,VELITS Peter,26,HTC - High Road,,32.0,",,2:02",..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
17,18,0,POELS Wout,23,Vacansoleil - DCM,,28.0,2:032:03,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
18,19,0,CASTROVIEJO Jonathan,23,Euskaltel - Euskadi,,24.0,2:102:10,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
19,20,0,NOCENTINI Rinaldo,33,AG2R La Mondiale,,20.0,2:342:34,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
20,21,0,CARUSO Damiano,23,Liquigas - Cannondale,,18.0,2:422:42,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
21,22,0,MADRAZO Ángel,22,Movistar Team,,16.0,2:472:47,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
22,23,0,MARCATO Marco,27,Vacansoleil - DCM,,14.0,2:522:52,..,Tirreno_Adriatico,GC,15 March 2011,-,0,0 km,5
