,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,121,QUINTANA Nairo,25,Movistar Team,100.0,250,25:11:16,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
1,2,2,-,215,MOLLEMA Bauke,28,Trek Factory Racing,80.0,190,0:180:18,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
2,3,3,-,71,URÁN Rigoberto,28,Etixx - Quick Step,70.0,160,0:310:31,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
3,4,4,-,81,PINOT Thibaut,24,FDJ,60.0,140,0:350:35,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
4,5,5,-,1,CONTADOR Alberto,32,Tinkoff - Saxo,50.0,120,0:390:39,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
5,6,9,▲3,133,CUMMINGS Steve,33,MTN - Qhubeka,40.0,110,0:400:40,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
6,7,10,▲3,205,POELS Wout,27,Team Sky,30.0,100,0:560:56,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
7,8,7,▼1,11,POZZOVIVO Domenico,32,AG2R La Mondiale,20.0,90,0:590:59,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
8,9,6,▼3,148,YATES Adam,22,Orica GreenEDGE,10.0,80,1:091:09,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
9,10,11,▲1,6,KREUZIGER Roman,28,Tinkoff - Saxo,4.0,70,1:111:11,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
10,11,12,▲1,111,VAN DEN BROECK Jurgen,32,Lotto Soudal,,60,1:161:16,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
11,12,13,▲1,105,NIEMIEC Przemysław,34,Lampre - Merida,,55,1:231:23,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
12,13,8,▼5,181,RODRÍGUEZ Joaquim,35,Team Katusha,,50,1:241:24,..,Tirreno_Adriatico,GC,17 March 2015,-,0,0 km,9
