,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3.0,+0:08,0,SWIFT Ben,23,Sky Procycling,6.0,50.0,1:53:47,Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
1,2,80.0,+9:08,0,HENDERSON Gregory,34,Sky Procycling,4.0,30.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
2,3,2.0,+0:02,0,GOSS Matthew,24,HTC - High Road,2.0,18.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
3,4,28.0,+2:03,0,MCEWEN Robbie,38,RadioShack,1.0,13.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
4,5,114.0,+21:13,0,HAEDO Juan José,29,Saxo Bank - Sungard,1.0,10.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
5,6,9.0,+0:27,0,DAVIS Allan Howard,30,Pro Team Astana,,7.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
6,7,7.0,+0:26,0,GREIPEL André,28,Omega Pharma-Lotto,,4.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
7,8,19.0,+0:46,0,FEILLU Romain,26,Vacansoleil - DCM,,3.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
8,9,30.0,+2:11,0,VIGANÒ Davide,26,Leopard Trek,,2.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
9,10,39.0,+2:29,0,CANTWELL Jonathan,29,V Australia,,1.0,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
10,11,4.0,+0:09,0,MATTHEWS Michael,20,Rabobank Cycling Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
11,12,14.0,+0:28,0,ROJAS José Joaquín,25,Movistar Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
12,13,92.0,+11:50,0,GALIMZYANOV Denis,23,Team Katusha,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
13,14,118.0,+22:44,0,FARRAR Tyler,26,Team Garmin - Cervélo,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
14,15,32.0,+2:16,0,VIVIANI Elia,21,Liquigas - Cannondale,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
15,16,111.0,+19:40,0,RENSHAW Mark,28,HTC - High Road,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
16,17,16.0,+0:39,0,MORI Manuele,30,Lampre - ISD,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
17,18,10.0,+0:28,0,ROBERTS Luke,33,Saxo Bank - Sungard,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
18,19,86.0,+11:07,0,SABATINI Fabio,25,Liquigas - Cannondale,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
19,20,1.0,+0:00,0,MEYER Cameron,23,Team Garmin - Cervélo,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
20,21,11.0,+0:28,0,BALLAN Alessandro,31,BMC Racing Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
21,22,12.0,+0:28,0,IZAGIRRE Gorka,23,Euskaltel - Euskadi,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
22,23,106.0,+17:43,0,GODDAERT Kristof,24,AG2R La Mondiale,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
23,24,6.0,+0:17,0,VENTOSO Francisco José,28,Movistar Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
24,25,8.0,+0:26,0,KADRI Blel,24,AG2R La Mondiale,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
25,26,57.0,+4:27,0,HUNTER Robert,33,RadioShack,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
26,27,40.0,+2:29,0,PÉREZ Rubén,29,Euskaltel - Euskadi,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
27,28,81.0,+9:10,0,TRUSOV Nikolay,25,Team Katusha,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
28,29,5.0,+0:10,0,TEN DAM Laurens,30,Rabobank Cycling Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
29,30,49.0,+3:20,0,PÉREZ Aitor,33,Lampre - ISD,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
30,31,17.0,+0:39,0,GUTIÉRREZ José Iván,32,Movistar Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
31,32,13.0,+0:28,0,LAGUTIN Sergey,30,Vacansoleil - DCM,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
32,33,21.0,+0:46,0,ENGELS Addy,33,Quickstep Cycling Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
33,34,54.0,+3:49,0,PASAMONTES Luis,31,Movistar Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
34,35,117.0,+22:34,0,DEAN Julian,35,Team Garmin - Cervélo,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
35,36,120.0,+23:07,0,CHICCHI Francesco,30,Quickstep Cycling Team,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
36,37,18.0,+0:39,0,PONZI Simone,24,Liquigas - Cannondale,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
37,38,101.0,+14:53,0,HAEDO Lucas Sebastián,27,Saxo Bank - Sungard,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
38,39,89.0,+11:35,0,CARDOSO Manuel Antonio Leal,27,RadioShack,,,",,0:00",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
39,40,35.0,+2:23,0,VANDENBERGH Stijn,26,Team Katusha,,,0:070:07,Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
40,41,45.0,+2:45,0,VERMOTE Julien,21,Quickstep Cycling Team,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
41,42,65.0,+6:14,0,CLARKE Simon,24,Pro Team Astana,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
42,43,42.0,+2:30,0,LÓPEZ David,29,Movistar Team,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
43,44,37.0,+2:28,0,KRIVTSOV Yuriy,31,AG2R La Mondiale,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
44,45,22.0,+0:53,0,SELVAGGI Mirko,25,Vacansoleil - DCM,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
45,46,72.0,+8:09,0,IZAGIRRE Ion,21,Euskaltel - Euskadi,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
46,47,104.0,+15:59,0,CLARKE Will,25,Leopard Trek,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
47,48,20.0,+0:46,0,LOUBET Julien,26,AG2R La Mondiale,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
48,49,23.0,+0:53,0,VELASCO Iván,30,Euskaltel - Euskadi,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
49,50,26.0,+1:27,0,WURF Cameron,27,Liquigas - Cannondale,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
50,51,41.0,+2:30,0,ISASI Iñaki,33,Euskaltel - Euskadi,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
51,52,34.0,+2:23,0,COOKE Baden,32,Saxo Bank - Sungard,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
52,53,15.0,+0:35,0,HERMANS Ben,24,RadioShack,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
53,54,43.0,+2:36,0,KOHLER Martin,25,BMC Racing Team,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
54,55,87.0,+11:12,0,VORGANOV Eduard,28,Team Katusha,,,",,0:07",Tour Down Under,6,23 January 2011,47.459 km/h,0,90 km,34
