,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,0,GERRANS Simon,33,Orica GreenEDGE,6.0,50.0,3:20:34,Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
1,2,2,+0:05,0,GREIPEL André,31,Lotto Belisol,4.0,30.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
2,3,3,+0:07,0,VON HOFF Steele,26,Garmin Sharp,2.0,18.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
3,4,5,+0:11,0,ULISSI Diego,24,Lampre - Merida,1.0,13.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
4,5,6,+0:11,0,BOUET Maxime,27,AG2R La Mondiale,1.0,10.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
5,6,7,+0:11,0,GAVAZZI Francesco,29,Astana Pro Team,,7.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
6,7,4,+0:10,0,GESCHKE Simon,27,Team Giant - Shimano,,4.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
7,8,8,+0:11,0,VALLS Rafael,26,Lampre - Merida,,3.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
8,9,9,+0:11,0,EVANS Cadel,36,BMC Racing Team,,2.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
9,10,10,+0:11,0,GESINK Robert,27,Belkin-Pro Cycling Team,,1.0,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
10,11,11,+0:11,0,THOMAS Geraint,27,Team Sky,,,",,0:00",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
11,12,12,+0:15,0,ROELANDTS Jürgen,28,Lotto Belisol,,,0:040:04,Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
12,13,13,+0:15,0,HAAS Nathan,24,Garmin Sharp,,,",,0:04",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
13,14,14,+0:15,0,IMPEY Daryl,29,Orica GreenEDGE,,,",,0:04",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
14,15,15,+0:15,0,VERONA Carlos,21,Omega Pharma - Quick-Step,,,",,0:04",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
15,16,16,+0:15,0,SUTHERLAND Rory,31,Tinkoff - Saxo,,,",,0:04",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
16,17,17,+0:15,0,BOOKWALTER Brent,29,BMC Racing Team,,,",,0:04",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
17,18,18,+0:15,0,SCHLECK Fränk,33,Trek Factory Racing,,,",,0:04",Tour_Down_Under,1,21 January 2014,40.39 km/h,0,135 km,44
