,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,MEYER Cameron,23,Team Garmin - Cervélo,100.0,250,17:54:27,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
1,2,0,GOSS Matthew,24,HTC - High Road,80.0,190,0:020:02,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
2,3,0,SWIFT Ben,23,Sky Procycling,70.0,160,0:080:08,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
3,4,0,MATTHEWS Michael,20,Rabobank Cycling Team,60.0,140,0:090:09,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
4,5,0,TEN DAM Laurens,30,Rabobank Cycling Team,50.0,120,0:100:10,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
5,6,0,VENTOSO Francisco José,28,Movistar Team,40.0,110,0:170:17,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
6,7,0,GREIPEL André,28,Omega Pharma-Lotto,30.0,100,0:260:26,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
7,8,0,KADRI Blel,24,AG2R La Mondiale,20.0,90,",,0:26",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
8,9,0,DAVIS Allan Howard,30,Pro Team Astana,10.0,80,0:270:27,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
9,10,0,ROBERTS Luke,33,Saxo Bank - Sungard,4.0,70,0:280:28,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
10,11,0,BALLAN Alessandro,31,BMC Racing Team,,60,",,0:28",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
11,12,0,IZAGIRRE Gorka,23,Euskaltel - Euskadi,,55,",,0:28",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
12,13,0,LAGUTIN Sergey,30,Vacansoleil - DCM,,50,",,0:28",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
13,14,0,ROJAS José Joaquín,25,Movistar Team,,45,",,0:28",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
14,15,0,HERMANS Ben,24,RadioShack,,40,0:350:35,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
15,16,0,MORI Manuele,30,Lampre - ISD,,36,0:390:39,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
16,17,0,GUTIÉRREZ José Iván,32,Movistar Team,,32,",,0:39",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
17,18,0,PONZI Simone,24,Liquigas - Cannondale,,28,",,0:39",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
18,19,0,FEILLU Romain,26,Vacansoleil - DCM,,24,0:460:46,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
19,20,0,LOUBET Julien,26,AG2R La Mondiale,,20,",,0:46",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
20,21,0,ENGELS Addy,33,Quickstep Cycling Team,,18,",,0:46",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
21,22,0,SELVAGGI Mirko,25,Vacansoleil - DCM,,16,0:530:53,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
22,23,0,VELASCO Iván,30,Euskaltel - Euskadi,,14,",,0:53",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
23,24,0,PERGET Mathieu,26,AG2R La Mondiale,,12,0:540:54,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
24,25,0,REDA Francesco,28,Quickstep Cycling Team,,10,1:071:07,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
25,26,0,WURF Cameron,27,Liquigas - Cannondale,,9,1:271:27,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
26,27,0,ROELANDTS Jürgen,25,Omega Pharma-Lotto,,8,1:581:58,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
27,28,0,MCEWEN Robbie,38,RadioShack,,7,2:032:03,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
28,29,0,ROULSTON Hayden,30,HTC - High Road,,6,2:082:08,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
29,30,0,VIGANÒ Davide,26,Leopard Trek,,5,2:112:11,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
30,31,0,SØRENSEN Nicki,35,Saxo Bank - Sungard,,5,2:152:15,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
31,32,0,VIVIANI Elia,21,Liquigas - Cannondale,,5,2:162:16,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
32,33,0,PORTE Richie,25,Saxo Bank - Sungard,,5,2:222:22,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
33,34,0,COOKE Baden,32,Saxo Bank - Sungard,,5,2:232:23,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
34,35,0,VANDENBERGH Stijn,26,Team Katusha,,5,",,2:23",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
35,36,0,IVANOV Sergei,35,Team Katusha,,5,2:252:25,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
36,37,0,KRIVTSOV Yuriy,31,AG2R La Mondiale,,5,2:282:28,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
37,38,0,MADRAZO Ángel,22,Movistar Team,,5,",,2:28",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
38,39,0,CANTWELL Jonathan,29,V Australia,,5,2:292:29,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
39,40,0,PÉREZ Rubén,29,Euskaltel - Euskadi,,5,",,2:29",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
40,41,0,ISASI Iñaki,33,Euskaltel - Euskadi,,5,2:302:30,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
41,42,0,LÓPEZ David,29,Movistar Team,,5,",,2:30",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
42,43,0,KOHLER Martin,25,BMC Racing Team,,5,2:362:36,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
43,44,0,RUIJGH Rob,24,Vacansoleil - DCM,,5,2:402:40,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
44,45,0,VERMOTE Julien,21,Quickstep Cycling Team,,5,2:452:45,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
45,46,0,KANGERT Tanel,23,Pro Team Astana,,5,2:502:50,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
46,47,0,HORRACH Joan,36,Team Katusha,,5,2:572:57,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
47,48,0,HAYMAN Mathew,32,Sky Procycling,,5,2:592:59,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
48,49,0,PÉREZ Aitor,33,Lampre - ISD,,5,3:203:20,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
49,50,0,O'GRADY Stuart,37,Leopard Trek,,5,3:263:26,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
50,51,0,MÍNGUEZ Miguel,22,Euskaltel - Euskadi,,5,3:363:36,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
51,52,0,BOBRIDGE Jack,21,Team Garmin - Cervélo,,5,3:373:37,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
52,53,0,ROGERS Michael,31,Sky Procycling,,5,3:463:46,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
53,54,0,PASAMONTES Luis,31,Movistar Team,,5,3:493:49,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
54,55,0,KOREN Kristijan,24,Liquigas - Cannondale,,5,4:184:18,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
55,56,0,ONGARATO Alberto,35,Vacansoleil - DCM,,5,4:224:22,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
56,57,0,HUNTER Robert,33,RadioShack,,5,4:274:27,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
57,58,0,DE GENDT Thomas,24,Vacansoleil - DCM,,5,4:464:46,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
58,59,0,MOINARD Amaël,28,BMC Racing Team,,5,4:554:55,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
59,60,0,SIEBERG Marcel,28,Omega Pharma-Lotto,,5,4:574:57,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
60,61,0,GRIVKO Andrey,27,Pro Team Astana,,5,5:275:27,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
61,62,0,DURBRIDGE Luke,19,Team Jayco Skins,,5,5:415:41,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
62,63,0,PIRES Bruno,29,Leopard Trek,,5,5:505:50,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
63,64,0,HANSEN Adam,29,Omega Pharma-Lotto,,5,6:016:01,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
64,65,0,CLARKE Simon,24,Pro Team Astana,,5,6:146:14,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
65,66,0,DENIFL Stefan,23,Leopard Trek,,5,",,6:14",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
66,67,0,ARMSTRONG Lance,39,RadioShack,,5,6:426:42,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
67,68,0,THOMAS Geraint,24,Sky Procycling,,5,7:077:07,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
68,69,0,ROE Timothy,21,BMC Racing Team,,5,7:297:29,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
69,70,0,ZAHNER Simon,27,BMC Racing Team,,5,8:078:07,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
70,71,0,MEYER Travis,21,Team Garmin - Cervélo,,5,8:088:08,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
71,72,0,IZAGIRRE Ion,21,Euskaltel - Euskadi,,5,8:098:09,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
72,73,0,TANNER David,26,Saxo Bank - Sungard,,5,8:188:18,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
73,74,0,CIOLEK Gerald,24,Quickstep Cycling Team,,5,8:228:22,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
74,75,0,MARANGONI Alan,26,Liquigas - Cannondale,,5,8:258:25,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
75,76,0,NEPOMNYACHSHIY Yevgeniy,23,Pro Team Astana,,5,8:318:31,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
76,77,0,KAISEN Olivier,27,Omega Pharma-Lotto,,5,8:578:57,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
77,78,0,VAN DE WALLE Jurgen,33,Omega Pharma-Lotto,,5,8:598:59,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
78,79,0,BALLONI Alfredo,21,Lampre - ISD,,5,9:039:03,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
79,80,0,HENDERSON Gregory,34,Sky Procycling,,5,9:089:08,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
80,81,0,TRUSOV Nikolay,25,Team Katusha,,5,9:109:10,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
81,82,0,DOCKER Mitchell,24,Skil - Shimano,,5,9:289:28,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
82,83,0,CIMOLAI Davide,21,Liquigas - Cannondale,,5,10:1310:13,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
83,84,0,MALACARNE Davide,23,Quickstep Cycling Team,,5,10:2810:28,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
84,85,0,BUTS Vitaliy,24,Lampre - ISD,,5,10:3510:35,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
85,86,0,SABATINI Fabio,25,Liquigas - Cannondale,,5,11:0711:07,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
86,87,0,VORGANOV Eduard,28,Team Katusha,,5,11:1211:12,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
87,88,0,REYNÉS Vicente,29,Omega Pharma-Lotto,,5,11:2711:27,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
88,89,0,CARDOSO Manuel Antonio Leal,27,RadioShack,,5,11:3511:35,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
89,90,0,SULZBERGER Wesley,24,FDJ,,5,",,11:35",..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
90,91,0,BANDIERA Marco,26,Quickstep Cycling Team,,5,11:3911:39,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
91,92,0,GALIMZYANOV Denis,23,Team Katusha,,5,11:5011:50,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
92,93,0,SPEZIALETTI Alessandro,36,Lampre - ISD,,5,12:1312:13,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
93,94,0,LEEZER Tom,25,Rabobank Cycling Team,,5,12:1412:14,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
94,95,0,PATE Danny,31,HTC - High Road,,5,12:3512:35,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
95,96,0,HOUANARD Steve,24,AG2R La Mondiale,,5,13:0513:05,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
96,97,0,LANCASTER Brett,31,Team Garmin - Cervélo,,5,13:2413:24,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
97,98,0,IRIZAR Markel,30,RadioShack,,5,13:4113:41,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
98,99,0,KUSCHYNSKI Aleksandr,31,Team Katusha,,5,13:5313:53,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
99,100,0,KRISTOFF Alexander,23,BMC Racing Team,,5,14:3114:31,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
100,101,0,HAEDO Lucas Sebastián,27,Saxo Bank - Sungard,,5,14:5314:53,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
101,102,0,RAST Grégory,31,RadioShack,,5,15:0415:04,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
102,103,0,CHAMPION Dimitri,27,AG2R La Mondiale,,5,15:4815:48,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
103,104,0,CLARKE Will,25,Leopard Trek,,5,15:5915:59,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
104,105,0,GOUROV Maxim,31,Pro Team Astana,,5,16:1916:19,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
105,106,0,GODDAERT Kristof,24,AG2R La Mondiale,,5,17:4317:43,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
106,107,0,HEPBURN Michael,19,Team Jayco Skins,,5,18:3818:38,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
107,108,0,WILSON Matthew,33,Team Garmin - Cervélo,,5,19:2119:21,..,Tour_Down_Under,GC,23 January 2011,-,0,0 km,34
