,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,0,GERRANS Simon,33,Orica GreenEDGE,100.0,250,19:57:35,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
1,2,2,-,0,EVANS Cadel,36,BMC Racing Team,80.0,190,0:010:01,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
2,3,3,-,0,ULISSI Diego,24,Lampre - Merida,70.0,160,0:050:05,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
3,4,4,-,0,PORTE Richie,28,Team Sky,60.0,140,0:100:10,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
4,5,5,-,0,HAAS Nathan,24,Garmin Sharp,50.0,120,0:270:27,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
5,6,6,-,0,GESINK Robert,27,Belkin-Pro Cycling Team,40.0,110,0:300:30,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
6,7,7,-,0,IMPEY Daryl,29,Orica GreenEDGE,30.0,100,0:340:34,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
7,8,9,▲1,0,THOMAS Geraint,27,Team Sky,20.0,90,0:370:37,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
8,9,8,▼1,0,HANSEN Adam,32,Lotto Belisol,10.0,80,",,0:37",..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
9,10,10,-,0,SILIN Egor,25,Team Katusha,4.0,70,0:470:47,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
10,11,11,-,0,SUTHERLAND Rory,31,Tinkoff - Saxo,,60,1:001:00,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
11,12,12,-,0,BOOKWALTER Brent,29,BMC Racing Team,,55,1:131:13,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
12,13,13,-,0,BAKELANTS Jan,27,Omega Pharma - Quick-Step,,50,1:411:41,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
13,14,14,-,0,PLAZA Rubén,33,Movistar Team,,45,1:451:45,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
14,15,15,-,0,BOUET Maxime,27,AG2R La Mondiale,,40,1:541:54,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
15,16,16,-,0,VORGANOV Eduard,31,Team Katusha,,36,1:571:57,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
16,17,17,-,0,HAIG Jack,20,Avanti Racing Team,,32,2:082:08,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
17,18,18,-,0,HUCKER Robbie,23,Drapac Professional Cycling,,28,2:152:15,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
18,19,20,▲1,0,ROUX Anthony,26,FDJ.fr,,24,2:382:38,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
19,20,24,▲4,0,WURF Cameron,30,Cannondale,,20,2:492:49,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
20,21,21,-,0,BROECKX Stig,23,Lotto Belisol,,18,2:512:51,..,Tour_Down_Under,GC,26 January 2014,41.333 km/h,0,0 km,44
