,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,30.0,+57:21,76,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,120.0,100.0,5:01:47,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
1,2,44.0,+1:11:30,24,KÄMNA Lennard,24,BORA - hansgrohe,50.0,70.0,0:040:04,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
2,3,31.0,+57:23,28,SCHACHMANN Maximilian,26,BORA - hansgrohe,25.0,50.0,0:510:51,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
3,4,34.0,+59:19,56,MADOUAS Valentin,24,Groupama - FDJ,15.0,40.0,1:331:33,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
4,5,17.0,+14:34,218,ROLLAND Pierre,33,B&B Hotels - Vital Concept p/b KTM,5.0,32.0,1:421:42,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
5,6,59.0,+1:33:09,123,EDET Nicolas,32,"Cofidis, Solutions Crédits",,26.0,1:531:53,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
6,7,75.0,+1:57:39,113,GESCHKE Simon,34,CCC Team,,22.0,2:352:35,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
7,8,22.0,+36:46,97,SOLER Marc,26,Movistar Team,,18.0,2:432:43,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
8,9,29.0,+57:13,73,CARTHY Hugh,26,EF Pro Cycling,,14.0,3:183:18,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
9,10,100.0,+2:32:49,133,DE LA CRUZ David,31,UAE-Team Emirates,,10.0,3:523:52,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
10,11,46.0,+1:14:23,171,MARTIN Dan,34,Israel Start-Up Nation,,8.0,4:314:31,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
11,12,1.0,+0:00,11,ROGLIČ Primož,30,Team Jumbo-Visma,,6.0,6:056:05,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
12,13,2.0,+0:44,131,POGAČAR Tadej,21,UAE-Team Emirates,,4.0,",,6:05",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
13,14,9.0,+2:06,101,PORTE Richie,35,Trek - Segafredo,,2.0,6:186:18,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
14,15,8.0,+1:55,61,LANDA Mikel,30,Bahrain - McLaren,,1.0,",,6:18",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
15,16,6.0,+1:31,141,LÓPEZ Miguel Ángel,26,Astana Pro Team,,,6:216:21,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
16,17,39.0,+1:08:33,77,POWLESS Neilson,24,EF Pro Cycling,,,6:296:29,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
17,18,3.0,+0:59,1,BERNAL Egan,23,INEOS Grenadiers,,,6:436:43,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
18,19,4.0,+1:10,71,URÁN Rigoberto,33,EF Pro Cycling,,,",,6:43",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
19,20,7.0,+1:42,161,YATES Adam,28,Mitchelton-Scott,,,6:456:45,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
20,21,5.0,+1:12,81,QUINTANA Nairo,30,Team Arkéa Samsic,,,",,6:45",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
21,22,10.0,+2:54,94,MAS Enric,25,Movistar Team,,,6:576:57,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
22,23,13.0,+4:32,14,DUMOULIN Tom,29,Team Jumbo-Visma,,,7:157:15,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
23,24,14.0,+5:11,3,CARAPAZ Richard,27,INEOS Grenadiers,,,7:347:34,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
24,25,20.0,+33:30,16,KUSS Sepp,25,Team Jumbo-Visma,,,",,7:34",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
25,26,28.0,+48:53,186,SICARD Romain,32,Team Total Direct Energie,,,7:497:49,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
26,27,11.0,+3:00,31,BARDET Romain,29,AG2R La Mondiale,,,8:358:35,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
27,28,15.0,+6:22,91,VALVERDE Alejandro,40,Movistar Team,,,8:448:44,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
28,29,12.0,+3:14,121,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,,8:518:51,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
29,30,19.0,+27:11,83,BARGUIL Warren,28,Team Arkéa Samsic,,,9:259:25,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
30,31,16.0,+7:02,63,CARUSO Damiano,32,Bahrain - McLaren,,,",,9:25",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
31,32,25.0,+42:56,62,BILBAO Pello,30,Bahrain - McLaren,,,10:1410:14,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
32,33,23.0,+40:13,144,IZAGIRRE Gorka,32,Astana Pro Team,,,",,10:14",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
33,34,35.0,+1:00:13,41,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,,,10:2610:26,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
34,35,126.0,+2:59:23,7,SIVAKOV Pavel,23,INEOS Grenadiers,,,",,10:26",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
35,36,119.0,+2:50:44,44,CAVAGNA Rémi,25,Deceuninck - Quick Step,,,10:5910:59,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
36,37,53.0,+1:23:21,38,VUILLERMOZ Alexis,32,AG2R La Mondiale,,,12:4112:41,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
37,38,24.0,+42:16,51,PINOT Thibaut,30,Groupama - FDJ,,,14:2414:24,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
38,39,42.0,+1:10:37,103,ELISSONDE Kenny,29,Trek - Segafredo,,,",,14:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
39,40,61.0,+1:36:58,102,EG Niklas,25,Trek - Segafredo,,,",,14:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
40,41,49.0,+1:17:11,138,POLANC Jan,28,UAE-Team Emirates,,,16:1316:13,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
41,42,71.0,+1:52:05,35,NAESEN Oliver,29,AG2R La Mondiale,,,16:5116:51,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
42,43,37.0,+1:05:00,57,MOLARD Rudy,30,Groupama - FDJ,,,18:2418:24,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
43,44,89.0,+2:24:23,196,KREUZIGER Roman,34,NTT Pro Cycling,,,",,18:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
44,45,32.0,+58:27,58,REICHENBACH Sébastien,31,Groupama - FDJ,,,",,18:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
45,46,26.0,+43:44,32,CHEREL Mikaël,34,AG2R La Mondiale,,,",,18:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
46,47,52.0,+1:23:15,47,JUNGELS Bob,27,Deceuninck - Quick Step,,,",,18:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
47,48,47.0,+1:14:40,147,SÁNCHEZ Luis León,36,Astana Pro Team,,,",,18:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
48,49,38.0,+1:08:03,98,VERONA Carlos,27,Movistar Team,,,",,18:24",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
49,50,45.0,+1:12:28,4,CASTROVIEJO Jonathan,33,INEOS Grenadiers,,,18:5818:58,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
50,51,18.0,+26:12,74,HIGUITA Sergio,23,EF Pro Cycling,,,19:0219:02,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
51,52,64.0,+1:40:59,8,VAN BAARLE Dylan,28,INEOS Grenadiers,,,20:0520:05,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
52,53,41.0,+1:09:38,5,KWIATKOWSKI Michał,30,INEOS Grenadiers,,,",,20:05",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
53,54,77.0,+1:57:54,154,DE GENDT Thomas,33,Lotto Soudal,,,",,20:05",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
54,55,62.0,+1:37:38,82,ANACONA Winner,32,Team Arkéa Samsic,,,21:4021:40,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
55,56,51.0,+1:23:12,124,HERRADA Jesús,30,"Cofidis, Solutions Crédits",,,",,21:40",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
56,57,60.0,+1:34:18,95,OLIVEIRA Nelson,31,Movistar Team,,,",,21:40",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
57,58,138.0,+3:08:58,67,POELS Wout,32,Bahrain - McLaren,,,23:1123:11,Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
58,59,36.0,+1:04:52,18,VAN AERT Wout,25,Team Jumbo-Visma,,,",,23:11",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
59,60,74.0,+1:56:43,107,STUYVEN Jasper,28,Trek - Segafredo,,,",,23:11",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
60,61,50.0,+1:19:34,15,GESINK Robert,34,Team Jumbo-Visma,,,",,23:11",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
61,62,80.0,+2:09:48,116,SCHÄR Michael,33,CCC Team,,,",,23:11",Tour_de_France,13,11 September 2020,38.07 km/h,285,191.5 km,1
