,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,15.0,+14:05,143,BARGUIL Warren,25,Team Sunweb,120.0,100.0,2:36:29,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
1,2,8.0,+2:07,21,QUINTANA Nairo,27,Movistar Team,50.0,70.0,",,0:00",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
2,3,10.0,+5:22,31,CONTADOR Alberto,34,Trek - Segafredo,25.0,50.0,",,0:00",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
3,4,5.0,+1:09,6,LANDA Mikel,27,Team Sky,15.0,40.0,0:020:02,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
4,5,7.0,+2:04,89,YATES Simon,24,ORICA-Scott,5.0,32.0,1:391:39,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
5,6,6.0,+1:32,105,MARTIN Dan,30,Quick-Step Floors,,26.0,",,1:39",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
6,7,55.0,+1:15:33,5,KWIATKOWSKI Michał,27,Team Sky,,22.0,1:481:48,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
7,8,2.0,+0:06,1,FROOME Chris,32,Team Sky,,18.0,",,1:48",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
8,9,1.0,+0:00,51,ARU Fabio,27,Astana Pro Team,,14.0,",,1:48",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
9,10,4.0,+0:35,188,URÁN Rigoberto,30,Cannondale-Drapac Pro Cycling Team,,10.0,",,1:48",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
10,11,3.0,+0:25,11,BARDET Romain,26,AG2R La Mondiale,,8.0,",,1:48",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
11,12,9.0,+4:51,61,MEINTJES Louis,25,UAE Team Emirates,,6.0,",,1:48",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
12,13,18.0,+18:00,24,BETANCUR Carlos,27,Movistar Team,,4.0,4:084:08,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
13,14,60.0,+1:23:11,69,ULISSI Diego,27,UAE Team Emirates,,2.0,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
14,15,13.0,+10:33,17,LATOUR Pierre,23,AG2R La Mondiale,,1.0,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
15,16,23.0,+35:54,96,PAUWELS Serge,33,Team Dimension Data,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
16,17,16.0,+14:36,19,VUILLERMOZ Alexis,29,AG2R La Mondiale,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
17,18,14.0,+11:13,42,CARUSO Damiano,29,BMC Racing Team,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
18,19,19.0,+21:47,201,MARTIN Guillaume,24,Wanty - Groupe Gobert,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
19,20,17.0,+16:34,113,BUCHMANN Emanuel,24,BORA - hansgrohe,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
20,21,12.0,+9:50,7,NIEVE Mikel,33,Team Sky,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
21,22,11.0,+6:24,162,BENNETT George,27,Team LottoNL-Jumbo,,,",,4:08",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
22,23,62.0,+1:23:30,216,PÉRICHON Pierre-Luc,30,Fortuneo - Oscaro,,,5:565:56,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
23,24,29.0,+49:20,135,GALLOPIN Tony,29,Lotto Soudal,,,",,5:56",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
24,25,30.0,+49:56,157,NAVARRO Daniel,33,"Cofidis, Solutions Crédits",,,",,5:56",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
25,26,33.0,+51:19,25,CASTROVIEJO Jonathan,30,Movistar Team,,,",,5:56",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
26,27,97.0,+1:44:04,178,SICARD Romain,29,Direct Energie,,,5:595:59,Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
27,28,52.0,+1:14:26,48,VAN AVERMAET Greg,32,BMC Racing Team,,,",,5:59",Tour_de_France,13,14 July 2017,38.73 km/h,233,101 km,1
