,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,63,DENNIS Rohan,25,BMC Racing Team,20.0,100.0,0:14:56,55.446000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
1,2,2,+0:05,114,MARTIN Tony,30,Etixx - Quick Step,10.0,70.0,0:050:05,55.138999999999996,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
2,3,3,+0:06,143,CANCELLARA Fabian,34,Trek Factory Racing,6.0,50.0,0:060:06,55.078,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
3,4,4,+0:08,85,DUMOULIN Tom,24,Team Giant - Alpecin,4.0,40.0,0:080:08,54.956,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
4,5,5,+0:15,138,VAN EMDEN Jos,30,Team LottoNL-Jumbo,2.0,32.0,0:150:15,54.533,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
5,6,6,+0:23,53,CASTROVIEJO Jonathan,28,Movistar Team,,26.0,0:230:23,54.059,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
6,7,7,+0:23,182,BRÄNDLE Matthias,25,IAM Cycling,,22.0,",,0:23",54.059,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
7,8,8,+0:29,58,MALORI Adriano,27,Movistar Team,,18.0,0:290:29,53.708,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
8,9,9,+0:30,132,KELDERMAN Wilco,24,Team LottoNL-Jumbo,,14.0,0:300:30,53.65,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
9,10,10,+0:32,212,CUMMINGS Steve,34,MTN - Qhubeka,,10.0,0:320:32,53.534,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
10,11,11,+0:33,131,GESINK Robert,29,Team LottoNL-Jumbo,,8.0,0:330:33,53.477,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
11,12,12,+0:33,39,THOMAS Geraint,29,Team Sky,,6.0,",,0:33",53.477,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
12,13,13,+0:36,54,DOWSETT Alex,26,Movistar Team,,4.0,0:360:36,53.305,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
13,14,14,+0:37,141,MOLLEMA Bauke,28,Trek Factory Racing,,2.0,0:370:37,53.248000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
14,15,15,+0:38,147,JUNGELS Bob,22,Trek Factory Racing,,1.0,0:380:38,53.191,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
15,16,16,+0:38,169,VAN BAARLE Dylan,23,Team Cannondale - Garmin,,,",,0:38",53.191,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
16,17,17,+0:40,118,URÁN Rigoberto,28,Etixx - Quick Step,,,0:400:40,53.077,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
17,18,18,+0:41,21,PINOT Thibaut,25,FDJ,,,0:410:41,53.02,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
18,19,19,+0:41,47,SAGAN Peter,25,Tinkoff - Saxo,,,",,0:41",53.02,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
19,20,20,+0:42,61,VAN GARDEREN Tejay,26,BMC Racing Team,,,0:420:42,52.964,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
20,21,21,+0:43,33,KÖNIG Leopold,27,Team Sky,,,0:430:43,52.907,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
21,22,22,+0:43,1,NIBALI Vincenzo,30,Astana Pro Team,,,",,0:43",52.907,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
22,23,23,+0:44,2,BOOM Lars,29,Astana Pro Team,,,0:440:44,52.851000000000006,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
23,24,24,+0:44,64,OSS Daniel,28,BMC Racing Team,,,",,0:44",52.851000000000006,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
24,25,25,+0:45,106,TUFT Svein,38,Orica GreenEDGE,,,0:450:45,52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
25,26,26,+0:45,81,DEGENKOLB John,26,Team Giant - Alpecin,,,",,0:45",52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
26,27,27,+0:45,9,WESTRA Lieuwe,32,Astana Pro Team,,,",,0:45",52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
27,28,28,+0:45,116,ŠTYBAR Zdeněk,29,Etixx - Quick Step,,,",,0:45",52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
28,29,29,+0:45,183,CHAVANEL Sylvain,36,IAM Cycling,,,",,0:45",52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
29,30,30,+0:45,8,TAARAMÄE Rein,28,Astana Pro Team,,,",,0:45",52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
30,31,31,+0:45,133,KRUIJSWIJK Steven,28,Team LottoNL-Jumbo,,,",,0:45",52.795,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
31,32,32,+0:46,103,DURBRIDGE Luke,24,Orica GreenEDGE,,,0:460:46,52.739,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
32,33,33,+0:46,109,YATES Simon,22,Orica GreenEDGE,,,",,0:46",52.739,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
33,34,34,+0:47,46,ROGERS Michael,35,Tinkoff - Saxo,,,0:470:47,52.683,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
34,35,35,+0:47,28,ROY Jérémy,32,FDJ,,,",,0:47",52.683,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
35,36,36,+0:49,139,VANMARCKE Sep,26,Team LottoNL-Jumbo,,,0:490:49,52.571000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
36,37,37,+0:50,186,ELMIGER Martin,36,IAM Cycling,,,0:500:50,52.516000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
37,38,38,+0:50,68,VAN AVERMAET Greg,30,BMC Racing Team,,,",,0:50",52.516000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
38,39,39,+0:50,31,FROOME Chris,30,Team Sky,,,",,0:50",52.516000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
39,40,40,+0:51,185,COPPEL Jérôme,28,IAM Cycling,,,0:510:51,52.46,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
40,41,41,+0:53,57,IZAGIRRE Gorka,27,Movistar Team,,,0:530:53,52.35,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
41,42,42,+0:55,135,MARTENS Paul,31,Team LottoNL-Jumbo,,,0:550:55,52.24,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
42,43,43,+0:56,59,VALVERDE Alejandro,35,Movistar Team,,,0:560:56,52.185,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
43,44,44,+0:57,104,IMPEY Daryl,30,Orica GreenEDGE,,,0:570:57,52.13,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
44,45,45,+0:57,4,GRIVKO Andrey,31,Astana Pro Team,,,",,0:57",52.13,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
45,46,46,+0:58,41,CONTADOR Alberto,32,Tinkoff - Saxo,,,0:580:58,52.075,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
46,47,47,+0:58,105,MATTHEWS Michael,24,Orica GreenEDGE,,,",,0:58",52.075,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
47,48,48,+0:58,71,GALLOPIN Tony,27,Lotto Soudal,,,",,0:58",52.075,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
48,49,49,+0:58,146,IRIZAR Markel,35,Trek Factory Racing,,,",,0:58",52.075,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
49,50,50,+0:59,11,PERAUD Jean-Christophe,38,AG2R La Mondiale,,,0:590:59,52.021,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
50,51,51,+0:59,87,PREIDLER Georg,25,Team Giant - Alpecin,,,",,0:59",52.021,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
51,52,52,+0:59,211,BOASSON HAGEN Edvald,28,MTN - Qhubeka,,,",,0:59",52.021,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
52,53,53,+1:00,27,MORABITO Steve,32,FDJ,,,1:001:00,51.967,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
53,54,54,+1:00,102,ALBASINI Michael,34,Orica GreenEDGE,,,",,1:00",51.967,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
54,55,55,+1:00,16,GAUDIN Damien,28,AG2R La Mondiale,,,",,1:00",51.967,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
55,56,56,+1:01,149,ZUBELDIA Haimar,38,Trek Factory Racing,,,1:011:01,51.912,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
56,57,57,+1:01,51,QUINTANA Nairo,25,Movistar Team,,,",,1:01",51.912,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
57,58,58,+1:02,6,KANGERT Tanel,28,Astana Pro Team,,,1:021:02,51.858000000000004,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
58,59,59,+1:04,66,SÁNCHEZ Samuel,37,BMC Racing Team,,,1:041:04,51.75,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
59,60,60,+1:04,65,QUINZIATO Manuel,35,BMC Racing Team,,,",,1:04",51.75,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
60,61,61,+1:05,86,GESCHKE Simon,29,Team Giant - Alpecin,,,1:051:05,51.696000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
61,62,62,+1:05,34,POELS Wout,27,Team Sky,,,",,1:05",51.696000000000005,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
62,63,63,+1:06,44,KREUZIGER Roman,29,Tinkoff - Saxo,,,1:061:06,51.641999999999996,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
63,64,64,+1:06,111,KWIATKOWSKI Michał,25,Etixx - Quick Step,,,",,1:06",51.641999999999996,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
64,65,65,+1:06,35,PORTE Richie,30,Team Sky,,,",,1:06",51.641999999999996,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
65,66,66,+1:07,107,WEENING Pieter,34,Orica GreenEDGE,,,1:071:07,51.589,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
66,67,67,+1:07,134,LEEZER Tom,29,Team LottoNL-Jumbo,,,",,1:07",51.589,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
67,68,68,+1:08,32,KENNAUGH Peter,26,Team Sky,,,1:081:08,51.535,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
68,69,69,+1:08,98,MACHADO Tiago,29,Team Katusha,,,",,1:08",51.535,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
69,70,70,+1:08,197,MENDES José,30,Bora - Argon 18,,,",,1:08",51.535,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
70,71,71,+1:08,96,KRISTOFF Alexander,27,Team Katusha,,,",,1:08",51.535,Tour_de_France,1,04 July 2015,55.45 km/h,0,13.8 km,1
