,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,135,KRISTOFF Alexander,33,UAE-Team Emirates,120.0,100.0,3:46:23,Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
1,2,2.0,+0:04,105,PEDERSEN Mads,24,Trek - Segafredo,50.0,70.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
2,3,3.0,+0:06,203,BOL Cees,25,Team Sunweb,25.0,50.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
3,4,4.0,+0:10,43,BENNETT Sam,29,Deceuninck - Quick Step,15.0,40.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
4,5,5.0,+0:10,21,SAGAN Peter,30,BORA - hansgrohe,5.0,32.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
5,6,6.0,+0:10,128,VIVIANI Elia,31,"Cofidis, Solutions Crédits",,26.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
6,7,7.0,+0:10,191,NIZZOLO Giacomo,31,NTT Pro Cycling,,22.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
7,8,8.0,+0:10,211,COQUARD Bryan,28,B&B Hotels - Vital Concept p/b KTM,,18.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
8,9,9.0,+0:10,188,TURGIS Anthony,26,Team Total Direct Energie,,14.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
9,10,10.0,+0:10,107,STUYVEN Jasper,28,Trek - Segafredo,,10.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
10,11,11.0,+0:10,35,NAESEN Oliver,29,AG2R La Mondiale,,8.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
11,12,12.0,+0:10,117,TRENTIN Matteo,31,CCC Team,,6.0,",,0:00",Tour_de_France,1,29 August 2020,41.35 km/h,36,156 km,1
