,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,197,KITTEL Marcel,25,Team Argos - Shimano,20.0,100.0,4:56:52,Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
1,2,2,+0:00,103,KRISTOFF Alexander,25,Team Katusha,10.0,70.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
2,3,3,+0:00,208,VAN POPPEL Danny,19,Vacansoleil - DCM,6.0,50.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
3,4,4,+0:00,176,MILLAR David,36,Garmin Sharp,4.0,40.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
4,5,5,+0:00,158,TRENTIN Matteo,23,Omega Pharma - Quick-Step,2.0,32.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
5,6,6,+0:00,84,DUMOULIN Samuel,32,AG2R La Mondiale,,26.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
6,7,7,+0:00,26,HENDERSON Gregory,36,Lotto Belisol Team,,22.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
7,8,8,+0:00,27,ROELANDTS Jürgen,27,Lotto Belisol Team,,18.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
8,9,9,+0:00,129,ROJAS José Joaquín,28,Movistar Team,,14.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
9,10,10,+0:00,202,BOECKMANS Kris,26,Vacansoleil - DCM,,10.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
10,11,11,+0:00,185,IMPEY Daryl,28,Orica GreenEDGE,,8.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
11,12,12,+0:00,168,VANMARCKE Sep,24,Belkin-Pro Cycling Team,,6.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
12,13,13,+0:00,218,SIMON Julien,27,Sojasun,,4.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
13,14,14,+0:00,97,ROCHE Nicolas,28,Team Saxo - Tinkoff,,2.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
14,15,15,+0:00,181,GERRANS Simon,33,Orica GreenEDGE,,1.0,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
15,16,16,+0:00,66,KASHECHKIN Andrey,33,Astana Pro Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
16,17,17,+0:00,126,GUTIÉRREZ José Iván,34,Movistar Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
17,18,18,+0:00,118,PÉREZ Rubén,31,Euskaltel - Euskadi,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
18,19,19,+0:00,182,ALBASINI Michael,32,Orica GreenEDGE,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
19,20,20,+0:00,169,WYNANTS Maarten,31,Belkin-Pro Cycling Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
20,21,21,+0:00,214,HIVERT Jonathan,28,Sojasun,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
21,22,22,+0:00,81,PERAUD Jean-Christophe,36,AG2R La Mondiale,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
22,23,23,+0:00,31,EVANS Cadel,36,BMC Racing Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
23,24,24,+0:00,2,BOASSON HAGEN Edvald,26,Sky Procycling,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
24,25,25,+0:00,89,RIBLON Christophe,32,AG2R La Mondiale,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
25,26,26,+0:00,94,KREUZIGER Roman,27,Team Saxo - Tinkoff,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
26,27,27,+0:00,206,LAGUTIN Sergey,32,Vacansoleil - DCM,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
27,28,28,+0:00,38,SCHÄR Michael,26,BMC Racing Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
28,29,29,+0:00,153,KWIATKOWSKI Michał,23,Omega Pharma - Quick-Step,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
29,30,30,+0:00,82,BARDET Romain,22,AG2R La Mondiale,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
30,31,31,+0:00,21,VAN DEN BROECK Jurgen,30,Lotto Belisol Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
31,32,32,+0:00,141,CUNEGO Damiano,31,Lampre - Merida,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
32,33,33,+0:00,107,SMUKULIS Gatis,26,Team Katusha,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
33,34,34,+0:00,152,CHAVANEL Sylvain,33,Omega Pharma - Quick-Step,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
34,35,35,+0:00,121,VALVERDE Alejandro,33,Movistar Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
35,36,36,+0:00,183,CLARKE Simon,26,Orica GreenEDGE,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
36,37,37,+0:00,159,VELITS Peter,28,Omega Pharma - Quick-Step,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
37,38,38,+0:00,179,VANDE VELDE Christian,37,Garmin Sharp,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
38,39,39,+0:00,6,PORTE Richie,28,Sky Procycling,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
39,40,40,+0:00,102,BRUTT Pavel,31,Team Katusha,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
40,41,41,+0:00,1,FROOME Chris,28,Sky Procycling,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
41,42,42,+0:00,63,FUGLSANG Jakob,28,Astana Pro Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
42,43,43,+0:00,28,SIEBERG Marcel,31,Lotto Belisol Team,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
43,44,44,+0:00,101,RODRÍGUEZ Joaquim,34,Team Katusha,,,",,0:00",Tour_de_France,1,29 June 2013,43.05 km/h,0,213 km,1
