,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,131,POGAČAR Tadej,21,UAE-Team Emirates,1000.0,500,87:20:05,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
1,2,2,-,11,ROGLIČ Primož,30,Team Jumbo-Visma,800.0,380,0:590:59,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
2,3,3,-,101,PORTE Richie,35,Trek - Segafredo,675.0,340,3:303:30,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
3,4,4,-,61,LANDA Mikel,30,Bahrain - McLaren,575.0,300,5:585:58,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
4,5,5,-,94,MAS Enric,25,Movistar Team,475.0,280,6:076:07,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
5,6,6,-,141,LÓPEZ Miguel Ángel,26,Astana Pro Team,400.0,260,6:476:47,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
6,7,7,-,14,DUMOULIN Tom,29,Team Jumbo-Visma,325.0,240,7:487:48,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
7,8,8,-,71,URÁN Rigoberto,33,EF Pro Cycling,275.0,220,8:028:02,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
8,9,9,-,161,YATES Adam,28,Mitchelton-Scott,225.0,210,9:259:25,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
9,10,10,-,63,CARUSO Damiano,32,Bahrain - McLaren,175.0,200,14:0314:03,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
10,11,11,-,121,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",150.0,190,16:5816:58,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
11,12,12,-,91,VALVERDE Alejandro,40,Movistar Team,125.0,180,17:4117:41,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
12,13,13,-,3,CARAPAZ Richard,27,INEOS Grenadiers,105.0,170,25:5325:53,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
13,14,14,-,83,BARGUIL Warren,28,Team Arkéa Samsic,85.0,160,31:0431:04,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
14,15,15,-,16,KUSS Sepp,26,Team Jumbo-Visma,75.0,150,42:2042:20,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
15,16,16,-,62,BILBAO Pello,30,Bahrain - McLaren,70.0,140,55:5655:56,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
16,17,17,-,81,QUINTANA Nairo,30,Team Arkéa Samsic,65.0,130,1:03:071:03:07,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
17,18,18,-,218,ROLLAND Pierre,33,B&B Hotels - Vital Concept p/b KTM,60.0,120,1:08:261:08:26,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
18,19,19,-,98,VERONA Carlos,27,Movistar Team,55.0,110,1:19:541:19:54,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
19,20,20,-,18,VAN AERT Wout,26,Team Jumbo-Visma,50.0,100,1:20:311:20:31,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
20,21,21,-,97,SOLER Marc,26,Movistar Team,40.0,95,1:31:531:31:53,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
21,22,22,-,144,IZAGIRRE Gorka,32,Astana Pro Team,40.0,90,1:36:121:36:12,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
22,23,24,▲1,164,CHAVES Esteban,30,Mitchelton-Scott,40.0,85,1:38:451:38:45,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
23,24,23,▼1,58,REICHENBACH Sébastien,31,Groupama - FDJ,40.0,80,1:39:271:39:27,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
24,25,25,-,103,ELISSONDE Kenny,29,Trek - Segafredo,40.0,75,1:40:061:40:06,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
25,26,26,-,32,CHEREL Mikaël,34,AG2R La Mondiale,30.0,70,1:40:511:40:51,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
26,27,27,-,56,MADOUAS Valentin,24,Groupama - FDJ,30.0,65,1:42:431:42:43,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
27,28,28,-,76,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,30.0,60,1:55:121:55:12,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
28,29,29,-,51,PINOT Thibaut,30,Groupama - FDJ,30.0,55,1:59:541:59:54,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
29,30,30,-,5,KWIATKOWSKI Michał,30,INEOS Grenadiers,30.0,50,2:06:322:06:32,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
30,31,31,-,186,SICARD Romain,32,Team Total Direct Energie,25.0,45,2:13:022:13:02,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
31,32,33,▲1,147,SÁNCHEZ Luis León,36,Astana Pro Team,25.0,40,2:13:472:13:47,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
32,33,34,▲1,24,KÄMNA Lennard,24,BORA - hansgrohe,25.0,35,2:15:392:15:39,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
33,34,32,▼2,12,BENNETT George,30,Team Jumbo-Visma,25.0,30,2:15:492:15:49,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
34,35,35,-,38,VUILLERMOZ Alexis,32,AG2R La Mondiale,25.0,25,2:16:192:16:19,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
35,36,36,-,41,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,25.0,25,2:19:112:19:11,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
36,37,37,-,73,CARTHY Hugh,26,EF Pro Cycling,25.0,25,2:20:312:20:31,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
37,38,38,-,22,BUCHMANN Emanuel,27,BORA - hansgrohe,25.0,25,2:21:572:21:57,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
38,39,39,-,57,MOLARD Rudy,31,Groupama - FDJ,25.0,25,2:26:532:26:53,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
39,40,41,▲1,138,POLANC Jan,28,UAE-Team Emirates,25.0,25,2:29:542:29:54,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
40,41,40,▼1,171,MARTIN Dan,34,Israel Start-Up Nation,20.0,25,2:30:252:30:25,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
41,42,42,-,15,GESINK Robert,34,Team Jumbo-Visma,20.0,25,2:30:352:30:35,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
42,43,43,-,47,JUNGELS Bob,27,Deceuninck - Quick Step,20.0,25,2:33:302:33:30,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
43,44,44,-,124,HERRADA Jesús,30,"Cofidis, Solutions Crédits",20.0,25,2:34:502:34:50,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
44,45,45,-,148,TEJADA Harold,23,Astana Pro Team,20.0,25,2:37:022:37:02,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
45,46,47,▲1,146,LUTSENKO Alexey,28,Astana Pro Team,20.0,25,2:39:372:39:37,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
46,47,46,▼1,143,HOULE Hugo,29,Astana Pro Team,20.0,25,2:39:542:39:54,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
47,48,48,-,113,GESCHKE Simon,34,CCC Team,20.0,25,2:44:272:44:27,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
48,49,49,-,123,EDET Nicolas,32,"Cofidis, Solutions Crédits",20.0,25,2:48:442:48:44,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
49,50,50,-,111,VAN AVERMAET Greg,35,CCC Team,20.0,25,2:49:502:49:50,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
50,51,51,-,102,EG Niklas,25,Trek - Segafredo,15.0,25,2:50:042:50:04,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
51,52,52,-,154,DE GENDT Thomas,33,Lotto Soudal,15.0,25,2:51:562:51:56,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
52,53,54,▲1,216,PACHER Quentin,28,B&B Hotels - Vital Concept p/b KTM,15.0,25,2:54:172:54:17,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
53,54,53,▼1,204,HIRSCHI Marc,22,Team Sunweb,15.0,25,2:54:342:54:34,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
54,55,56,▲1,95,OLIVEIRA Nelson,31,Movistar Team,15.0,25,3:01:413:01:41,..,Tour_de_France,GC,20 September 2020,-,0,0 km,1
