,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,1,FROOME Chris,32,Team Sky,1000.0,500,86:20:55,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
1,2,2,-,188,URÁN Rigoberto,30,Cannondale-Drapac Pro Cycling Team,800.0,380,0:540:54,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
2,3,3,-,11,BARDET Romain,26,AG2R La Mondiale,675.0,340,2:202:20,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
3,4,4,-,6,LANDA Mikel,27,Team Sky,575.0,300,2:212:21,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
4,5,5,-,51,ARU Fabio,27,Astana Pro Team,475.0,280,3:053:05,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
5,6,6,-,105,MARTIN Dan,30,Quick-Step Floors,400.0,260,4:424:42,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
6,7,7,-,89,YATES Simon,24,ORICA-Scott,325.0,240,6:146:14,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
7,8,8,-,61,MEINTJES Louis,25,UAE Team Emirates,275.0,220,8:208:20,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
8,9,9,-,31,CONTADOR Alberto,34,Trek - Segafredo,225.0,210,8:498:49,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
9,10,10,-,143,BARGUIL Warren,25,Team Sunweb,175.0,200,9:259:25,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
10,11,11,-,42,CARUSO Damiano,29,BMC Racing Team,150.0,190,14:4814:48,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
11,12,12,-,21,QUINTANA Nairo,27,Movistar Team,125.0,180,15:2815:28,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
12,13,13,-,19,VUILLERMOZ Alexis,29,AG2R La Mondiale,105.0,170,24:3824:38,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
13,14,14,-,7,NIEVE Mikel,33,Team Sky,85.0,160,25:2825:28,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
14,15,15,-,113,BUCHMANN Emanuel,24,BORA - hansgrohe,75.0,150,33:2133:21,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
15,16,16,-,213,FEILLU Brice,31,Fortuneo - Oscaro,70.0,140,36:4636:46,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
16,17,17,-,37,MOLLEMA Bauke,30,Trek - Segafredo,65.0,130,37:4337:43,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
17,18,18,-,24,BETANCUR Carlos,27,Movistar Team,60.0,120,37:4737:47,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
18,19,19,-,96,PAUWELS Serge,33,Team Dimension Data,55.0,110,39:3639:36,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
19,20,20,-,133,BENOOT Tiesj,23,Lotto Soudal,50.0,100,42:0442:04,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
20,21,21,-,135,GALLOPIN Tony,29,Lotto Soudal,40.0,95,42:3942:39,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
21,22,22,-,12,BAKELANTS Jan,31,AG2R La Mondiale,40.0,90,50:0450:04,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
22,23,23,-,201,MARTIN Guillaume,24,Wanty - Groupe Gobert,40.0,85,53:5253:52,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
23,24,24,-,88,KREUZIGER Roman,31,ORICA-Scott,40.0,80,59:5859:58,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
24,25,25,-,174,CHAVANEL Sylvain,38,Direct Energie,40.0,75,1:04:221:04:22,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
25,26,27,▲1,215,HARDY Romain,28,Fortuneo - Oscaro,30.0,70,1:12:511:12:51,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
26,27,28,▲1,157,NAVARRO Daniel,34,"Cofidis, Solutions Crédits",30.0,65,1:15:261:15:26,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
27,28,29,▲1,2,HENAO Sergio,29,Team Sky,30.0,60,1:16:321:16:32,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
28,29,26,▼3,17,LATOUR Pierre,23,AG2R La Mondiale,30.0,55,1:18:451:18:45,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
29,30,30,-,14,FRANK Mathias,30,AG2R La Mondiale,30.0,50,1:21:161:21:16,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
30,31,31,-,124,KIŠERLOVSKI Robert,30,Team Katusha Alpecin,25.0,45,1:25:251:25:25,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
31,32,32,-,45,MOINARD Amaël,35,BMC Racing Team,25.0,40,1:32:021:32:02,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
32,33,33,-,46,ROCHE Nicolas,33,BMC Racing Team,25.0,35,1:32:351:32:35,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
33,34,34,-,203,DEGAND Thomas,31,Wanty - Groupe Gobert,25.0,30,1:34:021:34:02,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
34,35,35,-,173,CALMEJANE Lilian,24,Direct Energie,25.0,25,1:35:161:35:16,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
35,36,36,-,77,MOLARD Rudy,27,FDJ,25.0,25,1:35:551:35:55,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
36,37,37,-,15,GASTAUER Ben,29,AG2R La Mondiale,25.0,25,1:38:331:38:33,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
37,38,38,-,166,ROGLIČ Primož,27,Team LottoNL-Jumbo,25.0,25,1:44:411:44:41,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
38,39,39,-,69,ULISSI Diego,28,UAE Team Emirates,25.0,25,1:45:231:45:23,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
39,40,40,-,204,MINNAARD Marco,28,Wanty - Groupe Gobert,25.0,25,1:48:111:48:11,..,Tour_de_France,GC,23 July 2017,40.997 km/h,0,0 km,1
