,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,116,+1:17:59,44,PHINNEY Taylor,23,BMC Racing Team,6.0,50.0,5:40:17,Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
1,2,117,+1:17:59,106,VON HOFF Steele,25,Garmin Sharp,4.0,30.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
2,3,119,+1:18:05,173,HUTAROVICH Yauheni,29,AG2R La Mondiale,2.0,18.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
3,4,122,+1:18:09,135,KRUOPIS Aidis,26,Orica GreenEDGE,1.0,13.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
4,5,123,+1:18:09,142,JANSE VAN RENSBURG Reinardt,24,Team Argos - Shimano,1.0,10.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
5,6,115,+1:17:59,42,HUSHOVD Thor,35,BMC Racing Team,,7.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
6,7,121,+1:18:09,144,MEZGEC Luka,25,Team Argos - Shimano,,4.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
7,8,126,+1:18:19,214,MATYSIAK Bartłomiej,28,CCC Polsat Polkowice,,3.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
8,9,78,+43:28,63,RATTO Daniele,23,Cannondale Pro Cycling Team,,2.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
9,10,79,+43:29,195,SCHORN Daniel,24,Team NetApp – Endura,,1.0,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
10,11,120,+1:18:06,203,DUQUE Leonardo Fabio,33,Team Colombia,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
11,12,87,+45:06,34,SWIFT Ben,25,Sky Procycling,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
12,13,39,+17:05,13,GOŁAŚ Michał,29,Omega Pharma - Quick-Step,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
13,14,62,+34:10,152,BOLE Grega,27,Vacansoleil - DCM,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
14,15,38,+16:24,15,ŠTYBAR Zdeněk,27,Omega Pharma - Quick-Step,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
15,16,98,+55:22,184,COURTEILLE Arnaud,24,FDJ.fr,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
16,17,26,+5:46,146,PREIDLER Georg,23,Team Argos - Shimano,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
17,18,110,+1:09:32,115,VENTOSO Francisco José,31,Movistar Team,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
18,19,36,+11:56,112,MADRAZO Ángel,25,Movistar Team,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
19,20,118,+1:18:03,93,RENSHAW Mark,30,Belkin-Pro Cycling Team,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
20,21,128,+1:18:46,164,VAN DER SANDE Tosh,22,Lotto Belisol Team,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
21,22,20,+2:50,43,NERZ Dominik,23,BMC Racing Team,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
22,23,15,+1:34,4,KANGERT Tanel,26,Astana Pro Team,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
23,24,66,+35:42,35,URÁN Rigoberto,26,Sky Procycling,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
24,25,44,+20:55,206,ROMERO Jeffry,23,Team Colombia,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
25,26,101,+59:29,155,SELVAGGI Mirko,28,Vacansoleil - DCM,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
26,27,2,+0:04,31,HENAO Sergio,25,Sky Procycling,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
27,28,3,+0:06,176,RIBLON Christophe,32,AG2R La Mondiale,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
28,29,13,+1:14,82,HERMANS Ben,27,RadioShack - Leopard,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
29,30,109,+1:07:48,134,HOWARD Leigh,23,Orica GreenEDGE,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
30,31,96,+53:49,153,LAMMERTINK Maurits,22,Vacansoleil - DCM,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
31,32,7,+0:13,175,POZZOVIVO Domenico,30,AG2R La Mondiale,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
32,33,80,+43:29,101,DEKKER Thomas,28,Garmin Sharp,,,",,0:00",Tour_de_Pologne,4,31 July 2013,40.73 km/h,0,231 km,29
