,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2.0,+0:04,105,MEZGEC Luka,31,Mitchelton-Scott,50.0,50.0,3:49:55,Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
1,2,4.0,+0:18,64,PRADES Eduard,31,Movistar Team,20.0,30.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
2,3,3.0,+0:16,7,SWIFT Ben,31,Team INEOS,8.0,18.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
3,4,27.0,+0:24,17,VAKOČ Petr,27,Deceuninck - Quick Step,,13.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
4,5,8.0,+0:23,136,LATOUR Pierre,25,AG2R La Mondiale,,10.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
5,6,17.0,+0:24,25,MAJKA Rafał,29,BORA - hansgrohe,,7.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
6,7,98.0,+3:15,161,BATTAGLIN Enrico,29,Team Katusha Alpecin,,4.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
7,8,9.0,+0:24,84,SARREAU Marc,26,Groupama - FDJ,,3.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
8,9,16.0,+0:24,92,HAMILTON Chris,24,Team Sunweb,,2.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
9,10,40.0,+0:24,125,GOGL Michael,25,Trek - Segafredo,,1.0,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
10,11,12.0,+0:24,174,GASPAROTTO Enrico,37,Team Dimension Data,,,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
11,12,11.0,+0:24,57,ULISSI Diego,30,UAE-Team Emirates,,,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
12,13,59.0,+0:24,37,VINGEGAARD Jonas,22,Team Jumbo-Visma,,,",,0:00",Tour_de_Pologne,5,07 August 2019,40.136 km/h,61,153.8 km,44
