,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,53.0,+21:07,88,VANDEWALLE Kristof,29,Trek Factory Racing,6.0,50.0,0:29:18,51.195,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
1,2,72.0,+30:44,127,MALORI Adriano,26,Movistar Team,4.0,30.0,0:030:03,51.107,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
2,3,68.0,+28:35,71,CUMMINGS Steve,33,BMC Racing Team,2.0,18.0,0:100:10,50.905,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
3,4,36.0,+10:24,74,MORABITO Steve,31,BMC Racing Team,1.0,13.0,0:200:20,50.619,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
4,5,31.0,+7:17,124,IZAGIRRE Gorka,26,Movistar Team,1.0,10.0,0:220:22,50.562,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
5,6,39.0,+11:38,33,CATALDO Dario,29,Team Sky,,7.0,0:280:28,50.391999999999996,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
6,7,2.0,+0:08,125,IZAGIRRE Ion,25,Movistar Team,,4.0,0:290:29,50.364,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
7,8,70.0,+29:45,84,JUNGELS Bob,21,Trek Factory Racing,,3.0,0:340:34,50.223,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
8,9,4.0,+0:34,157,RIBLON Christophe,33,AG2R La Mondiale,,2.0,0:380:38,50.111000000000004,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
9,10,69.0,+28:51,4,MATTHEWS Michael,23,Orica GreenEDGE,,1.0,",,0:38",50.111000000000004,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
10,11,123.0,+1:03:37,197,TACIAK Mateusz,30,CCC Polsat Polkowice,,,0:390:39,50.083,Tour_de_Pologne,7,09 August 2014,51.19 km/h,0,25 km,46
