,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,26,TEUNS Dylan,25,BMC Racing Team,400.0,250,27:07:47,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
1,2,2,-,73,MAJKA Rafał,27,BORA - hansgrohe,320.0,190,0:020:02,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
2,3,4,▲1,55,POELS Wout,29,Team Sky,260.0,160,0:030:03,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
3,4,3,▼1,85,KELDERMAN Wilco,26,Team Sunweb,220.0,140,0:100:10,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
4,5,6,▲1,31,YATES Adam,24,ORICA-Scott,180.0,120,0:130:13,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
5,6,5,▼1,136,POZZOVIVO Domenico,34,AG2R La Mondiale,140.0,110,0:230:23,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
6,7,7,-,86,OOMEN Sam,21,Team Sunweb,120.0,100,0:360:36,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
7,8,12,▲4,35,HAIG Jack,23,ORICA-Scott,100.0,90,0:570:57,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
8,9,8,▼1,124,NIBALI Vincenzo,32,Bahrain Merida Pro Cycling Team,80.0,80,1:191:19,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
9,10,9,▼1,143,COSTA Rui,30,UAE Team Emirates,68.0,70,1:221:22,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
10,11,11,-,97,ZAKARIN Ilnur,27,Team Katusha Alpecin,56.0,60,1:291:29,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
11,12,10,▼2,14,JUNGELS Bob,24,Quick-Step Floors,48.0,55,1:351:35,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
12,13,13,-,153,EIKING Odd Christian,22,FDJ,40.0,50,2:462:46,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
13,14,14,-,46,IZAGIRRE Gorka,29,Movistar Team,32.0,45,2:562:56,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
14,15,15,-,3,DE CLERCQ Bart,30,Lotto Soudal,28.0,40,3:013:01,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
15,16,17,▲1,4,MARCZYŃSKI Tomasz,33,Lotto Soudal,24.0,36,3:323:32,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
16,17,16,▼1,142,CONTI Valerio,24,UAE Team Emirates,24.0,32,3:473:47,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
17,18,18,-,163,SÁNCHEZ Luis León,33,Astana Pro Team,24.0,28,3:523:52,..,Tour_de_Pologne,GC,04 August 2017,-,0,0 km,38
