,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,74,EVENEPOEL Remco,20,Deceuninck - Quick Step,400.0,250,21:29:50,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
1,2,22,FUGLSANG Jakob,35,Astana Pro Team,320.0,190,1:521:52,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
2,3,116,YATES Simon,28,Mitchelton-Scott,260.0,160,2:282:28,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
3,4,44,MAJKA Rafał,30,BORA - hansgrohe,220.0,140,2:322:32,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
4,5,187,ULISSI Diego,31,UAE-Team Emirates,180.0,120,3:093:09,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
5,6,54,MAŁECKI Kamil,24,CCC Team,140.0,110,3:123:12,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
6,7,165,KELDERMAN Wilco,29,Team Sunweb,120.0,100,3:153:15,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
7,8,155,VINGEGAARD Jonas,23,Team Jumbo-Visma,100.0,90,3:183:18,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
8,9,115,NIEVE Mikel,36,Mitchelton-Scott,80.0,80,",,3:18",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
9,10,181,COSTA Rui,33,UAE-Team Emirates,68.0,70,3:193:19,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
10,11,112,CHAVES Esteban,30,Mitchelton-Scott,56.0,60,",,3:19",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
11,12,148,WELLENS Tim,29,Lotto Soudal,48.0,55,",,3:19",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
12,13,45,SCHACHMANN Maximilian,26,BORA - hansgrohe,40.0,50,",,3:19",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
13,14,164,HINDLEY Jai,24,Team Sunweb,32.0,45,",,3:19",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
14,15,94,MOLARD Rudy,30,Groupama - FDJ,28.0,40,3:273:27,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
15,16,175,SIMMONS Quinn,19,Trek - Segafredo,24.0,36,4:094:09,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
16,17,163,HAMILTON Chris,25,Team Sunweb,24.0,32,4:154:15,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
17,18,64,HANSEN Jesper,29,"Cofidis, Solutions Crédits",24.0,28,4:534:53,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
18,19,152,FOSS Tobias,23,Team Jumbo-Visma,24.0,24,6:186:18,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
19,20,26,IZAGIRRE Ion,31,Astana Pro Team,24.0,20,",,6:18",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
20,21,43,KONRAD Patrick,28,BORA - hansgrohe,16.0,18,7:247:24,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
21,22,87,WHELAN James,24,EF Pro Cycling,16.0,16,7:507:50,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
22,23,52,GESCHKE Simon,34,CCC Team,16.0,14,8:238:23,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
23,24,25,HOULE Hugo,29,Astana Pro Team,16.0,12,8:528:52,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
24,25,83,POWLESS Neilson,23,EF Pro Cycling,16.0,10,",,8:52",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
25,26,4,DUNBAR Eddie,23,Team INEOS,16.0,9,",,8:52",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
26,27,56,VALTER Attila,22,CCC Team,16.0,8,8:548:54,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
27,28,191,CHERNETSKI Sergei,30,Gazprom - RusVelo,16.0,7,",,8:54",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
28,29,166,PEDERSEN Casper,24,Team Sunweb,16.0,6,",,8:54",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
29,30,141,CRAS Steff,24,Lotto Soudal,16.0,5,",,8:54",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
30,31,214,BROŻYNA Piotr,25,Poland,8.0,5,",,8:54",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
31,32,57,ZAKARIN Ilnur,30,CCC Team,8.0,5,",,8:54",..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
32,33,65,HERRADA José,34,"Cofidis, Solutions Crédits",8.0,5,9:029:02,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
33,34,95,ROUX Anthony,33,Groupama - FDJ,8.0,5,9:349:34,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
34,35,35,POELS Wout,32,Bahrain - McLaren,8.0,5,9:579:57,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
35,36,11,BOUCHARD Geoffrey,28,AG2R La Mondiale,8.0,5,10:0010:00,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
36,37,122,ERVITI Imanol,36,Movistar Team,8.0,5,10:1810:18,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
37,38,13,GASTAUER Ben,32,AG2R La Mondiale,8.0,5,10:3910:39,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
38,39,27,NATAROV Yuriy,23,Astana Pro Team,8.0,5,10:5310:53,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
39,40,105,PICCOLI James,28,Israel Start-Up Nation,8.0,5,13:0413:04,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
40,41,102,BIERMANS Jenthe,24,Israel Start-Up Nation,8.0,5,13:1313:13,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
41,42,104,CATAFORD Alexander,26,Israel Start-Up Nation,8.0,5,13:1913:19,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
42,43,123,MAS Lluís,30,Movistar Team,8.0,5,13:2113:21,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
43,44,92,LE GAC Olivier,26,Groupama - FDJ,8.0,5,13:3613:36,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
44,45,97,THOMAS Benjamin,24,Groupama - FDJ,8.0,5,13:3813:38,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
45,46,167,STORK Florian,23,Team Sunweb,8.0,5,13:4113:41,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
46,47,3,DOULL Owain,27,Team INEOS,8.0,5,13:5713:57,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
47,48,176,STUYVEN Jasper,28,Trek - Segafredo,8.0,5,14:1614:16,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
48,49,195,ROVNY Ivan,32,Gazprom - RusVelo,8.0,5,14:5914:59,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
49,50,194,NYCH Artem,25,Gazprom - RusVelo,8.0,5,15:0815:08,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
50,51,62,CLAEYS Dimitri,33,"Cofidis, Solutions Crédits",4.0,5,16:2016:20,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
51,52,121,ARCAS Jorge,28,Movistar Team,4.0,5,16:3716:37,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
52,53,182,MCNULTY Brandon,22,UAE-Team Emirates,4.0,5,16:4416:44,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
53,54,131,BATTISTELLA Samuele,21,NTT Pro Cycling,4.0,5,16:4616:46,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
54,55,135,KING Ben,31,NTT Pro Cycling,4.0,5,17:5117:51,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
55,56,114,MEZGEC Luka,32,Mitchelton-Scott,2.0,5,19:0219:02,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
56,57,63,HAAS Nathan,31,"Cofidis, Solutions Crédits",2.0,5,19:5519:55,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
57,58,153,HARPER Chris,25,Team Jumbo-Visma,2.0,5,20:5820:58,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
58,59,192,CHERKASOV Nikolay,23,Gazprom - RusVelo,2.0,5,21:1621:16,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
59,60,133,GASPAROTTO Enrico,38,NTT Pro Cycling,2.0,5,21:4721:47,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
60,61,34,PADUN Mark,24,Bahrain - McLaren,,5,22:2322:23,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
61,62,177,THEUNS Edward,29,Trek - Segafredo,,5,22:3722:37,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
62,63,6,ROWE Luke,30,Team INEOS,,5,22:4022:40,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
63,64,154,PFINGSTEN Christoph,32,Team Jumbo-Visma,,5,22:4122:41,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
64,65,186,PHILIPSEN Jasper,22,UAE-Team Emirates,,5,22:5722:57,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
65,66,15,GOUGEARD Alexis,27,AG2R La Mondiale,,5,23:0423:04,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
66,67,213,BERNAS Paweł,30,Poland,,5,23:3323:33,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
67,68,73,DEVENYNS Dries,37,Deceuninck - Quick Step,,5,23:5223:52,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
68,69,12,DOMONT Axel,30,AG2R La Mondiale,,5,24:2024:20,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
69,70,77,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,,5,24:3924:39,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
70,71,193,NEKRASOV Denis,23,Gazprom - RusVelo,,5,24:5024:50,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
71,72,71,BALLERINI Davide,25,Deceuninck - Quick Step,,5,25:3225:32,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
72,73,14,GODON Dorian,24,AG2R La Mondiale,,5,25:4625:46,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
73,74,93,LIENHARD Fabian,26,Groupama - FDJ,,5,26:0126:01,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
74,75,67,VERMOTE Julien,31,"Cofidis, Solutions Crédits",,5,26:2426:24,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
75,76,5,GOŁAŚ Michał,36,Team INEOS,,5,26:3226:32,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
76,77,72,CATTANEO Mattia,29,Deceuninck - Quick Step,,5,26:4526:45,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
77,78,2,DENNIS Rohan,30,Team INEOS,,5,26:5726:57,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
78,79,23,GREGAARD Jonas,24,Astana Pro Team,,5,26:5826:58,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
79,80,157,VAN DER HOORN Taco,26,Team Jumbo-Visma,,5,27:2527:25,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
80,81,206,PLANET Charles,26,Team Novo Nordisk,,5,27:5527:55,..,Tour_de_Pologne,GC,09 August 2020,-,0,0 km,15
