,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,148,WELLENS Tim,25,Lotto Soudal,400.0,225,23:47:23,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
1,2,4,▲2,66,FELLINE Fabio,26,Trek - Segafredo,320.0,150,4:224:22,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
2,3,5,▲2,46,BETTIOL Alberto,22,Cannondale-Drapac Pro Cycling Team,260.0,110,4:544:54,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
3,4,2,▼2,44,FORMOLO Davide,23,Cannondale-Drapac Pro Cycling Team,220.0,90,5:065:06,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
4,5,3,▼2,141,BENOOT Tiesj,22,Lotto Soudal,180.0,80,5:225:22,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
5,6,8,▲2,14,FERNÁNDEZ Rubén,25,Movistar Team,140.0,70,5:455:45,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
6,7,7,-,168,WARBASSE Larry,26,IAM Cycling,120.0,60,5:475:47,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
7,8,6,▼2,38,ZEITS Andrey,29,Astana Pro Team,100.0,50,6:086:08,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
8,9,9,-,33,CATALDO Dario,31,Astana Pro Team,80.0,46,6:206:20,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
9,10,10,-,47,VILLELLA Davide,25,Cannondale-Drapac Pro Cycling Team,68.0,42,8:018:01,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
10,11,12,▲1,143,DE CLERCQ Bart,29,Lotto Soudal,56.0,38,8:168:16,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
11,12,11,▼1,2,HANSEN Jesper,25,Tinkoff,48.0,34,",,8:16",..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
12,13,14,▲1,244,MAESTRI Mirco,24,Bardiani - CSF,40.0,30,9:139:13,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
13,14,13,▼1,124,MAMYKIN Matvey,21,Team Katusha,32.0,26,9:289:28,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
14,15,16,▲1,94,HERMANS Ben,30,BMC Racing Team,28.0,22,9:399:39,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
15,16,15,▼1,92,GILBERT Philippe,34,BMC Racing Team,24.0,20,10:1010:10,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
16,17,19,▲2,12,CASTROVIEJO Jonathan,29,Movistar Team,24.0,18,10:5810:58,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
17,18,17,▼1,145,MONFORT Maxime,33,Lotto Soudal,24.0,17,12:2512:25,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
18,19,18,▼1,183,CIEŚLIK Paweł,30,VERVA ActiveJet Pro Cycling Team,24.0,16,13:1913:19,..,Tour_de_Pologne,GC,18 July 2016,-,0,0 km,31
