,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,39.0,+3:42,51,KÜNG Stefan,25,Groupama - FDJ,60.0,50.0,4:10:59,Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
1,2,113.0,+23:49,74,BENNETT Sam,28,BORA - hansgrohe,25.0,30.0,0:590:59,Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
2,3,40.0,+4:13,111,COLBRELLI Sonny,28,Bahrain Merida,10.0,18.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
3,4,110.0,+23:48,93,CONSONNI Simone,24,UAE-Team Emirates,,13.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
4,5,109.0,+23:47,41,VIVIANI Elia,30,Deceuninck - Quick Step,,10.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
5,6,20.0,+1:04,151,BEVIN Patrick,28,CCC Team,,7.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
6,7,42.0,+4:54,102,ALBASINI Michael,38,Mitchelton-Scott,,4.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
7,8,91.0,+13:40,164,KUZNETSOV Viacheslav,29,Team Katusha Alpecin,,3.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
8,9,112.0,+23:48,171,NIZZOLO Giacomo,30,Team Dimension Data,,2.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
9,10,75.0,+8:59,187,PASQUALON Andrea,31,Wanty - Gobert Cycling Team,,1.0,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
10,11,114.0,+23:49,85,KRAGH ANDERSEN Asbjørn,27,Team Sunweb,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
11,12,29.0,+1:27,61,KUDUS Merhawi,25,Astana Pro Team,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
12,13,5.0,+0:14,124,BETANCUR Carlos,29,Movistar Team,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
13,14,10.0,+0:19,122,ANACONA Winner,30,Movistar Team,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
14,15,17.0,+0:26,181,MARTIN Guillaume,25,Wanty - Gobert Cycling Team,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
15,16,31.0,+1:50,22,BERNARD Julien,27,Trek - Segafredo,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
16,17,48.0,+5:02,191,THALMANN Roland,25,Swiss Cycling Team,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
17,18,9.0,+0:18,101,HOWSON Damien,26,Mitchelton-Scott,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
18,19,44.0,+5:00,126,PRADES Eduard,31,Movistar Team,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
19,20,3.0,+0:12,54,GAUDU David,22,Groupama - FDJ,,,",,0:59",Tour_de_Romandie,2,02 May 2019,41.692 km/h,34,174.4 km,37
