,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,+0:23,71,PINOT Thibaut,25,FDJ,60.0,50.0,0:20:21,44.55,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
1,2,5,+0:50,171,DUMOULIN Tom,25,Team Giant - Alpecin,25.0,30.0,0:020:02,44.478,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
2,3,62,+11:38,43,JUNGELS Bob,23,Etixx - Quick Step,10.0,18.0,0:090:09,44.224,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
3,4,81,+17:50,21,FROOME Chris,30,Team Sky,,13.0,",,0:09",44.224,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
4,5,27,+3:23,132,COPPEL Jérôme,29,IAM Cycling,,10.0,",,0:09",44.224,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
5,6,1,+0:00,51,QUINTANA Nairo,26,Movistar Team,,7.0,",,0:09",44.224,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
6,7,3,+0:26,8,ZAKARIN Ilnur,26,Team Katusha,,4.0,0:170:17,43.93899999999999,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
7,8,4,+0:29,56,IZAGIRRE Ion,27,Movistar Team,,3.0,0:180:18,43.903,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
8,9,35,+5:02,75,MORABITO Steve,33,FDJ,,2.0,0:220:22,43.762,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
9,10,76,+16:37,13,BOARO Manuele,29,Tinkoff,,1.0,0:250:25,43.656000000000006,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
10,11,9,+1:22,36,VAN GARDEREN Tejay,27,BMC Racing Team,,,",,0:25",43.656000000000006,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
11,12,46,+7:39,74,GENIEZ Alexandre,28,FDJ,,,0:260:26,43.621,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
12,13,77,+16:46,175,LUDVIGSSON Tobias,25,Team Giant - Alpecin,,,0:300:30,43.482,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
13,14,95,+21:21,133,DEVENYNS Dries,32,IAM Cycling,,,0:330:33,43.378,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
14,15,12,+1:25,76,REICHENBACH Sébastien,26,FDJ,,,",,0:33",43.378,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
15,16,75,+15:57,66,IMPEY Daryl,31,Orica GreenEDGE,,,0:360:36,43.273999999999994,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
16,17,7,+1:11,1,ŠPILAK Simon,29,Team Katusha,,,0:380:38,43.206,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
17,18,47,+7:44,125,MOSER Moreno,25,Cannondale Pro Cycling Team,,,",,0:38",43.206,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
18,19,6,+1:06,131,FRANK Mathias,29,IAM Cycling,,,",,0:38",43.206,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
19,20,18,+2:15,65,HOWSON Damien,23,Orica GreenEDGE,,,0:390:39,43.17100000000001,Tour_de_Romandie,3,29 April 2016,44.55 km/h,0,15.11 km,13
