,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,81,ALBASINI Michael,34,Orica GreenEDGE,6.0,50.0,4:14:56,Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
1,2,5.0,+0:24,52,ALAPHILIPPE Julian,22,Etixx - Quick Step,4.0,30.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
2,3,13.0,+0:35,23,CARUSO Damiano,27,BMC Racing Team,2.0,18.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
3,4,32.0,+1:01,131,COSTA Rui,28,Lampre - Merida,1.0,13.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
4,5,73.0,+7:18,83,GERRANS Simon,34,Orica GreenEDGE,1.0,10.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
5,6,44.0,+1:38,155,HAAS Nathan,26,Team Cannondale - Garmin,,7.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
6,7,11.0,+0:34,58,URÁN Rigoberto,28,Etixx - Quick Step,,4.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
7,8,25.0,+1:00,158,NAVARDAUSKAS Ramūnas,27,Team Cannondale - Garmin,,3.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
8,9,77.0,+10:14,146,MEZGEC Luka,26,Team Giant - Alpecin,,2.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
9,10,74.0,+7:23,63,CHERNETSKI Sergei,25,Team Katusha,,1.0,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
10,11,18.0,+0:38,46,PANTANO Jarlinson,26,IAM Cycling,,,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
11,12,45.0,+1:42,92,BAKELANTS Jan,29,AG2R La Mondiale,,,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
12,13,52.0,+3:02,127,ROVNY Ivan,27,Tinkoff - Saxo,,,",,0:00",Tour_de_Romandie,3,30 April 2015,40.76 km/h,0,173.2 km,15
