,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,ZABRISKIE David,32,Team Garmin - Cervélo,6.0,50.0,0:27:57,44.007,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
1,2,,,0,PORTE Richie,26,Saxo Bank - Sungard,4.0,30.0,0:020:02,43.955,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
2,3,,,0,WESTRA Lieuwe,28,Vacansoleil - DCM,2.0,18.0,0:140:14,43.643,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
3,4,,,0,WIGGINS Bradley,31,Sky Procycling,1.0,13.0,0:180:18,43.54,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
4,5,,,0,MARTIN Tony,26,HTC - High Road,1.0,10.0,0:270:27,43.31,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
5,6,,,0,TALANSKY Andrew,22,Team Garmin - Cervélo,,7.0,0:420:42,42.931999999999995,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
6,7,,,0,KRUIJSWIJK Steven,23,Rabobank Cycling Team,,4.0,0:430:43,42.907,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
7,8,,,0,EVANS Cadel,34,BMC Racing Team,,3.0,0:450:45,42.857,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
8,9,,,0,CASTROVIEJO Jonathan,24,Euskaltel - Euskadi,,2.0,0:480:48,42.783,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
9,10,,,0,GERDEMANN Linus,28,Leopard Trek,,1.0,0:540:54,42.63399999999999,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
10,11,,,0,LELAY David,31,AG2R La Mondiale,,,0:570:57,42.56100000000001,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
11,12,,,0,CLEMENT Stef,28,Rabobank Cycling Team,,,1:001:00,42.486999999999995,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
12,13,,,0,KARPETS Vladimir,30,Team Katusha,,,1:021:02,42.438,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
13,14,,,0,PINOTTI Marco,35,HTC - High Road,,,1:031:03,42.413999999999994,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
14,15,,,0,KERN Christophe,30,Team Europcar,,,",,1:03",42.413999999999994,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
15,16,,,0,KREUZIGER Roman,24,Pro Team Astana,,,",,1:03",42.413999999999994,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
16,17,,,0,PERAUD Jean-Christophe,33,AG2R La Mondiale,,,1:061:06,42.341,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
17,18,,,0,MILLAR David,34,Team Garmin - Cervélo,,,1:071:07,42.317,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
18,19,,,0,MEYER Cameron,23,Team Garmin - Cervélo,,,",,1:07",42.317,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
19,20,,,0,PLIUȘCHIN Alexandr,24,Team Katusha,,,1:091:09,42.268,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
20,21,,,0,DE CLERCQ Bart,24,Omega Pharma-Lotto,,,1:131:13,42.17100000000001,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
21,22,,,0,VINOKOUROV Alexandre,37,Pro Team Astana,,,1:141:14,42.147,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
22,23,,,0,OVECHKIN Artem,24,Team Katusha,,,1:151:15,42.123000000000005,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
23,24,,,0,INTXAUSTI Beñat,25,Movistar Team,,,1:171:17,42.075,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
24,25,,,0,VAN DE WALLE Jurgen,34,Omega Pharma-Lotto,,,1:191:19,42.027,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
25,26,,,0,MURAVYEV Dmitriy,31,RadioShack,,,",,1:19",42.027,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
26,27,,,0,HERRADA Jesús,20,Movistar Team,,,1:201:20,42.003,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
27,28,,,0,BRAJKOVIČ Janez,27,RadioShack,,,1:211:21,41.98,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
28,29,,,0,DE WEERT Kevin,28,Quickstep Cycling Team,,,1:231:23,41.931999999999995,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
29,30,,,0,SIUTSOU Kanstantsin,28,HTC - High Road,,,",,1:23",41.931999999999995,Tour_de_Romandie,5,30 April 2011,44.007 km/h,0,20.5 km,24
