,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,30.0,+9:09,51,MARTIN Tony,30,Etixx - Quick Step,6.0,50.0,0:23:17,44.581,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
1,2,2.0,+0:17,61,ŠPILAK Simon,28,Team Katusha,4.0,30.0,0:110:11,44.233000000000004,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
2,3,1.0,+0:00,68,ZAKARIN Ilnur,25,Team Katusha,2.0,18.0,0:130:13,44.17,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
3,4,14.0,+2:39,101,VAN DEN BROECK Jurgen,32,Lotto Soudal,1.0,13.0,0:190:19,43.983000000000004,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
4,5,38.0,+10:40,21,DENNIS Rohan,24,BMC Racing Team,1.0,10.0,0:220:22,43.89,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
5,6,9.0,+1:43,93,BARDET Romain,24,AG2R La Mondiale,,7.0,0:240:24,43.828,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
6,7,35.0,+10:07,35,CASTROVIEJO Jonathan,28,Movistar Team,,4.0,0:250:25,43.797,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
7,8,32.0,+9:26,43,CLEMENT Stef,32,IAM Cycling,,3.0,0:260:26,43.766999999999996,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
8,9,7.0,+1:24,121,MAJKA Rafał,25,Tinkoff - Saxo,,2.0,0:280:28,43.705,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
9,10,16.0,+3:00,74,MORABITO Steve,32,FDJ,,1.0,0:310:31,43.613,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
10,11,5.0,+1:20,58,URÁN Rigoberto,28,Etixx - Quick Step,,,0:320:32,43.583,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
11,12,6.0,+1:21,88,YATES Simon,22,Orica GreenEDGE,,,0:330:33,43.552,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
12,13,3.0,+0:35,1,FROOME Chris,29,Team Sky,,,0:340:34,43.522,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
13,14,17.0,+3:03,12,FUGLSANG Jakob,30,Astana Pro Team,,,0:390:39,43.37,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
14,15,72.0,+35:57,25,KÜNG Stefan,21,BMC Racing Team,,,0:430:43,43.25,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
15,16,36.0,+10:20,32,AMADOR Andrey,28,Movistar Team,,,0:510:51,43.011,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
16,17,19.0,+3:25,106,MONFORT Maxime,32,Lotto Soudal,,,",,0:51",43.011,Tour_de_Romandie,6,03 May 2015,44.58 km/h,0,17.3 km,15
