,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,EVANS Cadel,34,BMC Racing Team,100.0,250,16:51:49,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
1,2,0,MARTIN Tony,26,HTC - High Road,80.0,190,0:180:18,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
2,3,0,VINOKOUROV Alexandre,37,Pro Team Astana,70.0,160,0:190:19,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
3,4,0,PINOTTI Marco,35,HTC - High Road,60.0,140,0:310:31,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
4,5,0,INTXAUSTI Beñat,25,Movistar Team,50.0,120,0:410:41,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
5,6,0,WEENING Pieter,30,Rabobank Cycling Team,40.0,110,0:510:51,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
6,7,0,BRAJKOVIČ Janez,27,RadioShack,30.0,100,0:520:52,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
7,8,0,BRUTT Pavel,29,Team Katusha,20.0,90,0:580:58,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
8,9,0,TALANSKY Andrew,22,Team Garmin - Cervélo,10.0,80,0:590:59,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
9,10,0,MILLAR David,34,Team Garmin - Cervélo,4.0,70,1:001:00,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
10,11,0,GERDEMANN Linus,28,Leopard Trek,,60,1:061:06,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
11,12,0,LÓPEZ David,29,Movistar Team,,55,1:091:09,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
12,13,0,MORABITO Steve,28,BMC Racing Team,,50,1:111:11,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
13,14,0,MENCHOV Denis,33,Geox-TMC Transformers,,45,1:161:16,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
14,15,0,FROOME Chris,25,Sky Procycling,,40,1:181:18,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
15,16,0,CUNEGO Damiano,29,Lampre - ISD,,36,1:201:20,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
16,17,0,VERDUGO Gorka,32,Euskaltel - Euskadi,,32,",,1:20",..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
17,18,0,COSTA Rui,24,Movistar Team,,28,1:221:22,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
18,19,0,WYSS Marcel,24,Geox-TMC Transformers,,24,1:241:24,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
19,20,0,DANIELSON Tom,33,Team Garmin - Cervélo,,20,",,1:24",..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
20,21,0,ŠPILAK Simon,24,Lampre - ISD,,18,1:301:30,..,Tour_de_Romandie,GC,01 May 2011,-,0,0 km,24
