,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,68,ZAKARIN Ilnur,25,Team Katusha,100.0,250,18:36:30,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
1,2,4,▲2,61,ŠPILAK Simon,28,Team Katusha,80.0,190,0:170:17,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
2,3,3,-,1,FROOME Chris,29,Team Sky,70.0,160,0:350:35,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
3,4,2,▼2,71,PINOT Thibaut,24,FDJ,60.0,140,0:490:49,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
4,5,6,▲1,58,URÁN Rigoberto,28,Etixx - Quick Step,50.0,120,1:201:20,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
5,6,7,▲1,88,YATES Simon,22,Orica GreenEDGE,40.0,110,1:211:21,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
6,7,11,▲4,121,MAJKA Rafał,25,Tinkoff - Saxo,30.0,100,1:241:24,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
7,8,5,▼3,31,QUINTANA Nairo,25,Movistar Team,20.0,90,1:421:42,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
8,9,14,▲5,93,BARDET Romain,24,AG2R La Mondiale,10.0,80,1:431:43,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
9,10,8,▼2,11,NIBALI Vincenzo,30,Astana Pro Team,4.0,70,1:541:54,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
10,11,9,▼2,14,SCARPONI Michele,35,Astana Pro Team,,60,2:022:02,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
11,12,13,▲1,41,FRANK Mathias,28,IAM Cycling,,55,2:132:13,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
12,13,10,▼3,66,TROFIMOV Yuri,31,Team Katusha,,50,2:202:20,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
13,14,17,▲3,101,VAN DEN BROECK Jurgen,32,Lotto Soudal,,45,2:392:39,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
14,15,15,-,161,GESINK Robert,28,Team LottoNL-Jumbo,,40,2:432:43,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
15,16,19,▲3,74,MORABITO Steve,32,FDJ,,36,3:003:00,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
16,17,18,▲1,12,FUGLSANG Jakob,30,Astana Pro Team,,32,3:033:03,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
17,18,12,▼6,22,ATAPUMA Darwin,27,BMC Racing Team,,28,3:123:12,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
18,19,20,▲1,106,MONFORT Maxime,32,Lotto Soudal,,24,3:253:25,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
19,20,16,▼4,154,DANIELSON Tom,37,Team Cannondale - Garmin,,20,3:343:34,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
20,21,22,▲1,124,KIŠERLOVSKI Robert,28,Tinkoff - Saxo,,18,4:514:51,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
21,22,21,▼1,86,SANTAROMITA Ivan,31,Orica GreenEDGE,,16,5:055:05,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
22,23,23,-,177,SICARD Romain,27,Team Europcar,,14,5:225:22,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
23,24,25,▲1,151,HESJEDAL Ryder,34,Team Cannondale - Garmin,,12,5:385:38,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
24,25,27,▲2,131,COSTA Rui,28,Lampre - Merida,,10,5:485:48,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
25,26,28,▲2,46,PANTANO Jarlinson,26,IAM Cycling,,9,6:156:15,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
26,27,24,▼3,23,CARUSO Damiano,27,BMC Racing Team,,8,6:206:20,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
27,28,26,▼2,33,ANACONA Winner,26,Movistar Team,,7,6:276:27,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
28,29,30,▲1,48,WYSS Marcel,28,IAM Cycling,,6,8:418:41,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
29,30,35,▲5,51,MARTIN Tony,30,Etixx - Quick Step,,5,9:099:09,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
30,31,32,▲1,91,PERAUD Jean-Christophe,37,AG2R La Mondiale,,5,9:219:21,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
31,32,34,▲2,43,CLEMENT Stef,32,IAM Cycling,,5,9:269:26,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
32,33,29,▼4,171,ROLLAND Pierre,28,Team Europcar,,5,9:279:27,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
33,34,31,▼3,138,ULISSI Diego,25,Lampre - Merida,,5,9:329:32,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
34,35,38,▲3,35,CASTROVIEJO Jonathan,28,Movistar Team,,5,10:0710:07,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
35,36,37,▲1,32,AMADOR Andrey,28,Movistar Team,,5,10:2010:20,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
36,37,33,▼4,111,ZOIDL Riccardo,27,Trek Factory Racing,,5,10:3010:30,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
37,38,41,▲3,21,DENNIS Rohan,24,BMC Racing Team,,5,10:4010:40,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
38,39,36,▼3,126,POLJAŃSKI Paweł,24,Tinkoff - Saxo,,5,11:0411:04,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
39,40,40,-,92,BAKELANTS Jan,29,AG2R La Mondiale,,5,11:2811:28,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
40,41,39,▼2,65,SILIN Egor,26,Team Katusha,,5,12:0912:09,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
41,42,42,-,54,DE LA CRUZ David,25,Etixx - Quick Step,,5,12:5512:55,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
42,43,43,-,128,SØRENSEN Chris Anker,30,Tinkoff - Saxo,,5,13:2313:23,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
43,44,44,-,64,KOCHETKOV Pavel,29,Team Katusha,,5,13:4913:49,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
44,45,45,-,53,BOUET Maxime,28,Etixx - Quick Step,,5,13:5413:54,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
45,46,46,-,96,CHEREL Mikaël,29,AG2R La Mondiale,,5,15:1215:12,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
46,47,49,▲2,104,DE CLERCQ Bart,28,Lotto Soudal,,5,15:2715:27,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
47,48,48,-,34,CAPECCHI Eros,28,Movistar Team,,5,16:4016:40,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
48,49,47,▼2,153,CARDOSO André,30,Team Cannondale - Garmin,,5,17:0217:02,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
49,50,50,-,127,ROVNY Ivan,27,Tinkoff - Saxo,,5,18:2818:28,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
50,51,52,▲1,135,NIEMIEC Przemysław,35,Lampre - Merida,,5,19:3319:33,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
51,52,51,▼1,174,JEANDESBOZ Fabrice,30,Team Europcar,,5,20:0820:08,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
52,53,57,▲4,4,ROCHE Nicolas,30,Team Sky,,5,21:2321:23,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
53,54,56,▲2,122,HANSEN Jesper,24,Tinkoff - Saxo,,5,21:5521:55,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
54,55,58,▲3,26,MOINARD Amaël,33,BMC Racing Team,,5,22:4422:44,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
55,56,54,▼2,137,SERPA José Rodolfo,36,Lampre - Merida,,5,23:0623:06,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
56,57,61,▲4,72,GENIEZ Alexandre,27,FDJ,,5,23:2723:27,..,Tour_de_Romandie,GC,03 May 2015,-,0,0 km,15
