,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,121,ROGLIČ Primož,28,Team LottoNL-Jumbo,500.0,250.0,17:09:00,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
1,2,92,BERNAL Egan,21,Team Sky,400.0,190.0,0:080:08,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
2,3,1,PORTE Richie,33,BMC Racing Team,325.0,160.0,0:350:35,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
3,4,71,FUGLSANG Jakob,33,Astana Pro Team,275.0,140.0,1:161:16,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
4,5,146,COSTA Rui,31,UAE-Team Emirates,225.0,120.0,1:231:23,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
5,6,124,KRUIJSWIJK Steven,30,Team LottoNL-Jumbo,175.0,110.0,2:322:32,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
6,7,6,DENNIS Rohan,27,BMC Racing Team,150.0,100.0,2:492:49,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
7,8,87,LATOUR Pierre,24,AG2R La Mondiale,125.0,90.0,",,2:49",..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
8,9,31,BUCHMANN Emanuel,25,BORA - hansgrohe,100.0,80.0,3:093:09,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
9,10,141,MARTIN Dan,31,UAE-Team Emirates,85.0,70.0,3:123:12,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
10,11,51,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,70.0,60.0,3:223:22,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
11,12,116,MARTÍNEZ Daniel Felipe,22,Team EF Education First-Drapac p/b Cannondale,60.0,55.0,3:343:34,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
12,13,93,CASTROVIEJO Jonathan,31,Team Sky,50.0,50.0,3:373:37,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
13,14,57,PERNSTEINER Hermann,27,Bahrain Merida Pro Cycling Team,40.0,45.0,4:054:05,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
14,15,145,ĐURASEK Kristijan,30,UAE-Team Emirates,,,4:064:06,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
15,16,27,NIEVE Mikel,33,Mitchelton-Scott,30.0,36.0,4:074:07,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
16,17,47,SEPÚLVEDA Eduardo,26,Movistar Team,30.0,32.0,4:114:11,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
17,18,46,ROSÓN Jaime,25,Movistar Team,,,4:154:15,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
18,19,75,HANSEN Jesper,27,Astana Pro Team,30.0,24.0,4:184:18,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
19,20,156,GAUDU David,21,Groupama - FDJ,30.0,20.0,4:364:36,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
20,21,77,KANGERT Tanel,31,Astana Pro Team,20.0,18.0,4:374:37,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
21,22,54,IZAGIRRE Gorka,30,Bahrain Merida Pro Cycling Team,20.0,16.0,4:474:47,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
22,23,81,FRANK Mathias,31,AG2R La Mondiale,20.0,14.0,4:504:50,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
23,24,101,GRMAY Tsgabu,26,Trek - Segafredo,20.0,12.0,4:544:54,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
24,25,117,ROLLAND Pierre,31,Team EF Education First-Drapac p/b Cannondale,20.0,10.0,5:205:20,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
25,26,165,KUDUS Merhawi,24,Team Dimension Data,20.0,9.0,5:215:21,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
26,27,181,MARTIN Guillaume,24,Wanty - Groupe Gobert,20.0,8.0,5:535:53,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
27,28,22,HAMILTON Lucas,22,Mitchelton-Scott,20.0,7.0,6:046:04,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
28,29,151,MOLARD Rudy,28,Groupama - FDJ,20.0,6.0,6:066:06,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
29,30,171,ŠPILAK Simon,31,Team Katusha Alpecin,20.0,5.0,6:486:48,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
30,31,64,ARMÉE Sander,32,Lotto Soudal,10.0,5.0,6:536:53,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
31,32,24,POWER Robert,22,Mitchelton-Scott,10.0,5.0,7:217:21,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
32,33,91,THOMAS Geraint,31,Team Sky,10.0,5.0,7:227:22,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
33,34,164,GHEBREIGZABHIER Amanuel,23,Team Dimension Data,10.0,5.0,7:437:43,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
34,35,42,ANACONA Winner,29,Movistar Team,10.0,5.0,7:517:51,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
35,36,136,TEN DAM Laurens,37,Team Sunweb,10.0,5.0,11:0311:03,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
36,37,182,DEGAND Thomas,31,Wanty - Groupe Gobert,10.0,5.0,11:1411:14,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
37,38,144,ATAPUMA Darwin,30,UAE-Team Emirates,10.0,5.0,11:1511:15,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
38,39,112,BROWN Nathan,26,Team EF Education First-Drapac p/b Cannondale,10.0,5.0,11:4711:47,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
39,40,41,AMADOR Andrey,31,Movistar Team,10.0,5.0,11:5711:57,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
40,41,142,AÏT EL ABDIA Anass,25,UAE-Team Emirates,10.0,5.0,12:3312:33,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
41,42,26,VERONA Carlos,25,Mitchelton-Scott,10.0,5.0,12:5612:56,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
42,43,12,CAPECCHI Eros,31,Quick-Step Floors,10.0,5.0,13:0713:07,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
43,44,23,HOWSON Damien,25,Mitchelton-Scott,10.0,5.0,13:2613:26,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
44,45,7,VAN GARDEREN Tejay,29,BMC Racing Team,10.0,5.0,14:1814:18,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
45,46,103,BERNARD Julien,26,Trek - Segafredo,10.0,5.0,14:2414:24,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
46,47,111,CARTHY Hugh,23,Team EF Education First-Drapac p/b Cannondale,10.0,5.0,14:3914:39,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
47,48,84,DOMONT Axel,27,AG2R La Mondiale,10.0,5.0,14:4614:46,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
48,49,61,DE GENDT Thomas,31,Lotto Soudal,10.0,5.0,15:3215:32,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
49,50,186,MEURISSE Xandro,26,Wanty - Groupe Gobert,10.0,5.0,15:3915:39,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
50,51,174,FABBRO Matteo,23,Team Katusha Alpecin,5.0,5.0,",,15:39",..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
51,52,176,KOCHETKOV Pavel,32,Team Katusha Alpecin,5.0,5.0,16:4216:42,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
52,53,95,SIVAKOV Pavel,20,Team Sky,5.0,5.0,17:1717:17,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
53,54,76,HOULE Hugo,27,Astana Pro Team,5.0,5.0,18:1318:13,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
54,55,35,POLJAŃSKI Paweł,27,BORA - hansgrohe,5.0,5.0,19:0619:06,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
55,56,3,WYSS Danilo,32,BMC Racing Team,3.0,5.0,19:0819:08,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
56,57,115,DOMBROWSKI Joe,26,Team EF Education First-Drapac p/b Cannondale,3.0,5.0,20:3820:38,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
57,58,2,ROSSKOPF Joey,28,BMC Racing Team,3.0,5.0,21:2321:23,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
58,59,44,QUINTANA Dayer,25,Movistar Team,3.0,5.0,23:3323:33,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
59,60,62,KEUKELEIRE Jens,29,Lotto Soudal,3.0,5.0,23:3623:36,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
60,61,53,GASPAROTTO Enrico,36,Bahrain Merida Pro Cycling Team,,5.0,24:3024:30,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
61,62,157,LUDVIGSSON Tobias,27,Groupama - FDJ,,5.0,24:5024:50,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
62,63,123,CLEMENT Stef,35,Team LottoNL-Jumbo,,5.0,25:0625:06,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
63,64,67,MERTZ Rémy,22,Lotto Soudal,,5.0,25:4625:46,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
64,65,175,GONÇALVES José,29,Team Katusha Alpecin,,5.0,26:1326:13,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
65,66,183,DOUBEY Fabien,24,Wanty - Groupe Gobert,,5.0,27:1727:17,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
66,67,105,CONCI Nicola,21,Trek - Segafredo,,5.0,27:3927:39,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
67,68,4,FRANKINY Kilian,24,BMC Racing Team,,5.0,27:4427:44,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
68,69,74,GRIVKO Andrey,34,Astana Pro Team,,5.0,27:4827:48,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
69,70,52,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,,5.0,29:4129:41,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
70,71,63,SHAW James,21,Lotto Soudal,,5.0,31:0931:09,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
71,72,113,CANTY Brendan,26,Team EF Education First-Drapac p/b Cannondale,,5.0,31:5631:56,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
72,73,155,DUCHESNE Antoine,26,Groupama - FDJ,,5.0,32:2332:23,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
73,74,153,VINCENT Léo,22,Groupama - FDJ,,5.0,33:1333:13,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
74,75,83,DILLIER Silvan,27,AG2R La Mondiale,,5.0,35:5535:55,..,Tour_de_Romandie,GC,29 April 2018,-,0,0 km,38
