,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2,▲1,27,PORTE Richie,32,BMC Racing Team,500.0,250,17:16:00,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
1,2,1,▼1,36,YATES Simon,24,ORICA-Scott,400.0,190,0:210:21,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
2,3,6,▲3,98,ROGLIČ Primož,27,Team LottoNL-Jumbo,325.0,160,0:260:26,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
3,4,4,-,56,FELLINE Fabio,27,Trek - Segafredo,275.0,140,0:510:51,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
4,5,7,▲2,121,IZAGIRRE Ion,28,Bahrain Merida Pro Cycling Team,225.0,120,1:031:03,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
5,6,14,▲8,26,VAN GARDEREN Tejay,28,BMC Racing Team,175.0,110,1:161:16,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
6,7,11,▲4,78,KELDERMAN Wilco,26,Team Sunweb,150.0,100,1:211:21,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
7,8,8,-,15,JUNGELS Bob,24,Quick-Step Floors,125.0,90,1:221:22,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
8,9,5,▼4,3,HERRADA Jesús,26,Movistar Team,100.0,80,",,1:22",..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
9,10,3,▼7,67,BUCHMANN Emanuel,24,BORA - hansgrohe,85.0,70,1:241:24,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
10,11,10,▼1,34,HOWSON Damien,24,ORICA-Scott,70.0,60,1:281:28,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
11,12,23,▲11,8,CASTROVIEJO Jonathan,30,Movistar Team,60.0,55,1:301:30,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
12,13,9,▼4,158,ULISSI Diego,27,UAE Team Emirates,50.0,50,1:401:40,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
13,14,17,▲3,138,LATOUR Pierre,23,AG2R La Mondiale,40.0,45,1:441:44,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
14,15,26,▲11,107,ZAKARIN Ilnur,27,Team Katusha Alpecin,35.0,40,1:451:45,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
15,16,12,▼4,13,DE LA CRUZ David,27,Quick-Step Floors,30.0,36,1:461:46,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
16,17,38,▲21,7,AMADOR Andrey,30,Movistar Team,30.0,32,1:541:54,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
17,18,33,▲15,48,FROOME Chris,31,Team Sky,30.0,28,1:551:55,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
18,19,31,▲12,12,SCHACHMANN Maximilian,23,Quick-Step Floors,30.0,24,1:581:58,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
19,20,13,▼7,153,MEINTJES Louis,25,UAE Team Emirates,30.0,20,2:092:09,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
20,21,19,▼2,81,URÁN Rigoberto,30,Cannondale-Drapac Pro Cycling Team,20.0,18,2:202:20,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
21,22,22,-,32,HAIG Jack,23,ORICA-Scott,20.0,16,",,2:20",..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
22,23,21,▼2,177,BERHANE Natnael,26,Team Dimension Data,20.0,14,2:232:23,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
23,24,20,▼4,168,BILBAO Pello,27,Astana Pro Team,20.0,12,2:272:27,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
24,25,35,▲10,2,FERNÁNDEZ Rubén,26,Movistar Team,20.0,10,2:292:29,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
25,26,27,▲1,96,GESINK Robert,30,Team LottoNL-Jumbo,20.0,9,2:302:30,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
26,27,24,▼3,137,VUILLERMOZ Alexis,28,AG2R La Mondiale,20.0,8,2:342:34,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
27,28,34,▲6,103,GONÇALVES José,28,Team Katusha Alpecin,20.0,7,2:362:36,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
28,29,16,▼13,51,PANTANO Jarlinson,28,Trek - Segafredo,20.0,6,",,2:36",..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
29,30,30,-,108,ŠPILAK Simon,30,Team Katusha Alpecin,20.0,5,2:372:37,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
30,31,40,▲9,118,MONFORT Maxime,34,Lotto Soudal,10.0,5,2:412:41,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
31,32,28,▼4,6,ANACONA Winner,28,Movistar Team,10.0,5,2:452:45,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
32,33,37,▲4,131,FRANK Mathias,30,AG2R La Mondiale,10.0,5,2:582:58,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
33,34,41,▲7,187,DEGAND Thomas,30,Wanty - Groupe Gobert,10.0,5,3:053:05,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
34,35,15,▼20,37,KREUZIGER Roman,30,ORICA-Scott,10.0,5,3:083:08,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
35,36,39,▲3,122,GRMAY Tsgabu,25,Bahrain Merida Pro Cycling Team,10.0,5,3:103:10,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
36,37,42,▲5,74,TEN DAM Laurens,36,Team Sunweb,10.0,5,3:163:16,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
37,38,32,▼6,5,CARAPAZ Richard,23,Movistar Team,10.0,5,",,3:16",..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
38,39,18,▼21,142,GAUDU David,20,FDJ,10.0,5,3:183:18,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
39,40,29,▼11,157,AÏT EL ABDIA Anass,24,UAE Team Emirates,10.0,5,3:193:19,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
40,41,43,▲2,161,KANGERT Tanel,30,Astana Pro Team,10.0,5,3:203:20,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
41,42,45,▲3,176,KUDUS Merhawi,23,Team Dimension Data,10.0,5,3:583:58,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
42,43,47,▲4,4,BETANCUR Carlos,27,Movistar Team,10.0,5,4:044:04,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
43,44,36,▼8,182,MARTIN Guillaume,23,Wanty - Groupe Gobert,10.0,5,4:264:26,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
44,45,44,▼1,136,CHEREL Mikaël,31,AG2R La Mondiale,10.0,5,4:394:39,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
45,46,49,▲3,62,POLJAŃSKI Paweł,26,BORA - hansgrohe,10.0,5,4:564:56,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
46,47,46,▼1,111,VAN DER SANDE Tosh,26,Lotto Soudal,10.0,5,5:045:04,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
47,48,48,-,167,CHERNETSKI Sergei,27,Astana Pro Team,10.0,5,5:115:11,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
48,49,50,▲1,88,BROWN Nathan,25,Cannondale-Drapac Pro Cycling Team,10.0,5,5:295:29,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
49,50,51,▲1,163,KOZHATAYEV Bakhtiyar,25,Astana Pro Team,10.0,5,6:206:20,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
50,51,53,▲2,124,BRAJKOVIČ Janez,33,Bahrain Merida Pro Cycling Team,5.0,5,6:596:59,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
51,52,55,▲3,53,STETINA Peter,29,Trek - Segafredo,5.0,5,7:157:15,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
52,53,52,▼1,102,KOCHETKOV Pavel,31,Team Katusha Alpecin,5.0,5,7:187:18,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
53,54,56,▲2,104,LOSADA Alberto,35,Team Katusha Alpecin,5.0,5,7:437:43,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
54,55,58,▲3,68,PFINGSTEN Christoph,29,BORA - hansgrohe,5.0,5,7:497:49,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
55,56,54,▼2,57,CARDOSO André,32,Trek - Segafredo,3.0,5,7:577:57,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
56,57,62,▲5,95,VAN DEN BROECK Jurgen,34,Team LottoNL-Jumbo,3.0,5,8:138:13,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
57,58,57,▼1,155,MORI Manuele,36,UAE Team Emirates,3.0,5,9:149:14,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
58,59,60,▲1,113,SHAW James,20,Lotto Soudal,3.0,5,9:199:19,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
59,60,59,▼1,85,CANTY Brendan,25,Cannondale-Drapac Pro Cycling Team,3.0,5,9:239:23,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
60,61,61,-,23,WYSS Danilo,31,BMC Racing Team,,5,9:309:30,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
61,62,66,▲4,76,HAGA Chad,28,Team Sunweb,,5,9:579:57,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
62,63,63,-,146,COURTEILLE Arnaud,28,FDJ,,5,10:5010:50,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
63,64,65,▲1,21,ROCHE Nicolas,32,BMC Racing Team,,5,11:0211:02,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
64,65,67,▲2,114,ARMÉE Sander,31,Lotto Soudal,,5,12:1912:19,..,Tour_de_Romandie,GC,30 April 2017,-,0,0 km,37
