,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3,+0:05,41,SAGAN Peter,25,Tinkoff - Saxo,6.0,50.0,3:00:35,Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
1,2,2,+0:05,77,MORENO Daniel,33,Team Katusha,4.0,30.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
2,3,5,+0:12,131,PINOT Thibaut,25,FDJ,2.0,18.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
3,4,11,+0:19,12,ARREDONDO Julián David,26,Trek Factory Racing,1.0,13.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
4,5,1,+0:00,85,DUMOULIN Tom,24,Team Giant - Alpecin,1.0,10.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
5,6,4,+0:07,52,THOMAS Geraint,29,Team Sky,,7.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
6,7,6,+0:14,151,FUGLSANG Jakob,30,Astana Pro Team,,4.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
7,8,18,+0:39,102,CHAVES Esteban,25,Orica GreenEDGE,,3.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
8,9,23,+1:19,51,HENAO Sergio,27,Team Sky,,2.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
9,10,20,+1:14,117,ROJAS José Joaquín,30,Movistar Team,,1.0,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
10,11,21,+1:14,163,BAKELANTS Jan,29,AG2R La Mondiale,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
11,12,26,+1:26,175,REBELLIN Davide,43,CCC Sprandi Polkowice,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
12,13,10,+0:19,78,ŠPILAK Simon,28,Team Katusha,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
13,14,17,+0:32,61,GESINK Robert,29,Team LottoNL-Jumbo,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
14,15,14,+0:29,161,POZZOVIVO Domenico,32,AG2R La Mondiale,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
15,16,15,+0:29,26,REICHENBACH Sébastien,26,IAM Cycling,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
16,17,8,+0:18,7,ĐURASEK Kristijan,27,Lampre - Merida,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
17,18,51,+10:17,107,MATTHEWS Michael,24,Orica GreenEDGE,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
18,19,27,+1:26,4,CONTI Valerio,22,Lampre - Merida,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
19,20,13,+0:26,156,LÓPEZ Miguel Ángel,21,Astana Pro Team,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
20,21,24,+1:19,121,VAN DEN BROECK Jurgen,32,Lotto Soudal,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
21,22,9,+0:19,15,JUNGELS Bob,22,Trek Factory Racing,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
22,23,22,+1:17,143,BRAMBILLA Gianluca,27,Etixx - Quick Step,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
23,24,16,+0:32,33,HERMANS Ben,29,BMC Racing Team,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
24,25,32,+2:39,83,BARGUIL Warren,23,Team Giant - Alpecin,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
25,26,7,+0:15,136,MORABITO Steve,32,FDJ,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
26,27,34,+2:43,17,SCHLECK Fränk,35,Trek Factory Racing,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
27,28,19,+1:09,57,SIUTSOU Kanstantsin,32,Team Sky,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
28,29,12,+0:21,111,ANACONA Winner,26,Movistar Team,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
29,30,28,+1:35,65,TEN DAM Laurens,34,Team LottoNL-Jumbo,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
30,31,25,+1:21,46,MAJKA Rafał,25,Tinkoff - Saxo,,,",,0:00",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
31,32,44,+7:36,22,COPPEL Jérôme,28,IAM Cycling,,,0:130:13,Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
32,33,30,+2:32,158,LUTSENKO Alexey,22,Astana Pro Team,,,1:191:19,Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
33,34,31,+2:37,181,GASPAROTTO Enrico,33,Wanty - Groupe Gobert,,,1:221:22,Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
34,35,40,+7:03,104,IMPEY Daryl,30,Orica GreenEDGE,,,",,1:22",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
35,36,42,+7:30,94,DOMBROWSKI Joe,24,Team Cannondale - Garmin,,,",,1:22",Tour_de_Suisse,3,15 June 2015,38.97 km/h,111,117.3 km,13
