,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3,+0:16,171,IZAGIRRE Ion,27,Movistar Team,60.0,50.0,0:21:31,46.847,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
1,2,1,+0:00,151,LÓPEZ Miguel Ángel,22,Astana Pro Team,25.0,30.0,0:180:18,46.203,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
2,3,97,+1:01:39,11,CANCELLARA Fabian,35,Trek - Segafredo,10.0,18.0,0:190:19,46.168,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
3,4,6,+1:21,65,KELDERMAN Wilco,25,Team LottoNL-Jumbo,,13.0,0:210:21,46.098,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
4,5,2,+0:08,91,TALANSKY Andrew,27,Cannondale Pro Cycling Team,,10.0,0:230:23,46.027,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
5,6,49,+42:08,175,CASTROVIEJO Jonathan,29,Movistar Team,,7.0,0:240:24,45.992,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
6,7,5,+0:52,146,PANTANO Jarlinson,27,IAM Cycling,,4.0,0:250:25,45.957,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
7,8,52,+42:57,22,MATTHEWS Michael,25,Orica GreenEDGE,,3.0,",,0:25",45.957,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
8,9,8,+1:30,51,THOMAS Geraint,30,Team Sky,,2.0,0:330:33,45.68,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
9,10,7,+1:26,31,VAN GARDEREN Tejay,27,BMC Racing Team,,1.0,0:340:34,45.645,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
10,11,23,+18:17,185,GROßSCHARTNER Felix,22,CCC Sprandi Polkowice,,,",,0:34",45.645,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
11,12,31,+28:13,63,BOUWMAN Koen,22,Team LottoNL-Jumbo,,,0:420:42,45.371,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
12,13,19,+11:00,55,KIRYIENKA Vasil,34,Team Sky,,,0:430:43,45.336999999999996,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
13,14,140,+1:39:11,42,BODNAR Maciej,31,Tinkoff,,,0:470:47,45.202,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
14,15,12,+5:42,184,DE LA PARTE Víctor,29,CCC Sprandi Polkowice,,,0:490:49,45.13399999999999,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
15,16,45,+41:17,54,KÖNIG Leopold,28,Team Sky,,,0:510:51,45.067,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
16,17,35,+29:46,115,VAKOČ Petr,23,Etixx - Quick Step,,,0:520:52,45.034,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
17,18,96,+1:01:30,142,BRÄNDLE Matthias,26,IAM Cycling,,,0:530:53,45.0,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
18,19,10,+2:09,71,COSTA Rui,29,Lampre - Merida,,,",,0:53",45.0,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
19,20,112,+1:09:14,116,LAMPAERT Yves,25,Etixx - Quick Step,,,0:560:56,44.9,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
20,21,4,+0:18,81,BARGUIL Warren,24,Team Giant - Alpecin,,,0:570:57,44.86600000000001,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
21,22,9,+1:31,1,ŠPILAK Simon,29,Team Katusha,,,1:031:03,44.668,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
22,23,26,+21:11,144,ELMIGER Martin,37,IAM Cycling,,,1:041:04,44.635,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
23,24,84,+58:07,145,HOLLENSTEIN Reto,30,IAM Cycling,,,1:071:07,44.536,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
24,25,94,+1:00:51,23,DURBRIDGE Luke,25,Orica GreenEDGE,,,",,1:07",44.536,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
25,26,11,+5:14,3,CHERNETSKI Sergei,26,Team Katusha,,,1:091:09,44.471000000000004,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
26,27,30,+25:13,83,GESCHKE Simon,30,Team Giant - Alpecin,,,1:111:11,44.405,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
27,28,51,+42:41,137,PICHON Laurent,29,FDJ,,,1:141:14,44.308,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
28,29,75,+53:30,8,RESTREPO Jhonatan,21,Team Katusha,,,",,1:14",44.308,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
29,30,15,+8:26,211,CIEŚLIK Paweł,30,VERVA ActiveJet Pro Cycling Team,,,1:161:16,44.243,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
30,31,120,+1:15:49,41,SAGAN Peter,26,Tinkoff,,,1:171:17,44.211000000000006,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
31,32,122,+1:16:47,167,SERGENT Jesse,27,AG2R La Mondiale,,,1:181:18,44.178000000000004,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
32,33,29,+25:09,36,SCHÄR Michael,29,BMC Racing Team,,,1:191:19,44.146,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
33,34,46,+41:37,18,ZOIDL Riccardo,28,Trek - Segafredo,,,1:201:20,44.114,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
34,35,65,+50:25,178,SÜTTERLIN Jasha,23,Movistar Team,,,1:221:22,44.05,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
35,36,43,+40:30,173,ARCAS Jorge,23,Movistar Team,,,",,1:22",44.05,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
36,37,86,+59:03,37,TEUNS Dylan,24,BMC Racing Team,,,1:231:23,44.016999999999996,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
37,38,47,+41:50,147,WYSS Marcel,29,IAM Cycling,,,1:241:24,43.985,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
38,39,13,+5:47,176,IZAGIRRE Gorka,28,Movistar Team,,,1:261:26,43.922,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
39,40,25,+20:08,155,SCARPONI Michele,36,Astana Pro Team,,,",,1:26",43.922,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
40,41,79,+55:32,2,BYSTRØM Sven Erik,24,Team Katusha,,,",,1:26",43.922,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
41,42,54,+45:54,131,EIKING Odd Christian,21,FDJ,,,1:281:28,43.858000000000004,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
42,43,60,+48:21,186,PATERSKI Maciej,29,CCC Sprandi Polkowice,,,1:301:30,43.794,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
43,44,16,+9:04,77,POLANC Jan,24,Lampre - Merida,,,1:321:32,43.731,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
44,45,59,+48:19,182,SAMOILAU Branislau,31,CCC Sprandi Polkowice,,,1:351:35,43.636,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
45,46,18,+10:35,102,ARMÉE Sander,30,Lotto Soudal,,,",,1:35",43.636,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
46,47,55,+46:15,66,LINDEMAN Bert-Jan,27,Team LottoNL-Jumbo,,,1:361:36,43.605,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
47,48,20,+11:39,122,BERHANE Natnael,25,Team Dimension Data,,,1:371:37,43.573,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
48,49,82,+56:39,118,VERMOTE Julien,26,Etixx - Quick Step,,,",,1:37",43.573,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
49,50,72,+52:38,138,REZA Kévin,28,FDJ,,,1:401:40,43.48,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
50,51,66,+51:33,161,PERAUD Jean-Christophe,39,AG2R La Mondiale,,,",,1:40",43.48,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
51,52,57,+47:26,53,GOŁAŚ Michał,32,Team Sky,,,1:421:42,43.417,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
52,53,129,+1:22:12,188,MARYCZ Jarosław,29,CCC Sprandi Polkowice,,,1:441:44,43.355,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
53,54,17,+10:13,103,BENOOT Tiesj,22,Lotto Soudal,,,1:461:46,43.293,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
54,55,44,+40:44,26,JUUL-JENSEN Christopher,26,Orica GreenEDGE,,,1:481:48,43.231,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
55,56,67,+51:59,117,RICHEZE Maximiliano,33,Etixx - Quick Step,,,1:491:49,43.2,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
56,57,14,+7:56,32,ATAPUMA Darwin,28,BMC Racing Team,,,1:501:50,43.169,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
57,58,22,+14:47,15,SCHLECK Fränk,36,Trek - Segafredo,,,1:511:51,43.138000000000005,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
58,59,104,+1:05:52,17,STUYVEN Jasper,24,Trek - Segafredo,,,1:521:52,43.108000000000004,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
59,60,34,+28:52,7,MAMYKIN Matvey,21,Team Katusha,,,1:541:54,43.04600000000001,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
60,61,91,+59:46,113,KEISSE Iljo,33,Etixx - Quick Step,,,1:561:56,42.985,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
61,62,53,+45:38,68,TANKINK Bram,37,Team LottoNL-Jumbo,,,",,1:56",42.985,Tour_de_Suisse,8,18 June 2016,46.85 km/h,0,16.8 km,25
