,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,LEIPHEIMER Levi,37,RadioShack,100.0,250,31:45:02,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
1,2,0,CUNEGO Damiano,29,Lampre - ISD,80.0,190,0:040:04,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
2,3,0,KRUIJSWIJK Steven,24,Rabobank Cycling Team,70.0,160,1:021:02,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
3,4,0,FUGLSANG Jakob,26,Leopard Trek,60.0,140,1:101:10,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
4,5,0,MOLLEMA Bauke,24,Rabobank Cycling Team,50.0,120,2:052:05,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
5,6,0,FRANK Mathias,24,BMC Racing Team,40.0,110,2:242:24,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
6,7,0,SCHLECK Fränk,31,Leopard Trek,30.0,100,2:352:35,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
7,8,0,TEN DAM Laurens,30,Rabobank Cycling Team,20.0,90,3:113:11,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
8,9,0,DANIELSON Tom,33,Team Garmin - Cervélo,10.0,80,3:173:17,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
9,10,0,MONFORT Maxime,28,Leopard Trek,4.0,70,4:124:12,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
10,11,0,VAN GARDEREN Tejay,22,HTC - High Road,,60,4:154:15,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
11,12,0,CARUSO Giampaolo,30,Team Katusha,,55,5:235:23,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
12,13,0,BAKELANTS Jan,25,Omega Pharma-Lotto,,50,7:047:04,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
13,14,0,ROJAS José Joaquín,26,Movistar Team,,45,9:289:28,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
14,15,0,DE GREEF Francis,26,Omega Pharma-Lotto,,40,9:299:29,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
15,16,0,SAMOILAU Branislau,26,Movistar Team,,36,10:0510:05,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
16,17,0,DE WEERT Kevin,29,Quickstep Cycling Team,,32,13:5313:53,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
17,18,0,IZAGIRRE Gorka,23,Euskaltel - Euskadi,,28,15:0715:07,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
18,19,0,SCHLECK Andy,26,Leopard Trek,,24,18:4818:48,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
19,20,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,20,20:1420:14,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
20,21,0,EFIMKIN Alexander,29,Team Type 1 - Sanofi Aventis,,18,21:3021:30,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
21,22,0,TSCHOPP Johann,28,BMC Racing Team,,16,21:5521:55,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
22,23,0,AZANZA Jorge,29,Euskaltel - Euskadi,,14,25:2125:21,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
23,24,0,GERDEMANN Linus,28,Leopard Trek,,12,25:2725:27,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
24,25,0,POELS Wout,23,Vacansoleil - DCM,,10,25:3625:36,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
25,26,0,VANDE VELDE Christian,35,Team Garmin - Cervélo,,9,26:1026:10,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
26,27,0,CHRISTENSEN Mads,27,Saxo Bank - Sungard,,8,27:0427:04,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
27,28,0,LARSSON Gustav Erik,30,Saxo Bank - Sungard,,7,",,27:04",..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
28,29,0,DESSEL Cyril,36,AG2R La Mondiale,,6,28:4828:48,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
29,30,0,LASTRAS Pablo,35,Movistar Team,,5,29:1529:15,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
30,31,0,PIDGORNYY Ruslan,33,Vacansoleil - DCM,,5,29:2929:29,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
31,32,0,KANGERT Tanel,24,Pro Team Astana,,5,30:0330:03,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
32,33,0,DEVENYNS Dries,27,Quickstep Cycling Team,,5,30:2230:22,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
33,34,0,IMPEY Daryl,26,Team Netapp,,5,30:5430:54,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
34,35,0,LOSADA Alberto,29,Team Katusha,,5,30:5830:58,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
35,36,0,HINCAPIE George,37,BMC Racing Team,,5,32:5632:56,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
36,37,0,GUTIÉRREZ José Iván,32,Movistar Team,,5,34:4534:45,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
37,38,0,KLÖDEN Andreas,35,RadioShack,,5,35:2935:29,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
38,39,0,ALBASINI Michael,30,HTC - High Road,,5,35:4435:44,..,Tour_de_Suisse,GC,19 June 2011,-,0,0 km,15
