,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3,▲2,78,ŠPILAK Simon,28,Team Katusha,100.0,250,30:15:09,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
1,2,2,-,52,THOMAS Geraint,29,Team Sky,80.0,190,0:050:05,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
2,3,6,▲3,85,DUMOULIN Tom,24,Team Giant - Alpecin,70.0,160,0:190:19,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
3,4,1,▼3,131,PINOT Thibaut,25,FDJ,60.0,140,0:450:45,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
4,5,4,▼1,161,POZZOVIVO Domenico,32,AG2R La Mondiale,50.0,120,2:212:21,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
5,6,14,▲8,15,JUNGELS Bob,22,Trek Factory Racing,40.0,110,2:582:58,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
6,7,5,▼2,156,LÓPEZ Miguel Ángel,21,Astana Pro Team,30.0,100,3:063:06,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
7,8,7,▼1,136,MORABITO Steve,32,FDJ,20.0,90,3:173:17,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
8,9,11,▲2,61,GESINK Robert,29,Team LottoNL-Jumbo,10.0,80,3:193:19,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
9,10,12,▲2,46,MAJKA Rafał,25,Tinkoff - Saxo,4.0,70,3:203:20,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
10,11,9,▼2,51,HENAO Sergio,27,Team Sky,,60,3:423:42,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
11,12,10,▼2,83,BARGUIL Warren,23,Team Giant - Alpecin,,55,4:244:24,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
12,13,8,▼5,26,REICHENBACH Sébastien,26,IAM Cycling,,50,4:274:27,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
13,14,13,▼1,102,CHAVES Esteban,25,Orica GreenEDGE,,45,4:404:40,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
14,15,15,-,7,ĐURASEK Kristijan,27,Lampre - Merida,,40,5:355:35,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
15,16,18,▲2,77,MORENO Daniel,33,Team Katusha,,36,5:595:59,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
16,17,19,▲2,33,HERMANS Ben,29,BMC Racing Team,,32,6:196:19,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
17,18,16,▼2,163,BAKELANTS Jan,29,AG2R La Mondiale,,28,6:526:52,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
18,19,21,▲2,111,ANACONA Winner,26,Movistar Team,,24,7:097:09,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
19,20,17,▼3,65,TEN DAM Laurens,34,Team LottoNL-Jumbo,,20,7:167:16,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
20,21,20,▼1,57,SIUTSOU Kanstantsin,32,Team Sky,,18,7:497:49,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
21,22,22,-,184,DE GREEF Francis,30,Wanty - Groupe Gobert,,16,9:569:56,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
22,23,23,-,143,BRAMBILLA Gianluca,27,Etixx - Quick Step,,14,11:0911:09,..,Tour_de_Suisse,GC,21 June 2015,-,0,0 km,13
