,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,MARTIN Tony,26,HTC - High Road,6.0,50.0,0:13:33,50.037,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
1,2,,,0,MILLAR David,34,Team Garmin - Cervélo,4.0,30.0,0:170:17,49.012,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
2,3,,,0,DOWSETT Alex,23,Sky Procycling,2.0,18.0,0:240:24,48.602,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
3,4,,,0,FROOME Chris,26,Sky Procycling,1.0,13.0,0:260:26,48.486000000000004,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
4,5,,,0,CUMMINGS Steve,30,Sky Procycling,1.0,10.0,0:350:35,47.972,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
5,6,,,0,BOOM Lars,25,Rabobank Cycling Team,,7.0,0:360:36,47.915,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
6,7,,,0,KAISEN Olivier,28,Omega Pharma-Lotto,,4.0,0:390:39,47.746,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
7,8,,,0,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,3.0,0:410:41,47.635,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
8,9,,,0,PERAUD Jean-Christophe,34,AG2R La Mondiale,,2.0,0:430:43,47.523,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
9,10,,,0,CATALDO Dario,26,Quickstep Cycling Team,,1.0,",,0:43",47.523,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
10,11,,,0,GRIVKO Andrey,28,Pro Team Astana,,,",,0:43",47.523,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
11,12,,,0,TERPSTRA Niki,27,Quickstep Cycling Team,,,0:460:46,47.357,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
12,13,,,0,MURPHY John,26,BMC Racing Team,,,0:470:47,47.302,Tour_of_Beijing,1,05 October 2011,50.037 km/h,0,11.3 km,32
