,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,86.0,+23:45,72,MODOLO Sacha,27,Lampre - Merida,6.0,50.0,2:40:10,Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
1,2,57.0,+11:30,85,HENDERSON Gregory,38,Lotto Belisol,4.0,30.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
2,3,21.0,+1:32,142,BOASSON HAGEN Edvald,27,Team Sky,2.0,18.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
3,4,77.0,+20:46,63,FARRAR Tyler,30,Garmin Sharp,1.0,13.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
4,5,73.0,+19:48,21,HOFLAND Moreno,23,Belkin-Pro Cycling Team,1.0,10.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
5,6,70.0,+18:56,126,MEZGEC Luka,26,Team Giant - Shimano,,7.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
6,7,72.0,+19:38,12,APPOLLONIO Davide,25,AG2R La Mondiale,,4.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
7,8,48.0,+8:52,141,SWIFT Ben,26,Team Sky,,3.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
8,9,75.0,+20:20,103,EWAN Caleb,20,Orica GreenEDGE,,2.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
9,10,62.0,+13:40,6,SANZ Enrique,25,Movistar Team,,1.0,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
10,11,71.0,+19:32,94,MAES Nikolas,28,Omega Pharma - Quick-Step,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
11,12,124.0,+49:54,136,SELIG Rüdiger,25,Team Katusha,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
12,13,5.0,+0:23,131,CHERNETSKI Sergei,24,Team Katusha,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
13,14,69.0,+18:02,42,BOIVIN Guillaume,25,Cannondale,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
14,15,37.0,+4:31,123,JANSE VAN RENSBURG Reinardt,25,Team Giant - Shimano,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
15,16,14.0,+0:44,117,NAULEAU Bryan,26,Team Europcar,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
16,17,8.0,+0:23,11,NOCENTINI Rinaldo,37,AG2R La Mondiale,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
17,18,53.0,+10:22,104,HAYMAN Mathew,36,Orica GreenEDGE,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
18,19,10.0,+0:26,15,CHEREL Mikaël,28,AG2R La Mondiale,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
19,20,113.0,+43:36,43,KOCH Michel,22,Cannondale,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
20,21,106.0,+36:13,166,VAN POPPEL Danny,21,Trek Factory Racing,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
21,22,76.0,+20:33,68,VON HOFF Steele,26,Garmin Sharp,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
22,23,107.0,+38:35,164,SILVESTRE Fábio,24,Trek Factory Racing,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
23,24,43.0,+7:25,105,IMPEY Daryl,29,Orica GreenEDGE,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
24,25,9.0,+0:23,91,URÁN Rigoberto,27,Omega Pharma - Quick-Step,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
25,26,119.0,+47:43,38,ZABEL Rick,20,BMC Racing Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
26,27,26.0,+2:20,111,BERNAUDEAU Giovanni,31,Team Europcar,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
27,28,98.0,+30:41,92,ALAPHILIPPE Julian,22,Omega Pharma - Quick-Step,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
28,29,125.0,+51:03,82,BOECKMANS Kris,27,Lotto Belisol,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
29,30,6.0,+0:23,121,BARGUIL Warren,22,Team Giant - Shimano,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
30,31,110.0,+42:09,86,VALLÉE Boris,21,Lotto Belisol,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
31,32,13.0,+0:26,31,SÁNCHEZ Samuel,36,BMC Racing Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
32,33,11.0,+0:26,95,SERRY Pieter,25,Omega Pharma - Quick-Step,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
33,34,1.0,+0:00,34,GILBERT Philippe,32,BMC Racing Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
34,35,7.0,+0:23,161,ARREDONDO Julián David,26,Trek Factory Racing,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
35,36,3.0,+0:09,101,CHAVES Esteban,24,Orica GreenEDGE,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
36,37,120.0,+47:43,25,MARKUS Barry,23,Belkin-Pro Cycling Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
37,38,4.0,+0:11,71,COSTA Rui,28,Lampre - Merida,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
38,39,28.0,+2:45,127,PREIDLER Georg,24,Team Giant - Shimano,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
39,40,109.0,+41:24,52,CHAVANEL Sébastien,31,FDJ.fr,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
40,41,46.0,+8:26,36,NERZ Dominik,25,BMC Racing Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
41,42,30.0,+3:13,134,KOCHETKOV Pavel,28,Team Katusha,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
42,43,12.0,+0:26,147,LÓPEZ David,33,Team Sky,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
43,44,17.0,+0:54,151,SUTHERLAND Rory,32,Tinkoff - Saxo,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
44,45,114.0,+43:45,28,VAN WINDEN Dennis,26,Belkin-Pro Cycling Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
45,46,55.0,+10:50,97,VERMOTE Julien,25,Omega Pharma - Quick-Step,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
46,47,20.0,+1:06,132,GUSEV Vladimir,32,Team Katusha,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
47,48,39.0,+5:02,47,SALERNO Cristiano,29,Cannondale,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
48,49,68.0,+16:00,122,FRÖHLINGER Johannes,29,Team Giant - Shimano,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
49,50,32.0,+3:34,153,BOARO Manuele,27,Tinkoff - Saxo,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
50,51,58.0,+11:32,55,LE GAC Olivier,21,FDJ.fr,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
51,52,82.0,+21:25,148,SUTTON Chris,30,Team Sky,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
52,53,65.0,+15:31,13,BÉRARD Julien,27,AG2R La Mondiale,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
53,54,35.0,+4:06,4,LASTRAS Pablo,38,Movistar Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
54,55,50.0,+9:12,7,SÜTTERLIN Jasha,21,Movistar Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
55,56,116.0,+46:13,106,MOURIS Jens,34,Orica GreenEDGE,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
56,57,29.0,+3:04,3,HERRADA Jesús,24,Movistar Team,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
57,58,103.0,+33:56,112,CRAVEN Dan,31,Team Europcar,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
58,59,2.0,+0:03,61,MARTIN Dan,28,Garmin Sharp,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
59,60,60.0,+12:56,135,KUZNETSOV Viacheslav,25,Team Katusha,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
60,61,38.0,+4:59,144,CATALDO Dario,29,Team Sky,,,",,0:00",Tour_of_Beijing,5,14 October 2014,43.83 km/h,0,117 km,42
